state,county,city,address1,address2,date
Alaska,"Kenai Peninsula",Kenai,"260 Willow S St #215",,01/14/2004
Alaska,Anchorage,Anchorage,"1145 Latouche St",,02/09/2004
Alaska,Matanuska-susitna,Wasilla,"3348 Meadow Lakes Dr",,03/13/2004
Alaska,Matanuska-susitna,Wasilla,"1782 Pioneer Peak Dr",,03/17/2004
Alaska,Anchorage,Anchorage,"926 W 25th St",,04/04/2004
Alaska,Matanuska-susitna,Wasilla,"5161 Stein Dr",,04/05/2004
Alaska,"Kenai Peninsula",Nikiski,"48587 Darby Rd",,04/05/2004
Alaska,Matanuska-susitna,Wasilla,"3420 Village St",,04/11/2004
Alaska,Matanuska-susitna,Palmer,"7055 Mckenzie",,04/17/2004
Alaska,Matanuska-susitna,Wasilla,"3775 Tweed Ct",,05/06/2004
Alaska,Anchorage,Anchorage,"3402 Dorbrandt 36",,05/10/2004
Alaska,Matanuska-susitna,Palmer,"918 Colony S Way",,05/15/2004
Alaska,Matanuska-susitna,Wasilla,"1350 Paddy Pl",,05/29/2004
Alaska,"Kenai Peninsula",Ninilchik,"Mp 155 Sterling Hwy",,06/04/2004
Alaska,Matanuska-susitna,Wasilla,"5721 Bonaparte",,06/12/2004
Alaska,Anchorage,Anchorage,"13049 Old Glenn Hwy 205",,07/15/2004
Alaska,Anchorage,Anchorage,"3508 Dorbrandt St 1",,07/17/2004
Alaska,Matanuska-susitna,Willow,"Nhn Mile 43 Willow Fishhook Rd",,08/12/2004
Alaska,Matanuska-susitna,Wasilla,"Nhn Mile 1 6 Lupine Ln",,08/27/2004
Alaska,Matanuska-susitna,Wasilla,"6200 Hollywood W Rd",,09/02/2004
Alaska,Anchorage,Anchorage,"12831 Hace St",,09/07/2004
Alaska,Anchorage,Anchorage,"1507 W 47th Ave B",,09/08/2004
Alaska,"Kenai Peninsula",Soldotna,"47895 Andrews Ave",,09/23/2004
Alaska,Matanuska-susitna,Wasilla,"2900 Parks E Hwy",,09/24/2004
Alaska,Matanuska-susitna,Palmer,"12401 East Norman",,10/10/2004
Alaska,"Kenai Peninsula",Kenai,"51015 Polaris Way",,10/11/2004
Alaska,Anchorage,Anchorage,"3029 East 46th Avenue",,10/12/2004
Alaska,Matanuska-susitna,Wasilla,"Nhn Mile 14 Sitze Rd",,11/06/2004
Alaska,Matanuska-susitna,"Big Lake","1970 Mlakar S Cir",,12/22/2004
Alaska,Matanuska-susitna,Wasilla,"7319 Silver W Dr",,01/06/2005
Alaska,"Fairbanks North Star",Fairbanks,"275 Henrik Rd",,01/19/2005
Alaska,Matanuska-susitna,Wasilla,"3551 Lucille St",,02/10/2005
Alaska,Matanuska-susitna,Wasilla,"2578 Old Trail Rd 1",,02/16/2005
Alaska,Matanuska-susitna,Wasilla,"1066 Winter Ave",,02/25/2005
Alaska,Matanuska-susitna,Wasilla,"3100 Tamarak",,03/19/2005
Alaska,Matanuska-susitna,Wasilla,"2344 Lake Lucille Dr",,03/22/2005
Alaska,Matanuska-susitna,Wasilla,"2534 Coles Rd",,04/13/2005
Alaska,Matanuska-susitna,Wasilla,"7120 Silver Dr",,08/15/2005
Alaska,Matanuska-susitna,Palmer,"5050 Old Glenn S Hwy 1",,10/19/2005
Alaska,"Kenai Peninsula",Kenai,"54025 Inlet Drive",,01/14/2006
Alaska,"Kenai Peninsula",Kenai,"52170 Marlene Avenue",,03/17/2006
Alaska,Matanuska-susitna,Palmer,"405 North Old Glenn",,02/18/2008
Alaska,"Kenai Peninsula",Nikiski,"53195 Marion",,05/29/2008
Alaska,"Kenai Peninsula",Kenai,"53255 Sandy",,06/13/2008
Alaska,Matanuska-susitna,Palmer,"1101  Shenandoah",,07/06/2010
Alaska,Anchorage,Anchorage,"4206  Hayes Street Upper Unit",,07/27/2012
Alaska,"Fairbanks North Star","North Pole","1084 Bradway Rd",,09/08/2017
