state,county,city,address1,address2,date
Alabama,Winston,Haleyville,"2240  Hogga Ridge Road",,
Alabama,Jackson,Stevenson,"720 Co.rd 69",,01/01/2004
Alabama,Mobile,Semmes,"6901 Mccrary Rd",,01/02/2004
Alabama,Walker,Nauvoo,"3770  Redmill Saragossa Road",,01/03/2004
Alabama,Mobile,Satsuma,"56 Orange Ave",,01/03/2004
Alabama,Jackson,Stevenson,"376 County Rd 96",,01/03/2004
Alabama,Dale,Enterprise,"23 Waters St No. 1",,01/06/2004
Alabama,Morgan,Falkville,"23 Bell Springs Rd 1",,01/07/2004
Alabama,Coffee,Kinston,"242 Richardson St",,01/07/2004
Alabama,Madison,Huntsville,"3772 University Dr 279",,01/09/2004
Alabama,Cullman,Baileyton,"297 Co Rd 1591",,01/09/2004
Alabama,Clarke,Jackson,"302 Dubase Lane",,01/15/2004
Alabama,Marshall,Boaz,"3041 Mnt Hebron N Rd",,01/16/2004
Alabama,Geneva,Slocomb,"1813 Pates Rd",,01/20/2004
Alabama,Jackson,Woodville,"11340 County 30 Rd",,01/22/2004
Alabama,Calhoun,Ohatchee,"8934 Mudd St",,01/27/2004
Alabama,Lee,Salem,"5433 Lee Rd 145",,01/27/2004
Alabama,Walker,Empire,"3895  Hull Road",,01/28/2004
Alabama,Jackson,Scottsboro,"22 Hancock E Dr",,01/29/2004
Alabama,Houston,Dothan,"870 D Hodges Rd",,02/02/2004
Alabama,Houston,Cottonwood,"1095 Bunlin Rd",,02/02/2004
Alabama,Jackson,Scottsboro,"1372 C.r. 540",,02/03/2004
Alabama,Jackson,Section,"3147 Co Rd 43",,02/04/2004
Alabama,Mobile,Mobile,"7600 Tillman Rd",,02/04/2004
Alabama,Marshall,Boaz,"1140 Bethsadia Rd",,02/04/2004
Alabama,Jackson,Woodville,"31046 Sr 35 Hwy",,02/05/2004
Alabama,Calhoun,Weaver,"705 Timberway",,02/05/2004
Alabama,Marshall,Guntersville,"1 Cedar Ridge Dr B-8",,02/06/2004
Alabama,Geneva,Slocomb,"103 Ewell S Rd",,02/07/2004
Alabama,Covington,"Red Level","28453 Anna Ln",,02/09/2004
Alabama,Mobile,Axis,"1330 Lyons Dr",,02/10/2004
Alabama,Calhoun,Anniston,"4250 Us 431 Hwy",,02/10/2004
Alabama,Madison,Huntsville,"2020 Golf Rd 307",,02/10/2004
Alabama,Fayette,Eldridge,"17175 State Hwy 233",,02/11/2004
Alabama,Walker,Jasper,"751 Anderson Rd",,02/12/2004
Alabama,Marshall,Albertville,"4316 Hwy 75 N",,02/12/2004
Alabama,Marshall,Albertville,"508 Hambrick Rd",,02/13/2004
Alabama,Houston,Dothan,"1118 Saunders E Rd 1120",,02/13/2004
Alabama,Dekalb,Fyffe,"25 Rd 9092 W",,02/16/2004
Alabama,Dekalb,Rainsville,"426 Heston W Rd",,02/17/2004
Alabama,Houston,Gordon,"192 Jowers Rd",,02/17/2004
Alabama,Cherokee,Centre,"412 River S",,02/18/2004
Alabama,Mobile,Turnerville,"3180 Dixie Rd",,02/19/2004
Alabama,Jackson,Langston,"629 Lakeshore Dr",,02/19/2004
Alabama,Jackson,Section,"91 Gurley Cir",,02/20/2004
Alabama,Dekalb,"Fort Payne","2452 Co Rd 79",,02/21/2004
Alabama,Marshall,Albertville,"138 Ham Rd",,02/22/2004
Alabama,Marshall,Albertville,"71 Denise Rd",,02/22/2004
Alabama,Colbert,Leighton,"437 Mccormack Ln B",,02/24/2004
Alabama,Marshall,Horton,"178 Covey Ln",,02/24/2004
Alabama,Coffee,Elba,"1907 County Rd 228 Rd",,02/26/2004
Alabama,Lauderdale,Lexington,"12447 Co Rd 33",,02/27/2004
Alabama,Coffee,Kinston,"171 Peachtree St",,02/27/2004
Alabama,Mobile,Mobile,"9053 Keene",,02/27/2004
Alabama,Madison,Huntsville,"10013 Memorial S Pkwy 255",,02/28/2004
Alabama,Dekalb,Mentone,"164 653 Rd",,02/29/2004
Alabama,Marion,Brilliant,"301 Kimbrell Dr",,03/01/2004
Alabama,Marshall,Arab,"631 Main N St",,03/02/2004
Alabama,Cleburne,Heflin,"5598 Us E Hwy 78",,03/05/2004
Alabama,Franklin,"Red Bay","338 Garrison Hollow Rd",,03/06/2004
Alabama,Madison,Huntsville,"4029 Brasewood Dr 7",,03/08/2004
Alabama,Jackson,Scottsboro,"426 Old Larkinsville Rd",,03/08/2004
Alabama,Lawrence,Trinity,"1065 Cr 431",,03/10/2004
Alabama,Marshall,Boaz,"2190 Old Jordan Rd",,03/11/2004
Alabama,Marion,Winfield,"9710 Bankhead Hwy",,03/17/2004
Alabama,Morgan,Decatur,"5111 Willow Bend Rd",,03/18/2004
Alabama,Geneva,Geneva,"405 Purvis W St",,03/19/2004
Alabama,Houston,Dothan,"75 Roy Martin Rd",,03/19/2004
Alabama,Houston,Webb,"215 Juan Cir",,03/21/2004
Alabama,Jackson,Hollywood,"859 Ruby Johnson Dr",,03/21/2004
Alabama,Calhoun,Oxford,"415 Mcpherson Ave",,03/25/2004
Alabama,Jackson,Hollywood,"6759 Co 33 Rd",,03/26/2004
Alabama,Madison,Huntsville,"4751 Governors House Dr",,03/29/2004
Alabama,Lamar,Vernon,"345 Harrison Ct 189",,03/31/2004
Alabama,Jackson,Hollywood,"15 Fred St",,03/31/2004
Alabama,Jackson,Dutton,"827 County Road 150 Rd",,03/31/2004
Alabama,Franklin,Russellville,"5443 County Line Rd",,04/01/2004
Alabama,Marshall,Albertville,"3165 Hustleville Rd",,04/02/2004
Alabama,Walker,Oakman,"720  Mockingbird Hill Road",,04/02/2004
Alabama,Jefferson,Leeds,"1214 Ashville Se Rd",,04/04/2004
Alabama,Fayette,"Glen Allen","160 County Road 73",,04/04/2004
Alabama,Pickens,Gordo,"367 Phillips Rd",,04/05/2004
Alabama,Coffee,Samson,"221 County Rd",,04/07/2004
Alabama,Cherokee,Centre,"303 Williams St",,04/09/2004
Alabama,Marion,Brilliant,"280 Carlee St 17",,04/11/2004
Alabama,Lauderdale,Florence,"3204 Co Rd 158",,04/12/2004
Alabama,Baldwin,Stockton,"9700 Helton Rd",,04/12/2004
Alabama,Covington,Florala,"792 Fir St",,04/13/2004
Alabama,Lee,"Phenix City","228 Lee Rd",,04/19/2004
Alabama,Morgan,Priceville,"622 Tall Pines Rd",,04/20/2004
Alabama,Marshall,Albertville,"911 Highland",,04/20/2004
Alabama,Madison,Huntsville,"1935 Meadowbrook Dr 406",,04/21/2004
Alabama,Calhoun,Anniston,"440 Willingham Dr",,04/25/2004
Alabama,Dekalb,Fyffe,"9937 County 50 Rd",,04/25/2004
