state,county,city,address1,address2,date
Arkansas,Conway,Morrilton,"300 Harding W St 107",,01/02/2004
Arkansas,Garland,"Hot Springs","209 Music Mountain Rd",,01/02/2004
Arkansas,Polk,Mena,"100 Hickory N St",,01/03/2004
Arkansas,Pulaski,"North Little Rock","3514 Sycamore St",,01/05/2004
Arkansas,Faulkner,Mayflower,"86 Paradise Rd",,01/06/2004
Arkansas,Pulaski,"North Little Rock","4810 Lynn Lane",,01/06/2004
Arkansas,Pulaski,"North Little Rock","4810 Lynn Lane",,01/06/2004
Arkansas,Craighead,Jonesboro,"403 Gee S St",,01/06/2004
Arkansas,Yell,Dardanelle,"427 Country Rd",,01/07/2004
Arkansas,Pulaski,Roland,"25120 Blue Gell",,01/08/2004
Arkansas,Pulaski,Roland,"25120 Blue Gell",,01/08/2004
Arkansas,Johnson,Clarksville,"712 Johnson N St",,01/09/2004
Arkansas,"Hot Spring",Malvern,"916 Mckinney St",,01/09/2004
Arkansas,"Hot Spring",Malvern,"916 Mckinney St",,01/09/2004
Arkansas,Miller,Texarkana,"409 Dundee Rd",,01/11/2004
Arkansas,Miller,Texarkana,"409 Dundee Rd",,01/11/2004
Arkansas,Saline,Benton,"15631 Interstate 30 109",,01/12/2004
Arkansas,Pulaski,"North Little Rock","2508 161 Hwy 211",,01/12/2004
Arkansas,Saline,Benton,"15631 Interstate 30 109",,01/12/2004
Arkansas,Pulaski,"North Little Rock","2508 161 Hwy 211",,01/12/2004
Arkansas,Washington,Johnson,"3206 Second St",,01/13/2004
Arkansas,Craighead,Jonesboro,"1404 Brookhaven St",,01/14/2004
Arkansas,"Hot Spring",Malvern,"2063 F G Jones Rd",,01/14/2004
Arkansas,Craighead,Jonesboro,"904 Tony #7",,01/14/2004
Arkansas,Pulaski,"Little Rock","7715 S Street",,01/14/2004
Arkansas,"Hot Spring",Malvern,"2063 F G Jones Rd",,01/14/2004
Arkansas,Pulaski,"Little Rock","7715 S Street",,01/14/2004
Arkansas,Sebastian,"Fort Smith","621 Xavier St 2",,01/15/2004
Arkansas,Sebastian,"Fort Smith","621 Xavier St 2",,01/15/2004
Arkansas,Benton,Gentry,"10141 Boyle Rd",,01/16/2004
Arkansas,Pulaski,"Little Rock","6515 Honeysuckle Ln",,01/16/2004
Arkansas,Pulaski,"Little Rock","6515 Honeysuckle Ln",,01/16/2004
Arkansas,Fulton,"Mammoth Spring","236 White Rock Ln",,01/17/2004
Arkansas,Fulton,"Mammoth Spring","236 White Rock Ln",,01/17/2004
Arkansas,Logan,Paris,"1919 Walnut St",,01/21/2004
Arkansas,Craighead,Jonesboro,"219 1/2 Walnut St",,01/21/2004
Arkansas,Logan,Booneville,"2295 Antiloch Rd",,01/22/2004
Arkansas,Saline,Mabelvale,"22105 Point W Dr",,01/22/2004
Arkansas,Logan,Booneville,"2295 Antiloch Rd",,01/22/2004
Arkansas,Saline,Mabelvale,"22105 Point W Dr",,01/22/2004
Arkansas,Pulaski,"North Little Rock","297 Plainview Cir",,01/23/2004
Arkansas,Pulaski,"North Little Rock","297 Plainview Cir",,01/23/2004
Arkansas,Grant,Sheridan,"1320 270 E Hwy",,01/23/2004
Arkansas,Grant,Sheridan,"1320 270 E Hwy",,01/23/2004
Arkansas,Logan,Booneville,"253 Vinable W St",,01/24/2004
Arkansas,Logan,Booneville,"253 Vinable W St",,01/24/2004
Arkansas,Benton,"Pea Ridge","15386 Patton Rd",,01/26/2004
Arkansas,Franklin,Altus,"428 Scott St 8",,01/26/2004
Arkansas,Grant,Sheridan,"205 46 Hwy",,01/26/2004
Arkansas,"Hot Spring",Malvern,"619 Oaklawn",,01/26/2004
Arkansas,Craighead,Jonesboro,"1901 Johnson E Ave #6",,01/26/2004
Arkansas,Saline,"Shannon Hills","10624 Morningside Dr",,01/26/2004
Arkansas,Saline,"Shannon Hills","10624 Morningside Dr",,01/26/2004
Arkansas,Franklin,Charleston,"4811 Case Rd",,01/26/2004
Arkansas,Pulaski,"Little Rock","600 Hardin 300",,01/27/2004
Arkansas,Saline,Alexander,"1620 Vandiver Dr",,01/27/2004
Arkansas,Pulaski,"Little Rock","5224 34th W St",,01/27/2004
Arkansas,Pulaski,"Little Rock","5224 34th W St",,01/27/2004
Arkansas,Pulaski,"Little Rock","600 Hardin 300",,01/27/2004
Arkansas,Clark,Arkadelphia,"1303 Red Hill Rd",,01/28/2004
Arkansas,Franklin,Branch,"232 Ross E Rd",,01/28/2004
Arkansas,Franklin,Branch,"232 Ross E Rd",,01/28/2004
Arkansas,Pulaski,"North Little Rock","2015 Flora",,01/28/2004
Arkansas,Lonoke,Cabot,"16079 5 Hwy",,01/28/2004
Arkansas,Boone,"Lead Hill","107 Green St",,01/29/2004
Arkansas,Pulaski,"Little Rock","6915 65th W St",,01/30/2004
Arkansas,Pulaski,"Little Rock","6915 65th W St",,01/30/2004
Arkansas,Clark,Gurdon,"1656 South Fork Rd",,01/30/2004
Arkansas,"Hot Spring",Malvern,"158 Tram Cutoff",,01/31/2004
Arkansas,"Hot Spring",Malvern,"158 Tram Cutoff",,01/31/2004
