state,county,city,address1,address2,date
California,Stanislaus,Ceres,"4837 Faith Home Rd 119",,01/01/2004
California,"Los Angeles","Redondo Beach","208 B Ave",,01/04/2004
California,Stanislaus,Oakdale,"143 N 6th St",,01/05/2004
California,"San Luis Obispo",Atascadero,"1400 San Ramon",,01/05/2004
California,"Los Angeles","Los Angeles","2742 Lanfranco St 7",,01/07/2004
California,"San Diego",Boulevard,"2605 Paseo Alta Ct",,01/07/2004
California,Sutter,"Yuba City","2898 Mckenly Rd",,01/11/2004
California,"Los Angeles",Covina,"444 Citrus N Ave",,01/13/2004
California,Yolo,"West Sacramento","1155 Linden Rd",,01/13/2004
California,"Los Angeles","Santa Fe Springs","11462 Telegraph Rd",,01/14/2004
California,Fresno,Reedley,"22134 E Hogan Ave",,01/15/2004
California,"San Bernardino",Fontana,"14430 Santa Ana",,01/15/2004
California,"Santa Clara","San Jose","3570 Columbine Dr",,01/15/2004
California,Fresno,Reedley,"22134 E Hogan Ave",,01/15/2004
California,"San Diego","San Ysidro","905 Hwy Caliente Rd",,01/16/2004
California,Stanislaus,Modesto,"3356 Maze W Blvd",,01/17/2004
California,Riverside,"Desert Hot Springs","66366 6th St",,01/20/2004
California,"San Joaquin",Stockton,"7790 N Ashley Ln",,01/20/2004
California,Stanislaus,Hickman,"948 Hickman Rd",,01/20/2004
California,"San Bernardino",Ontario,"844 Wysteria E Ct",,01/21/2004
California,"Los Angeles",Littlerock,"8632 Avenue U E",,01/21/2004
California,Kern,Shafter,"18478 S Shafter Ave",,01/23/2004
California,Kern,Shafter,"18478 S Shafter Ave",,01/23/2004
California,Stanislaus,Modesto,"1520 Prospect Ln",,01/24/2004
California,"Los Angeles","Long Beach","2520 Pacific Coast E Hwy 221",,01/27/2004
California,Lake,Lakeport,"525 Esplanade St",,01/27/2004
California,"San Bernardino",Redlands,"1034 Alta St",,01/28/2004
California,Riverside,Riverside,"344 N State 148",,01/28/2004
California,Imperial,Holtville,"819 1/2 Fern St",,01/28/2004
California,Imperial,Holtville,"819 1/2 Fern St",,01/28/2004
California,Tulare,Woodville,"16477 Hudson Ave",,01/29/2004
California,"San Bernardino",Victorville,"16717 C St",,01/30/2004
California,"San Diego","San Diego","875 Hotel S Cir",,01/30/2004
California,"San Diego",Santee,"8593 Magnolia Ave",,01/30/2004
California,Orange,"Laguna Beach","985 Pacific Coast N Hwy",,02/01/2004
California,Shasta,Redding,"1420 Arizona Street",,02/02/2004
California,Sacramento,Sacramento,"4405 23rd St",,02/04/2004
California,Kern,Delano,"1305 20th Ave",,02/04/2004
California,Butte,Oroville,"1940 Helman St",,02/04/2004
California,Butte,Oroville,"1940 Helman St",,02/04/2004
California,Kern,Delano,"1305 20th Ave",,02/04/2004
California,Merced,Merced,"2536 Lobo",,02/04/2004
California,Imperial,Holtville,"2300 Slayton Rd",,02/05/2004
California,Butte,Oroville,"110 Greenback Dr",,02/05/2004
California,Butte,Oroville,"110 Greenback Dr",,02/05/2004
California,Alameda,"San Lorenzo","17283 Via Annette Dr",,02/06/2004
California,Alameda,"San Lorenzo","17283 Via Annette Dr",,02/06/2004
California,Riverside,Hemet,"531 Cedar Ln 2",,02/07/2004
California,Tulare,Porterville,"27003 Avenue 120",,02/07/2004
California,Stanislaus,Stanislaus,"13660 Carpenter Rd",,02/07/2004
California,"Santa Clara","San Jose","110 Roundtable Dr 1",,02/08/2004
California,Riverside,Perris,"332 W 11th St",,02/08/2004
California,Orange,"Buena Park","7555 Beach Blvd 128",,02/10/2004
California,Merced,Stevinson,"18910 W 6th St",,02/10/2004
California,Riverside,Hemet,"1675 Cobble Ln",,02/11/2004
California,"San Bernardino",Chino,"11838 Central Ave 93",,02/11/2004
California,Orange,Irvine,"173 Topeka",,02/11/2004
California,Solano,Vallejo,"1130 Monterey St",,02/12/2004
California,Riverside,"Cathedral City","68557 C Street",,02/16/2004
California,"San Bernardino","Apple Valley","21845 Arapahoe St 1",,02/17/2004
California,Sutter,"Yuba City","1400 Lytle Rd",,02/17/2004
California,"San Bernardino",Rialto,"349 N Lilac",,02/17/2004
California,Riverside,Hemet,"1097 N State St 2",,02/18/2004
California,Alameda,"San Leandro","1735 138th Ave",,02/18/2004
California,Alameda,"San Leandro","1735 138th Ave",,02/18/2004
California,"San Bernardino",Victorville,"16868 Stoddard Wells Rd",,02/19/2004
California,Siskiyou,Weed,"208 Jackson St",,02/21/2004
California,Kern,Bakersfield,"8614 Fuller",,02/22/2004
California,"San Bernardino","Twentynine Palms","4828 Lear Ave",,02/22/2004
California,Sacramento,Sacramento,"4719 Hayford Way",,02/24/2004
California,"San Bernardino",Hesperia,"14926 Fir St",,02/25/2004
California,Merced,Merced,"3613 N Garner Rd",,02/27/2004
California,Alameda,Newark,"37120 Spruce St G",,02/29/2004
California,Riverside,"Glen Avon Heights","4080 Conning",,02/29/2004
California,Humboldt,Fortuna,"1788 Penn Ave",,03/02/2004
California,Humboldt,Fortuna,"1788 Penn Ave",,03/02/2004
California,Siskiyou,Dorris,"2100 Sheepy Island Rd 437",,03/03/2004
California,"Los Angeles",Lancaster,"3995 Avenue H W",,03/03/2004
California,"Los Angeles","East Los Angeles","4135 Floral Ave",,03/05/2004
California,Stanislaus,Waterford,"575 E St",,03/05/2004
California,"San Bernardino","San Bernardino","1443 Cedar 23",,03/09/2004
California,"San Bernardino",Victorville,"15330 Condor Rd",,03/09/2004
California,Sutter,"Yuba City","1718 Elmer Rd",,03/10/2004
California,Yolo,Woodland,"1730 Donner Way",,03/10/2004
California,"Los Angeles",Compton,"1016 Poinsettia S Ave",,03/10/2004
California,Alameda,Hayward,"333 Jackson St 219",,03/12/2004
California,Alameda,Hayward,"333 Jackson St 219",,03/12/2004
California,Riverside,"El Cerrito","19078 Rising Sun Rd",,03/12/2004
California,Riverside,Corona,"734 Viewtop Ln",,03/12/2004
California,Riverside,Norco,"2574 Ridgecrest",,03/16/2004
California,Butte,Oroville,"2437 Oro Quincy Hwy",,03/17/2004
California,Butte,Oroville,"2437 Oro Quincy Hwy",,03/17/2004
California,Shasta,Redding,"781 S Street",,03/21/2004
California,"San Diego",Escondido,"1306 Ronda Ave",,03/23/2004
California,Sacramento,Sacramento,"7624 Birdie Ct",,03/23/2004
California,Solano,Dixon,"805 N Adams St 110",,03/23/2004
California,Tulare,Lindsay,"1445 E Honolulu",,03/24/2004
California,Riverside,Hemet,"772 N State",,03/24/2004
California,"Los Angeles",Llano,"25757 V E Ave",,03/24/2004
California,Humboldt,Mckinleyville,"2331 Central Ave 4",,03/25/2004
California,"San Bernardino","Newberry Springs","52875 Bedford Rd",,03/25/2004
California,Sacramento,Sacramento,"1536 Strader Ave",,03/26/2004
California,Solano,Vallejo,"1163 Lewis Ave",,03/30/2004
California,Sacramento,Sacramento,"5867 Auburn Blvd 30",,03/30/2004
California,"San Bernardino",Fontana,"13519 Arrow Rt",,03/30/2004
California,Shasta,Redding,"12691 Williamson Rd",,03/30/2004
California,Riverside,Hemet,"225 S Elk St 36",,03/30/2004
California,Butte,Paradise,"6441 Moss Ln",,03/31/2004
California,Butte,Paradise,"6441 Moss Ln",,03/31/2004
California,Tulare,Dinuba,"39780 Road 56",,03/31/2004
California,Butte,Magalia,"3 Jordan Hill Rd",,03/31/2004
California,Riverside,Riverside,"5861 Mitchell",,03/31/2004
California,"San Bernardino","Twentynine Palms","7580 Mac Rd",,03/31/2004
California,Sacramento,Sacramento,"2530 Street S 8",,04/01/2004
California,Riverside,Corona,"995 Pomona Rd 17",,04/02/2004
California,"Santa Clara",Gilroy,"7860 Driftwood Ter A",,04/03/2004
California,"Los Angeles",Palmdale,"38233 Hendon Dr",,04/03/2004
California,Sacramento,"Rancho Cordova","10892 Walnutwood Way",,04/04/2004
California,Merced,Livingston,"5679 Arena Way",,04/06/2004
California,Yuba,Marysville,"1118 I St",,04/06/2004
California,"San Bernardino","San Bernardino","1443 Cedar St 1",,04/09/2004
California,Butte,Biggs,"2164 Larkin",,04/09/2004
California,Butte,Biggs,"2164 Larkin",,04/09/2004
California,"Los Angeles",Torrance,"4111 Pacific Coast Highway 308",,04/11/2004
California,Stanislaus,Turlock,"6407 Mitchell Rd",,04/12/2004
California,Yuba,Marysville,"1205 E 22nd St",,04/12/2004
California,"Del Norte","Crescent City","1733 Wildwood Ln",,04/14/2004
California,Yuba,Marysville,"222 H St",,04/14/2004
California,"Del Norte","Crescent City","1733 Wildwood Ln",,04/14/2004
California,Riverside,Beaumont,"34250 San Timiteo Canyon Rd",,04/15/2004
California,Merced,Hilmar,"20295 August Rd",,04/15/2004
California,"San Bernardino","Twentynine Palms","5665 Aeronia",,04/15/2004
California,"San Joaquin",Stockton,"9800 E Eight Mile Rd",,04/16/2004
California,"San Bernardino",Baker,"71759 Baker Blvd",,04/16/2004
California,"San Joaquin",Stockton,"5708 N Highway 99",,04/18/2004
California,Riverside,Beaumont,"1016 Palm Ave",,04/19/2004
California,Butte,Chico,"939 W East Ave 4",,04/19/2004
California,Lake,Clearlake,"13660 East Lake Dr",,04/19/2004
California,Butte,Chico,"939 W East Ave 4",,04/19/2004
California,Lake,Clearlake,"13660 East Lake Dr",,04/19/2004
California,Solano,Vallejo,"618 Main St",,04/20/2004
California,"Los Angeles",Norwalk,"11026 Imperial E Hwy 10",,04/21/2004
California,"San Joaquin",Stockton,"1560 Silver Creek",,04/22/2004
California,"San Bernardino",Highland,"7409 Los Feliz Dr",,04/23/2004
California,"San Bernardino","San Bernardino","3160 N State St",,04/23/2004
California,Orange,Tustin,"13624 Estero Cir",,04/24/2004
California,"San Bernardino",Phelan,"8135 Joshua St",,04/27/2004
California,Humboldt,Eureka,"1984 Gage Ln",,04/27/2004
California,Lake,Clearlake,"15888 19th St",,04/28/2004
California,Madera,Chowchilla,"18899 Road 16",,04/28/2004
California,Lake,Clearlake,"15888 19th St",,04/28/2004
California,Riverside,"Lake Elsinore","17911 Thoreson",,04/29/2004
California,"El Dorado","El Dorado","6841 Union Mine Rd",,04/29/2004
California,"El Dorado","El Dorado","6841 Union Mine Rd",,04/29/2004
California,Riverside,Hemet,"43939 Florida Ave",,05/04/2004
California,"Santa Clara","San Jose","1374 Randol Ave",,05/05/2004
California,Butte,Oroville,"126 Canyon Highlands Dr",,05/05/2004
California,Butte,Oroville,"126 Canyon Highlands Dr",,05/05/2004
California,Butte,Oroville,"208 Misty View Ln",,05/10/2004
California,Butte,Oroville,"208 Misty View Ln",,05/10/2004
California,Sutter,"Yuba City","1292 Harter Rd",,05/11/2004
California,Glenn,Willows,"5627 County Road 69",,05/12/2004
California,"Los Angeles","Los Angeles","560 Keenan Ave",,05/12/2004
California,Yuba,Marysville,"1804 Hile Ave C",,05/12/2004
California,Glenn,Willows,"5627 County Road 69",,05/12/2004
California,"San Bernardino",Chino,"12018 Central Ave",,05/13/2004
California,Solano,Vallejo,"136 Hogan St",,05/14/2004
California,Riverside,Hemet,"585 S Santa Fe",,05/15/2004
California,Sutter,Sutter,"2235 Madrone St",,05/17/2004
California,"San Bernardino",Highland,"25715 Lime St",,05/18/2004
California,"San Diego",Fallbrook,"422 Catalpa Ln",,05/19/2004
California,Yuba,Marysville,"1505 Ramirez Rd",,05/20/2004
