state,county,city,address1,address2,date
Colorado,"El Paso","Colorado Springs","1124 Colorado W Ave",,01/02/2004
Colorado,"El Paso","Colorado Springs","115 24th S St",,01/05/2004
Colorado,Pueblo,Pueblo,"903 9th E St",,01/09/2004
Colorado,"El Paso","Colorado Springs","4610 Rusina Rd 119",,01/11/2004
Colorado,"El Paso","Colorado Springs","2625 Ore Mill Rd 121",,01/12/2004
Colorado,"El Paso","Colorado Springs","3603 Indian Pipe Cir",,01/15/2004
Colorado,Denver,Denver,"1106 Clarkson S St A",,01/20/2004
Colorado,"El Paso","Colorado Springs","4204 Loomis Ave",,01/21/2004
Colorado,Larimer,"Fort Collins","1511 South Summitview Drive",,01/21/2004
Colorado,"El Paso","Colorado Springs","2571 Uintah E St 12",,01/22/2004
Colorado,Boulder,Longmont,"2264 Dexter Dr",,01/22/2004
Colorado,"El Paso",Security,"1100 Hallam Ave B",,01/23/2004
Colorado,"El Paso","Colorado Springs","1518 Parkway Dr",,01/29/2004
Colorado,Adams,Westminster,"12085 Delaware N St 328",,01/30/2004
Colorado,"El Paso","Colorado Springs","2631 Pikes Peak W Ave H",,01/30/2004
Colorado,Denver,Denver,"2570 Dayton S Way D307",,02/03/2004
Colorado,Adams,Denver,"1481 71st Street W Pl 2",,02/04/2004
Colorado,"El Paso","Colorado Springs","3010 Chestnut N St 255",,02/07/2004
Colorado,Prowers,Lamar,"113 Main N",,02/07/2004
Colorado,"El Paso","Colorado Springs","6210 Corporate Dr 137",,02/08/2004
Colorado,"El Paso","Colorado Springs","1025 Loflin Rd",,02/13/2004
Colorado,Jefferson,Arvada,"11308 59th W Pl",,02/22/2004
Colorado,Jefferson,Morrison,"13444 Saratoga W Dr",,02/23/2004
Colorado,"Clear Creek","Idaho Springs","97 Spruce Ln",,02/27/2004
Colorado,"El Paso","Colorado Springs","2725 A Las Vegas E St",,02/28/2004
Colorado,Larimer,"Fort Collins","634 Mathews St C8",,03/01/2004
Colorado,Prowers,Lamar,"316 N 4th",,03/06/2004
Colorado,Montezuma,Cortez,"215 Maple S St",,03/06/2004
Colorado,Larimer,Loveland,"1197 Wilson N Ave 205",,03/07/2004
Colorado,Pueblo,Pueblo,"111 Park Dr A",,03/07/2004
Colorado,"El Paso","Colorado Springs","805 Circle S Dr 1j",,03/10/2004
