state,county,city,address1,address2,date
Florida,Brevard,Melbourne,"1620 Harlock Rd",,01/01/2004
Florida,Walton,"Ponce De Leon","9538 Cr 183 S",,01/02/2004
Florida,Marion,Ocala,"5950 100 Nw St",,01/05/2004
Florida,Orange,Orlando,"8608 Sun Dr",,01/08/2004
Florida,Bay,"Panama City Beach","20111 Alta Vista Dr",,01/08/2004
Florida,Walton,Freeport,"20 April Ct",,01/09/2004
Florida,Bay,"Panama City","3515 16th W St 10",,01/13/2004
Florida,Bay,"Panama City Beach","5801 Thomas Dr 919",,01/13/2004
Florida,Bay,"Panama City","3511 16th W",,01/13/2004
Florida,Bay,"Panama City","2631 Headland Ave",,01/14/2004
Florida,Pasco,"Dade City","37204 Main St",,01/18/2004
Florida,Escambia,Pensacola,"6530 Palafox St",,01/19/2004
Florida,Jackson,"Grand Ridge","7028 Hamilton Rd",,01/20/2004
Florida,Washington,Chipley,"5363 Amethyst Ln",,01/22/2004
Florida,Sumter,Wildwood,"4938 County 472 Rd",,01/23/2004
Florida,Holmes,Bonifay,"1134 Culbread Rd",,01/26/2004
Florida,Polk,Lakeland,"2922 County Ridge Ln",,01/26/2004
Florida,Bay,Southport,"7401 Gainer Bayou S Rd",,01/27/2004
Florida,Polk,"Winter Haven","2825 J Nw Ave",,01/30/2004
Florida,Holmes,Bonifay,"2156-a 79 N Hwy",,01/31/2004
Florida,Bay,"Panama City","2913 Lisenby Ct B",,02/04/2004
Florida,Orange,Orlando,"7805 Wortham Ct",,02/05/2004
Florida,Jackson,Alford,"2453 Third Ave",,02/05/2004
Florida,Volusia,"New Smyrna Beach","164 Warren",,02/06/2004
Florida,Okaloosa,Niceville,"517 Samana Way",,02/09/2004
Florida,Walton,"Defuniak Springs","243 Toledo W St",,02/10/2004
Florida,Bay,"Panama City Beach","128 (b) Lake Pl 3",,02/10/2004
Florida,Bay,"Panama City Beach","7000 Sunset Ave",,02/16/2004
Florida,Bay,"Panama City Beach","106 Lakeview Cir 106",,02/19/2004
Florida,"St Lucie","Fort Pierce","102 Calypso Dr",,02/22/2004
Florida,Bay,Fountain,"20622 Brandon Rd",,02/23/2004
Florida,"Santa Rosa",Milton,"6305 Toda Ln",,02/23/2004
Florida,Marion,"Silver Springs","1025 163rd Se Ave",,02/24/2004
Florida,Holmes,Bonifay,"3334 Ward Rd",,02/25/2004
Florida,Charlotte,"Port Charlotte","605 Fifth Ave",,03/02/2004
Florida,Holmes,Westville,"2526 Main W St",,03/03/2004
Florida,Bay,"Panama City","108 Casa Pl 24",,03/03/2004
Florida,Marion,Dunnellon,"9115 156 Se Pl",,03/08/2004
Florida,Brevard,"Palm Bay","1183 Tarleton St",,03/09/2004
Florida,Escambia,Pensacola,"2595 Dog Track Rd Lot C",,03/10/2004
Florida,Escambia,Pensacola,"504 Palmetto E Ave B",,03/11/2004
Florida,Pinellas,"Saint Petersburg","2321 Trelaine S Dr",,03/12/2004
Florida,Okaloosa,Destin,"217 Sibert Ave",,03/12/2004
Florida,Okaloosa,Niceville,"521 County Line Rd",,03/14/2004
Florida,Okaloosa,Valparaiso,"358 Madison Ave",,03/17/2004
Florida,Brevard,Cocoa,"2545 Stratford Dr",,03/17/2004
Florida,Bay,Callaway,"610 Mary Ella N Ave",,03/20/2004
Florida,Bay,"Panama City","8011 Cluster Rd",,03/21/2004
Florida,Okaloosa,Niceville,"1595 John Sims E Pkwy",,03/23/2004
Florida,Bay,"Lynn Haven","401 8th E St",,03/25/2004
Florida,Escambia,Pensacola,"10025 Hillview Dr 17",,03/25/2004
Florida,Charlotte,"Port Charlotte","22357 Midway Blvd",,03/26/2004
Florida,Okaloosa,Niceville,"304 Reeves St C-5",,03/29/2004
Florida,Escambia,Pensacola,"8271 Kipling St B",,03/30/2004
Florida,Walton,"Santa Rosa Beach","121 Country Club Dr",,04/02/2004
Florida,"St. Johns",,"4500 4 Ave",,04/05/2004
Florida,Okaloosa,Shalimar,"61 Fawn Ln",,04/06/2004
Florida,Brevard,Rockledge,"1021 Botany Ln",,04/07/2004
Florida,Brevard,Rockledge,"959 Brookview Ln",,04/07/2004
Florida,Walton,"Defuniak Springs","119 Jim Cotton S Dr",,04/09/2004
Florida,Bay,Southport,"1218 5th St",,04/11/2004
Florida,Putnam,"East Palatka","111 Beech St",,04/14/2004
Florida,Osceola,Kissimmee,"1408 Patrick W Cir",,04/14/2004
Florida,Pasco,Zephyrhills,"8106 Gall (us Hwy 301) Blvd Lot #55b",,04/15/2004
Florida,Bay,Southport,"2002 Bayberry Ln",,04/16/2004
Florida,Hillsborough,"Plant City","3611 Pope Farm Rd",,04/19/2004
Florida,"Santa Rosa",Milton,"8228 New Castle Ct",,04/20/2004
Florida,Jackson,Marianna,"4363 Kelson Ave",,04/21/2004
Florida,Okaloosa,Niceville,"48 Virginia Ct",,04/22/2004
Florida,Walton,Freeport,"23 Melvin Ln",,04/23/2004
Florida,Bay,"Panama City","5100 Bertha Nelson Rd",,04/24/2004
Florida,"Santa Rosa",Jay,"2592 Howell Pitt Rd",,04/25/2004
Florida,Pasco,"Dade City","11720 Meadowland Dr",,04/29/2004
Florida,"Santa Rosa",Milton,"7402 Sherwood Forest Dr",,05/06/2004
Florida,Bay,"Panama City","416 Alpine Way",,05/07/2004
Florida,Walton,"Defuniak Springs","102 Cherokee N Cir",,05/07/2004
Florida,Brevard,"Satellite Beach","198 Ala S 121",,05/11/2004
Florida,Jackson,Marianna,"973 71 S Hwy A",,05/11/2004
Florida,Brevard,Melbourne,"7200 George T Edwards Dr 404",,05/13/2004
