state,county,city,address1,address2,date
Georgia,Douglas,"Lithia Springs","1801 Lee Rd",,01/03/2004
Georgia,Dade,"Lookout Mountain","51 Mystery Ln",,01/07/2004
Georgia,Madison,Danielsville,"597 Faye Carey Rd",,01/07/2004
Georgia,Walker,Rossville,"1975 B Hwy 341 N",,01/12/2004
Georgia,Brooks,Pavo,"662 Nesbit Rd",,01/15/2004
Georgia,Catoosa,Ringgold,"60 Ken Ln",,01/17/2004
Georgia,Lanier,"Ray City","137 Amber Ln",,01/23/2004
Georgia,Bartow,Adairsville,"1401 140 Hwy",,01/23/2004
Georgia,Effingham,Guyton,"1734 Central Ave",,01/27/2004
Georgia,Whitfield,Dalton,"204 Cedar Ridge Rd",,01/28/2004
Georgia,Bartow,Cartersville,"192 Woodland Way",,01/29/2004
Georgia,Hall,Lula,"325 Moccasin Gap Rd",,01/30/2004
Georgia,Wilcox,Rochelle,"853 Mccall Rd",,02/04/2004
Georgia,Chattooga,Summerville,"855 Blowing Springs Rd",,02/05/2004
Georgia,Walker,Rossville,"111 Orchard St",,02/10/2004
Georgia,Jackson,Jefferson,"287 Mahaffey St",,02/12/2004
Georgia,Laurens,"East Dublin","743 Zion Hill Rd Lot 18",,02/12/2004
Georgia,Pulaski,Hawkinsville,"103 Dooly N St 2",,02/13/2004
Georgia,Effingham,Meldrim,"218 Uncle Bud Dr",,02/13/2004
Georgia,Catoosa,Rossville,"1304 Lake View Dr",,02/14/2004
Georgia,Twiggs,Jeffersonville,"10996 80 Hwy",,02/15/2004
Georgia,Bartow,Cartersville,"81 Old Tennessee Rd",,02/18/2004
Georgia,Douglas,Douglasville,"2217 Chestnut Log Lp",,02/18/2004
Georgia,Effingham,Clyo,"2434 Springfield Egypt Rd",,02/27/2004
Georgia,Bartow,Cartersville,"41 Akins St",,02/29/2004
Georgia,Coffee,Ambrose,"1486 New Hope Rd",,03/02/2004
Georgia,Clinch,Homerville,"211 Pineview Ave",,03/03/2004
Georgia,Chattooga,Trion,"17 Long Hollow Rd",,03/03/2004
Georgia,Walker,Lafayette,"160 Baker Dr",,03/06/2004
Georgia,Walker,Lafayette,"35 Baker Dr",,03/06/2004
Georgia,Laurens,"East Dublin","242 Falcon Dr",,03/08/2004
Georgia,Laurens,Dexter,"2434 Mcdaniel Rd",,03/10/2004
Georgia,Walker,Lafayette,"999 Cook",,03/11/2004
Georgia,Whitfield,Dalton,"407 Williams Rd",,03/16/2004
Georgia,Whitfield,Dalton,"3143 Dixie S Hwy",,03/18/2004
Georgia,Bartow,Cassville,"925 Cassville Rd 14",,03/18/2004
Georgia,Spalding,Griffin,"1795 Mcdonough N Rd",,03/18/2004
Georgia,Walker,Rossville,"26 Ellis Rd Lot 9",,03/18/2004
Georgia,Catoosa,Ringgold,"320 Teems E Rd",,03/20/2004
Georgia,Walker,Rossville,"16 Reece W St",,03/24/2004
Georgia,Chattooga,Summerville,"195 Lakeside Ln",,03/30/2004
Georgia,Fannin,"Mineral Bluff","1252 Wolf Creek Rd G",,03/30/2004
Georgia,Walker,Rossville,"113 Peachtree E St",,03/31/2004
Georgia,Coffee,Douglas,"447 411 S Hwy",,04/01/2004
Georgia,Dawson,Dawsonville,"54 Needham Dr",,04/01/2004
Georgia,Walker,Lafayette,"13825 151 Hwy",,04/02/2004
Georgia,Coweta,Newnan,"23 Hill E St",,04/03/2004
Georgia,Walker,Lafayette,"89 Livie Dr",,04/12/2004
Georgia,Chatham,Bloomingdale,"85 Godley Road",,04/13/2004
Georgia,Chattooga,Trion,"14230 27 Hwy 110",,04/13/2004
Georgia,Spalding,Griffin,"106 Magnolia Trail",,04/19/2004
Georgia,Haralson,Tallapoosa,"41 Riverside Rd",,04/19/2004
Georgia,Walker,Rossville,"322 Rosa St",,04/21/2004
Georgia,Bartow,Taylorsville,"2394 Euharlee Rd",,04/23/2004
Georgia,Jackson,Nicholson,"1096 Ed Bennett Rd",,04/23/2004
Georgia,Irwin,Ocilla,"120 Paradise Ln",,04/26/2004
Georgia,Paulding,Hiram,"1257 Pace Rd 208",,04/27/2004
Georgia,Walker,Lafayette,"1121 Mission Ridge Rd",,04/28/2004
Georgia,"Ben Hill",Fitzgerald,"277 Lobingier Ave",,04/29/2004
