state,county,city,address1,address2,date
Iowa,Winneshiek,Decorah,"804  Sumner",,
Iowa,Monroe,Albia,"216 Clinton S",,01/01/2004
Iowa,Linn,"Cedar Rapids","1758 Mallory St",,01/02/2004
Iowa,"Van Buren",Keosauqua,"22374 Columbia St",,01/02/2004
Iowa,Marion,Knoxville,"506 Fourth S St",,01/02/2004
Iowa,Johnson,"Iowa City","3981 N.e. Overlook W Rd",,01/02/2004
Iowa,"Des Moines",Burlington,"1111 Fifth N St",,01/03/2004
Iowa,Linn,"Cedar Rapids","307 33rd Ne St",,01/05/2004
Iowa,Polk,"Des Moines","2523 59th St",,01/06/2004
Iowa,Clarke,Osceola,"314 Vale S",,01/07/2004
Iowa,Hamilton,Ellsworth,"3057 Tollman Ave",,01/07/2004
Iowa,Tama,Traer,"8808 East 5th Street",,01/08/2004
Iowa,Wapello,Ottumwa,"6962 Cemetery Rd",,01/08/2004
Iowa,Dubuque,Dubuque,"2270 Jackson",,01/09/2004
Iowa,Linn,"Cedar Rapids","1123 1st Sw Ave",,01/09/2004
Iowa,Polk,"Des Moines","1908 Lay St",,01/12/2004
Iowa,Polk,"Pleasant Hill","151 Pleasant Hill N Blvd",,01/12/2004
Iowa,Monona,Castana,"101 Oak S St",,01/13/2004
Iowa,Story,Ames,"1343 Y Ave",,01/14/2004
Iowa,Audubon,Exira,"515 Washington E St",,01/14/2004
Iowa,Polk,"Des Moines","1213 Cleveland E",,01/15/2004
Iowa,Polk,"West Des Moines","3000 University Ave 73",,01/20/2004
Iowa,Pottawattamie,Underwood,"22426 Hwy 191",,01/20/2004
Iowa,Pottawattamie,Underwood,"22426 Highway 191",,01/20/2004
Iowa,Marion,Harvey,"408 Tower Dr",,01/21/2004
Iowa,Warren,Indianola,"10271 R57 Hwy",,01/22/2004
Iowa,"Des Moines",Burlington,"1401 Lincoln Ave",,01/22/2004
Iowa,Humboldt,Renwick,"512 Kelling St",,01/22/2004
Iowa,Cass,Massena,"507 Clark Ave",,01/22/2004
Iowa,Marion,Knoxville,"909 Main W St",,01/22/2004
Iowa,"Black Hawk",Waterloo,"10208 Newell St",,01/23/2004
Iowa,Louisa,Wapello,"15816 70th St",,01/24/2004
Iowa,Clinton,Clinton,"2604 Fourth N St 2007",,01/25/2004
Iowa,Boone,Odgen,"965 22nd Dr 1",,01/26/2004
Iowa,Webster,Otho,"304 North St",,01/26/2004
Iowa,Benton,"Belle Plaine","1236 D Ave",,01/26/2004
Iowa,Woodbury,"Sioux City","2808 Myrtle St",,01/27/2004
Iowa,Crawford,"Dow City","3116 230th St",,01/27/2004
