state,county,city,address1,address2,date
Idaho,Bannock,Pocatello,"43 Mar Vista Dr",,01/02/2004
Idaho,Canyon,Nampa,"1303 Greenhurst Rd 34-36",,01/14/2004
Idaho,Bannock,Pocatello,"2674 Main N",,01/20/2004
Idaho,Canyon,Nampa,"915 7th N St",,01/22/2004
Idaho,"Twin Falls","Twin Falls","1122 South Washington",,01/29/2004
Idaho,Kootenai,"Coeur D'alene","3630 Government N Way 1",,02/10/2004
Idaho,Bonner,"Priest River","673 Ayla Bear Ln",,02/19/2004
Idaho,Shoshone,Kellogg,"898 Moon Gulch Rd B",,02/28/2004
Idaho,Bonneville,"Idaho Falls","1405 1st. E St",,03/24/2004
Idaho,Canyon,Caldwell,"102 Galveston 15",,05/03/2004
Idaho,Boise,"Horseshoe Bend","108 Boise St",,05/23/2004
Idaho,"Nez Perce",Lewiston,"3526 12th St 4",,06/17/2004
Idaho,Benewah,"Saint Maries","1121 Washington St",,08/04/2004
Idaho,Kootenai,"Post Falls","14016 Harmon W Ave",,08/06/2004
Idaho,Shoshone,Osburn,"203 Walnut E",,08/17/2004
Idaho,Benewah,"Saint Maries","61 Reids Corner",,08/28/2004
Idaho,Bingham,Blackfoot,"444 Rice St",,09/20/2004
Idaho,Payette,Payette,"1615 Center St 1",,10/21/2004
Idaho,Kootenai,"Coeur D'alene","801 2nd N St",,11/04/2004
Idaho,Payette,Fruitland,"918 West First",,11/21/2004
Idaho,Ada,Boise,"5416 Fairview Avenue",,12/02/2004
Idaho,Idaho,Kooskia,"609 Pine E St",,02/06/2005
Idaho,Kootenai,"Coeur D'alene","1212 Sherman E Ave 3",,03/14/2005
Idaho,Kootenai,"Coeur D'alene","1204 7th N St",,04/05/2005
Idaho,Benewah,Plummer,"1172 Street 4",,06/02/2005
Idaho,Kootenai,"Coeur D'alene","3208 17th N St",,06/06/2005
Idaho,Gem,Caldwell,"15144 Oasis Road",,08/11/2005
Idaho,Kootenai,"Coeur D'alene","317 13th S St",,08/19/2005
Idaho,Kootenai,"Coeur D'alene","703 13th South N St",,11/04/2005
Idaho,Gem,Emmett,"2222 Schiller Rd",,11/14/2005
Idaho,Canyon,Nampa,"1111 South 10th Street",,01/05/2006
Idaho,"Nez Perce",Lewiston,"224 9th Street",,01/11/2006
Idaho,Kootenai,"Coeur D'alene","1718 Mary E Ln",,02/23/2006
Idaho,Ada,Boise,"5921 South Sedum Way",,04/12/2006
Idaho,Canyon,Nampa,"320 12th Avenue",,04/28/2006
Idaho,Shoshone,Wallace,"114 Queen Street",,05/25/2006
Idaho,Ada,"Garden City","205 West 38th Street",,06/23/2006
Idaho,Payette,Payette,"105 North 8th Avenue",,06/29/2006
Idaho,Gem,Emmett,"905 East 4th Street",,07/14/2006
Idaho,Payette,"New Plymouth","4564 East Idaho Avenue",,04/03/2007
Idaho,Canyon,Nampa,"2313 South Florence",,06/09/2007
Idaho,Kootenai,"Coeur D Alene","8997 West Patrick Drive",,06/12/2007
Idaho,Bonneville,"Idaho Falls","6020 West Arco Highway",,09/05/2007
Idaho,Payette,Fruitland,"1706 Allen Street",,09/20/2007
Idaho,Bonner,Blanchard,"1305 Hidden Valley Road",,10/31/2007
Idaho,Ada,Meridian,"2378 North Langhridge Avenue",,10/31/2007
Idaho,Kootenai,"Coeur D'alene","2916 Julia Street",,12/18/2007
Idaho,"Twin Falls",Hansen,"4 Neilson Lane",,12/28/2007
Idaho,Ada,Boise,"5075 South Dakota Avenue",,04/21/2008
Idaho,Canyon,Nampa,"5805 East Amity Avenue",,04/22/2009
Idaho,Canyon,Nampa,"419 South 15th Avenue 2",,01/06/2010
Idaho,Ada,Boise,"838  White Cloud Drive",,01/11/2010
Idaho,Ada,Kuna,"13131 South Five Mile Road",,06/24/2010
Idaho,Canyon,Middleton,"803 South E. 2nd Street",,03/19/2014
Idaho,Canyon,Nampa,"408 South Maple",,12/09/2014
