state,county,city,address1,address2,date
Illinois,Jackson,"Grand Tower","300 21 St",,01/01/2004
Illinois,Stark,Bradford,"2720 Wyanet-walnut Rd",,01/02/2004
Illinois,Iroquois,Wellington,"203 Donovan S St",,01/03/2004
Illinois,Vermilion,Georgetown,"217 13th E St",,01/03/2004
Illinois,Champaign,Rantoul,"1109 Eastview Dr",,01/07/2004
Illinois,Madison,Alton,"370 6th N St",,01/07/2004
Illinois,Madison,Edwardsville,"1438 Eberhart",,01/08/2004
Illinois,Gallatin,"Old Shawneetown","427 Main S",,01/09/2004
Illinois,Macoupin,Medora,"12864 Rosedale Rd",,01/09/2004
Illinois,Knox,Galesburg,"1901 Rt 150 N 16",,01/10/2004
Illinois,Madison,Madison,"2024 Collinsville",,01/10/2004
Illinois,Madison,"Granite City","2301 23rd W St",,01/11/2004
Illinois,Edwards,Albion,"232 Cherry E",,01/12/2004
Illinois,Johnson,Vienna,"2925 Reevesville Rd",,01/12/2004
Illinois,Coles,Mattoon,"2101 Champaign 200",,01/12/2004
Illinois,"Saint Clair",Belleville,"10 B Elm Dr",,01/13/2004
Illinois,Knox,Galesburg,"1056 Lyman St",,01/16/2004
Illinois,Williamson,Carterville,"111 Stable Dr",,01/16/2004
Illinois,Macoupin,Girard,"30116 Proctor Rd",,01/16/2004
Illinois,Clark,Martinsville,"7 Elm S",,01/17/2004
Illinois,Tazewell,Pekin,"1406 Sheridan 1",,01/21/2004
Illinois,Champaign,Champaign,"1311 Sunset Dr",,01/21/2004
Illinois,Woodford,"Spring Bay","1643 High St",,01/21/2004
Illinois,Marion,Kinmundy,"7823 King Rd",,01/22/2004
Illinois,Jefferson,"Mount Vernon","750 10th S St 126",,01/23/2004
Illinois,Adams,Quincy,"2534 Cherry",,01/23/2004
Illinois,Tazewell,Pekin,"106 Parkview Ct 2",,01/24/2004
Illinois,Jefferson,Texico,"20320 Miller Lake N Ln",,01/26/2004
Illinois,"Jo Daviess","East Dubuque","422 Wyota St",,01/27/2004
Illinois,Iroquois,Wellington,"477 2nd North E St 4a",,01/27/2004
Illinois,Fulton,Canton,"106 Chestnut E St #3",,02/01/2004
Illinois,Vermilion,Hoopeston,"1107\ 2nd S Ave",,02/04/2004
Illinois,Perry,Coulterville,"477 Tulip St",,02/06/2004
Illinois,Coles,Mattoon,"1817 Ninth S A-5",,02/07/2004
Illinois,Monroe,Waterloo,"103 Roosevelt Dr D",,02/07/2004
Illinois,Madison,Alton,"2804 Sanford Ave",,02/07/2004
Illinois,Vermilion,Georgetown,"502 Main S",,02/08/2004
Illinois,Sangamon,Springfield,"1315 1/2 Reservoir E St",,02/09/2004
Illinois,White,Crossville,"102 Second St",,02/10/2004
Illinois,Madison,Troy,"2020 Formosa Rd",,02/10/2004
Illinois,Marion,Salem,"439 Prairif View Dr",,02/11/2004
Illinois,Marion,Salem,"510 Boone W St",,02/11/2004
Illinois,Marion,Vernon,"211 Lair E St",,02/11/2004
Illinois,Champaign,Tolono,"1488 County Road 800n",,02/11/2004
Illinois,Madison,Edwardsville,"215 Seminole",,02/11/2004
Illinois,Marion,Vernon,"216 ""b"" N St",,02/11/2004
Illinois,Adams,Quincy,"626 Maine St A",,02/11/2004
Illinois,Vermilion,Danville,"632 Winkler Rd",,02/13/2004
Illinois,Williamson,Marion,"1006 Dickerson E St",,02/13/2004
Illinois,Sangamon,Springfield,"1620 Melrose",,02/14/2004
Illinois,Williamson,Pittsburg,"13422 Dwina Rd",,02/14/2004
Illinois,Franklin,Benton,"1210 Fairland N St",,02/14/2004
Illinois,Coles,Mattoon,"2021 Lafayette 3",,02/15/2004
Illinois,Williamson,"Johnston City","909 Follis Ave",,02/17/2004
Illinois,Jefferson,"Mount Vernon","100 44th N St 308",,02/17/2004
Illinois,Effingham,Effingham,"101 Henrietta S Ave 1",,02/18/2004
Illinois,Jackson,"Grand Tower","306 Main St",,02/18/2004
Illinois,Effingham,Effingham,"602 5th S",,02/19/2004
Illinois,Adams,Quincy,"1114 7th N",,02/19/2004
Illinois,White,Carmi,"503 Hillsdale Dr",,02/20/2004
Illinois,Jackson,Gorham,"111 Van Buren",,02/20/2004
Illinois,White,Springerton,"236 2100 N Rd",,02/20/2004
Illinois,White,"New Haven","459 1140 County E Rd",,02/20/2004
Illinois,Adams,Quincy,"115 Riverview St",,02/22/2004
Illinois,Madison,Alton,"711 Reuter",,02/23/2004
Illinois,Madison,"Granite City","2154 Benton",,02/23/2004
Illinois,Morgan,Waverly,"322 Prospect S St",,02/23/2004
Illinois,Franklin,Zeigler,"5163 Park St",,02/24/2004
Illinois,Cumberland,Jewett,"1101 Cumberland St",,02/25/2004
Illinois,Madison,Collinsville,"3115 Princeton St",,02/25/2004
Illinois,Christian,Pama,"817 1st E St",,02/26/2004
Illinois,Champaign,Ogden,"303 Main W",,02/26/2004
Illinois,Vermilion,Georgetown,"1307 Grace St",,02/29/2004
Illinois,Macoupin,Shipman,"4958 Mile Station Rd",,03/03/2004
Illinois,Bond,Pocahontas,"759 Cox Monument Rd",,03/03/2004
Illinois,Alexander,Elco,"127 State Rt 1 692",,03/03/2004
Illinois,Coles,Mattoon,"8608 County 200 East N Rd",,03/05/2004
Illinois,Marion,Centralia,"1905 Mccord E Sr",,03/07/2004
Illinois,Madison,"Pontoon Beach","4140 Potoon Rd A",,03/08/2004
Illinois,Madison,"Granite City","17 Wilson Park Dr",,03/08/2004
Illinois,Marion,Glenridge,"400 14th E",,03/09/2004
Illinois,Peoria,Peoria,"1311 Maywood W",,03/10/2004
Illinois,Shelby,Sigel,"201 Front E St",,03/10/2004
Illinois,Cumberland,Toledo,"304 Ohio S",,03/10/2004
Illinois,Williamson,"Johnston City","411 Adams I",,03/11/2004
Illinois,Franklin,Royalton,"309 Pecan S St",,03/11/2004
Illinois,Moultrie,Sullivan,"411 Jackson W",,03/11/2004
Illinois,Vermilion,Danville,"120 Kentucky St",,03/12/2004
Illinois,Jefferson,"Mount Vernon","1300 Westcott",,03/14/2004
Illinois,Macoupin,Girard,"824 Center W A",,03/15/2004
Illinois,Williamson,Herrin,"2780 Herrin Rd",,03/15/2004
Illinois,Madison,"South Roxana","200 Indiana Ave",,03/16/2004
Illinois,Williamson,Marion,"1108 Henderickson W",,03/17/2004
Illinois,Stark,Bradford,"2720 Wyanet & Walnut Rd",,03/18/2004
Illinois,Perry,"Du Quoin","7672 State Route 154 Rt 116",,03/18/2004
Illinois,Bureau,Bradford,"14348 300 N Ave",,03/18/2004
Illinois,Sangamon,Springfield,"3401 Gaines Mill Rd",,03/19/2004
Illinois,Clay,"Clay City","236 A 3rd Ne",,03/20/2004
Illinois,Clark,Casey,"300 1sta Ne St 5",,03/22/2004
Illinois,Madison,"Granite City","1415 Rhodes",,03/25/2004
Illinois,Sangamon,Grandview,"2112 Cincinnati E St",,03/25/2004
Illinois,Cook,"Stone Park","1515 Mannheim N Rd 8",,03/25/2004
Illinois,White,Maunie,"131 Sheridan St",,03/27/2004
Illinois,Madison,Alton,"2418 Judson",,03/28/2004
Illinois,Christian,Morrisonville,"201 Mohawk St",,03/30/2004
Illinois,Christian,Taylorville,"1398 600 East N Rd",,03/31/2004
Illinois,Jefferson,"Mount Vernon","817 Old Fairfield Rd",,03/31/2004
Illinois,Coles,Charleston,"14257 County 600 North E Rd",,04/01/2004
Illinois,Jefferson,"Mount Vernon","203 9th N St",,04/01/2004
Illinois,Clark,"West Union","207 Water N St",,04/01/2004
Illinois,Tazewell,Pekin,"106 Edds St",,04/02/2004
Illinois,"Rock Island",Moline,"2510 5th Ave 1/2",,04/02/2004
Illinois,Coles,Charleston,"5795 County Road 1460 East N",,04/02/2004
Illinois,Madison,"Granite City","16 Tracy Ln",,04/03/2004
Illinois,Williamson,Marion,"2100 Main W 351",,04/04/2004
Illinois,Macoupin,Plainview,"10948 Lebro Ln",,04/04/2004
Illinois,Clinton,"New Memphis","206 Walnut E",,04/05/2004
Illinois,Madison,"Granite City","2410 Bryan Ave",,04/05/2004
Illinois,Clay,Edgewood,"5566 Ridge Rd",,04/06/2004
Illinois,Madison,"Cottage Hills","1331 6th St",,04/07/2004
Illinois,Marion,Salem,"523 Castle S Ave",,04/07/2004
Illinois,Marion,Centralia,"2722 Lake Rd",,04/07/2004
Illinois,Vermilion,Rossville,"620 E Rd",,04/08/2004
Illinois,Jefferson,Bluford,"503 South W Ave",,04/08/2004
Illinois,Macoupin,Carlinville,"22847 Charity Church Rd",,04/11/2004
Illinois,Jefferson,"Mount Vernon","1118 22nd St",,04/12/2004
Illinois,Marion,"Walnut Hill","23878 Jefferson W St",,04/12/2004
Illinois,Logan,Lincoln,"2011 Kickapoo N St 225",,04/13/2004
Illinois,Effingham,Effingham,"15202 Monocot N St",,04/14/2004
Illinois,Johnson,Ozark,"3690 Ozark Rd",,04/16/2004
Illinois,Gallatin,"Old Shawneetown","855 Poplar N St",,04/21/2004
Illinois,Madison,"Granite City","3304 Terrace Ln",,04/21/2004
Illinois,Jefferson,"Mount Vernon","1418 Salem Rd",,04/21/2004
Illinois,Madison,Highland,"1704 Cypress",,04/22/2004
Illinois,Marion,Salem,"10 Nancy Ln",,04/23/2004
Illinois,Coles,Mattoon,"205 Mcfall Rd 232",,04/24/2004
Illinois,Knox,Galesbury,"565 Main W St",,04/24/2004
Illinois,Marion,Salem,"728 Whittaker W St",,04/26/2004
Illinois,Madison,"Granite City","2524 Hodges St",,04/26/2004
Illinois,Sangamon,Spaulding,"1077 Rraylot E",,04/27/2004
Illinois,"St. Clair","Fairview Heights","1916 North 89th Street",,04/28/2004
Illinois,Marion,Salem,"633 Boone E St",,04/28/2004
Illinois,Randolph,Coulterville,"10840 Boyd Rd",,04/30/2004
Illinois,Sangamon,Springfield,"1516 Seven Pines Rd 1",,04/30/2004
Illinois,Mason,"Mason City","505 Mason S St",,05/05/2004
Illinois,Marion,Centralia,"423 Beech N St",,05/06/2004
Illinois,Randolph,Sparta,"303 Main W St A",,05/06/2004
Illinois,Madison,Collinsville,"739 Lake Ave",,05/10/2004
