state,county,city,address1,address2,date
Indiana,Vanderburgh,Evansville,"2446  Indiana Bend",,
Indiana,Vanderburgh,Evansville,"928  Parkland Avenue",,
Indiana,Vanderburgh,Evansville,"1708 South Kerth",,
Indiana,Vanderburgh,Evansville,"2511 North Kerth Avenue",,
Indiana,Daviess,Washington,"201 13th Se St",,01/01/2004
Indiana,Dekalb,Butler,"605 Main E St 7",,01/02/2004
Indiana,Clay,"Clay City","911 Main S St",,01/06/2004
Indiana,Starke,"North Judson","2475 100 W. S",,01/07/2004
Indiana,Fountain,Kingman,"304 2nd N St",,01/08/2004
Indiana,Wabash,Lagro,"7174 Schmalzreid Rd",,01/08/2004
Indiana,Vigo,"Terre Haute","1040 Helen",,01/08/2004
Indiana,Jefferson,Dupont,"6935 Main St",,01/08/2004
Indiana,Crawford,Taswell,"3117 Allstot W Rd",,01/09/2004
Indiana,Vigo,Praireton,"7197 Morris Pl",,01/10/2004
Indiana,Knox,Vincennes,"2909 Old Us 41",,01/11/2004
Indiana,Vigo,"Terre Haute","2260 7th Ave",,01/12/2004
Indiana,Montgomery,Crawfordsville,"59 Imperial Dr",,01/12/2004
Indiana,Cass,Georgetown,"6041 Market S St",,01/12/2004
Indiana,Cass,Logansport,"6754 Georgetown W Rd",,01/13/2004
Indiana,Noble,Kendallville,"361-b Ashton Dr",,01/13/2004
Indiana,Jennings,"North Vernon","200 Cr 250 W. S",,01/14/2004
Indiana,Vigo,"Terre Haute","650 Oak Dr",,01/14/2004
Indiana,Knox,Vincennes,"3773 Hart St",,01/15/2004
Indiana,Parke,Bridgeton,"6553 Dusty S Ln",,01/15/2004
Indiana,Jennings,Scipio,"7105 Cr 500 N. W",,01/16/2004
Indiana,Knox,"Monroe City","8421 Sr 61",,01/16/2004
Indiana,Vigo,"Terre Haute","7137 Sr 246",,01/16/2004
Indiana,Howard,Kokomo,"626 Waugh S",,01/17/2004
Indiana,Steuben,Hamilton,"700 Lane 101",,01/20/2004
Indiana,Jennings,"North Vernon","1850 350 North W",,01/20/2004
Indiana,Fulton,Macy,"3516 550 S. E",,01/21/2004
Indiana,Sullivan,Fairbanks,"5638 Cr 1000 N. W",,01/21/2004
Indiana,Fulton,Macy,"6341 Burns N Ave",,01/21/2004
Indiana,Knox,Oaktown,"10562 Bob Wolfe N Rd",,01/22/2004
Indiana,Marshall,Plymouth,"20985 12th W Rd",,01/23/2004
Indiana,Clay,Jasonville,"4248 Cr 1275 S. W",,01/24/2004
Indiana,Vermillion,Clinton,"3324 Cr 1300 S",,01/24/2004
Indiana,Dekalb,Auburn,"3587 Sr 327",,01/25/2004
Indiana,Vigo,"Terre Haute","1307 17th S St",,01/28/2004
Indiana,Decatur,Greensburg,"317 1/2 Davies St",,01/29/2004
Indiana,Orange,Hardinsburg,"6050 Cr 775 S. E",,01/29/2004
Indiana,Howard,Kokomo,"3315 50 S. W",,01/31/2004
Indiana,Boone,Jamestown,"5161 Mid Jamestown Rd",,01/31/2004
Indiana,Vigo,"West Terre Haute","1489 Lower Sanford Rd",,02/02/2004
Indiana,Miami,"Bunker Hill","2794 1150 South W",,02/03/2004
Indiana,Howard,Kokomo,"8766 400 North W",,02/03/2004
Indiana,Steuben,Angola,"7045 300 N. W",,02/04/2004
Indiana,Howard,Kokomo,"5302 Arrowhead Blvd",,02/05/2004
Indiana,Perry,Rome,"6886 Sr 66 N",,02/05/2004
Indiana,Marion,Indianapolis,"3061 Bentwood Dr 2b",,02/06/2004
Indiana,Bartholomew,Columbus,"632 14th St",,02/06/2004
Indiana,Parke,Rosedale,"8126 Lyford S St",,02/06/2004
