state,county,city,address1,address2,date
Kansas,Saline,Salina,"1904  Dover Drive",,
Kansas,Sedgwick,Haysville,"7753 Ida S",,01/01/2004
Kansas,Barber,Kiowa,"609 Drumm",,01/03/2004
Kansas,Washington,Greenleaf,"2388 13th Rd",,01/11/2004
Kansas,Bourbon,"Fort Scott","1420 Oak E",,01/11/2004
Kansas,Cowley,"Arkansas City","1124 1st N",,01/13/2004
Kansas,Crawford,Pittsburg,"609 9th E",,01/13/2004
Kansas,Cherokee,Galena,"7927 Watermelon Se Ln",,01/14/2004
Kansas,Cherokee,Galena,"220 Winsdor St",,01/14/2004
Kansas,Kingman,Cheney,"14318 40 Ne St",,01/15/2004
Kansas,Reno,Hutchinson,"310 5th W Ave",,01/15/2004
Kansas,Kingman,Cheney,"4968 Tumbleweed Ne Ln",,01/17/2004
Kansas,Ford,"Dodge City","2005 Mcartor W St",,01/18/2004
Kansas,Hodgeman,Jetmore,"706 Main Street",,01/21/2004
Kansas,Finney,"Garden City","1302 Summit D",,01/23/2004
Kansas,Brown,Hiawatha,"404 1st S St",,01/23/2004
Kansas,Johnson,Lenexa,"12500 87th W St",,01/24/2004
Kansas,Crawford,Pittsburg,"1213 8th E",,01/28/2004
Kansas,Sedgwick,Wichita,"1160 Emporia N 12",,01/28/2004
Kansas,Reno,Hutchinson,"922 16th E Ave",,01/29/2004
Kansas,Elk,Moline,"520 Main N",,01/29/2004
Kansas,Jackson,Delia,"2085 102nd",,02/07/2004
Kansas,Mcpherson,Moundridge,"2049 Arrowhead Road",,02/09/2004
Kansas,Reno,Hutchinson,"322 4th E Ave",,02/09/2004
Kansas,Crawford,Pittsburg,"2601 North Joplin Street N6",,02/10/2004
Kansas,Cherokee,"Baxter Springs","11238 10th Sw St",,02/11/2004
Kansas,Crawford,Pittsburg,"907 Taylor N",,02/13/2004
Kansas,Seward,Liberal,"906 New York N St",,02/13/2004
Kansas,Crawford,Pittsburg,"412 23rd E",,02/16/2004
Kansas,Shawnee,Topeka,"3005 10th Se St",,02/17/2004
Kansas,Crawford,Frontenac,"4091 1/2 Mt. Carmel Rd",,02/17/2004
Kansas,Reno,Yoder,"3104 Switzer E",,02/19/2004
Kansas,Pawnee,Larned,"915 Topeka",,02/19/2004
Kansas,Bourbon,"Fort Scott","115 Caldwell N",,02/20/2004
Kansas,Allen,Humboldt,"803 Sycamore",,02/20/2004
Kansas,Labette,Bartlett,"502 Hackberry",,02/23/2004
Kansas,Reno,Langdon,"118 Front St",,02/24/2004
Kansas,Sumner,Wellington,"1014 Jefferson S",,02/24/2004
Kansas,Riley,Leonardville,"303 Erpelding N St",,02/26/2004
Kansas,Sedgwick,Wichita,"2635 Hydraulic S",,02/26/2004
Kansas,Sedgwick,Wichita,"218 Athenian N",,02/27/2004
Kansas,Butler,"El Dorado","701 High S St",,02/28/2004
Kansas,Franklin,Ottawa,"24 Canterbury Ct C",,03/01/2004
Kansas,Labette,Edna,"415 Marks",,03/01/2004
Kansas,Franklin,Ottawa,"826 Cherry S",,03/02/2004
Kansas,Sumner,Wellington,"1419 B St",,03/05/2004
Kansas,Reno,Hutchinson,"424 Crescent",,03/11/2004
Kansas,Labette,Edna,"221 Labette N",,03/13/2004
Kansas,Gray,Ingalls,"4514 Q Road",,03/15/2004
Kansas,Reno,Hutchinson,"109 Maple S St",,03/16/2004
Kansas,Labette,Parsons,"722 15th N St",,03/18/2004
Kansas,Cherokee,Scammon,"602 1st E St",,03/18/2004
Kansas,Shawnee,Topeka,"2020 10th Se",,03/22/2004
Kansas,Cherokee,Scammon,"605 Alley N",,03/23/2004
Kansas,Riley,Manhattan,"618 Vattier",,03/26/2004
Kansas,Johnson,"Overland Park","9001 Hadley",,03/28/2004
Kansas,Cherokee,Galena,"1817 Galena Ave",,03/29/2004
Kansas,Johnson,Merriam,"9622 55th W St",,03/31/2004
Kansas,Crawford,Pittsburg,"4023 Parkview Drive",,04/01/2004
Kansas,Ottawa,Minneapolis,"1061 190th N Rd",,04/01/2004
Kansas,Labette,Oswego,"202 Vermont",,04/01/2004
Kansas,Rush,Otis,"505 Diel W",,04/06/2004
Kansas,Reno,Hutchinson,"230 Bigger E",,04/06/2004
Kansas,Barton,Claflin,"521 3rd St",,04/07/2004
Kansas,Douglas,Lawrence,"1900 31 St W St V-16",,04/08/2004
Kansas,Shawnee,Topeka,"2631(a) Indiana Se",,04/08/2004
Kansas,Shawnee,Berryton,"10236 Ratner Se Rd",,04/08/2004
Kansas,Thomas,Colby,"2500 County M Rd",,04/08/2004
Kansas,Montgomery,Coffeyville,"106 Warwick",,04/08/2004
Kansas,Sedgwick,Wichita,"3313 Palisade S",,04/12/2004
Kansas,Neosho,Chanute,"21418 Harper Rd",,04/13/2004
Kansas,Neosho,Thayer,"321 Wilson",,04/15/2004
Kansas,Neosho,Galesburg,"12730 70th Rd",,04/15/2004
Kansas,Cheyenne,"Saint Francis","321 First W St",,04/16/2004
Kansas,Finney,Holcomb,"409 Laura Lane",,04/16/2004
Kansas,Sedgwick,Wichita,"4459 Broadway S 22",,04/19/2004
Kansas,Morris,"Council Grove","1129 Vista Del Lago",,04/19/2004
Kansas,Jackson,Mayetta,"13794 182nd Rd",,04/20/2004
Kansas,Lyon,Emporia,"16 Randolph St",,04/21/2004
Kansas,Bourbon,"Fort Scott","423 1/2 Crawford S",,04/22/2004
Kansas,Shawnee,Topeka,"2417 Edgewater Sw Ter",,04/23/2004
Kansas,Cherokee,"Baxter Springs","11499 10th Se St",,05/01/2004
Kansas,Wilson,Fredonia,"826 8th N St",,05/06/2004
