state,county,city,address1,address2,date
Kentucky,Todd,"Sharon Grove","530 Hall Rd",,01/01/2004
Kentucky,Daviess,Philpot,"5802 Free Silver Rd",,01/02/2004
Kentucky,Todd,Guthrie,"325 3rd S St",,01/07/2004
Kentucky,Madison,Richmond,"633 Bighill Ave C24",,01/12/2004
Kentucky,Meade,"Vine Grove","105 Remington Rd",,01/16/2004
Kentucky,Clinton,Albany,"412 Ill Will",,01/17/2004
Kentucky,Webster,Providence,"2637 State Route 1917",,01/18/2004
Kentucky,Muhlenberg,"Central City","102 Central St",,01/19/2004
Kentucky,Warren,"Bowling Green","3687 Matlock Pike",,01/24/2004
Kentucky,Warren,"Bowling Green","6255 Barren River Rd",,01/25/2004
Kentucky,Hopkins,Nortonville,"940 Illey Sisk Rd",,01/27/2004
Kentucky,Laurel,"East Bernstadt","Ky 490 Hwy",,01/28/2004
Kentucky,Henderson,Robards,"9380 Petersburg Road",,01/28/2004
Kentucky,Monroe,Tompkinsville,"2345 Harlans Crossroads",,01/30/2004
Kentucky,Warren,"Bowling Green","727 Riverside Ben Leo Rd",,01/31/2004
Kentucky,Clay,Manchester,"1217 Ky 638 W",,01/31/2004
Kentucky,Jackson,"Grey Hawk","285 Brushy Ridge Rd",,02/02/2004
Kentucky,Christian,Pembroke,"555 Beeker Rd",,02/02/2004
Kentucky,Pulaski,"Science Hill","431 Poplar Estates Rd",,02/03/2004
Kentucky,Ohio,"Beaver Dam","511 Sandefur Crossing Rd",,02/03/2004
Kentucky,Jefferson,Louisville,"6303 Powder Horn Dr",,02/08/2004
Kentucky,Graves,Boaz,"1754 State Route 1684",,02/08/2004
Kentucky,Graves,Mayfield,"1860 Rt 80 E St Rm 103",,02/08/2004
Kentucky,Warren,"Bowling Green","4546 Glen Lily Rd",,02/15/2004
Kentucky,Johnson,"West Van Lear","100 Mcclure St 2",,02/16/2004
Kentucky,Gallatin,Ghent,"200 Corda Ln",,02/18/2004
Kentucky,Cumberland,Bow,"2261 Hegrra Rd",,02/20/2004
Kentucky,Johnson,"Flat Gap","1092 Barn Rock Rd",,02/21/2004
Kentucky,Johnson,"Van Lear","2029 Route 2381",,02/22/2004
Kentucky,Warren,"Bowling Green","4942 263 Hwy",,02/22/2004
Kentucky,Laurel,Corbin,"106 Ruth Ln",,02/23/2004
Kentucky,Graves,Mayfield,"1452 Rt 1213 S St",,02/24/2004
Kentucky,Hardin,"Vine Grove","212b Main W St",,02/24/2004
Kentucky,Butler,Morgantown,"3780 N Rd",,02/26/2004
Kentucky,Butler,Morgantown,"3780 Region N",,02/26/2004
Kentucky,Bullitt,"Lebanon Junction","588 Church St",,03/04/2004
