state,county,city,address1,address2,date
Louisiana,Livingston,Holden,"25080 Doris Hutchinson Rd",,01/19/2004
Louisiana,Livingston,"Denham Springs","30905 Burgess Rd",,01/21/2004
Louisiana,Beauregard,Longville,"1111 Longville Road",,01/26/2004
Louisiana,Grant,"Dry Prong","1137 1241 Hwy",,02/01/2004
Louisiana,Jefferson,Metairie,"4701 Tabony St",,02/03/2004
Louisiana,Washington,Bogalusa,"59429 Otzenburger Rd",,02/17/2004
Louisiana,Livingston,Albany,"34479 Hwy 43 N",,03/02/2004
Louisiana,Morehouse,Bastrop,"6765 Grabault Rd",,03/04/2004
Louisiana,Livingston,Walker,"15640 Springfield Rd",,03/06/2004
Louisiana,Livingston,Springfield,"30058 Lemn Ln 2",,03/22/2004
Louisiana,Livingston,Livingston,"12030 Florida Blvd",,03/27/2004
Louisiana,Caddo,Shreveport,"2816 Meriweather Rd",,04/21/2004
Louisiana,Washington,"Mt Hermon","30374 Patridge Ln",,05/19/2004
Louisiana,Ouachita,"West Monroe","709 Caples Rd",,05/24/2004
Louisiana,Bossier,"Plain Dealing","560 Millers Bluff Rd",,06/09/2004
Louisiana,Ouachita,"West Monroe","522 King St",,06/27/2004
Louisiana,Grant,Pollock,"114 Allen Rd",,06/29/2004
Louisiana,Ouachita,Monroe,"1805 St. Joseph's Pl",,07/28/2004
Louisiana,Orleans,"New Orleans","1431 Robertson N St C",,07/31/2004
Louisiana,Washington,Bogalusa,"13362 Hwy 1075 Hwy",,08/04/2004
Louisiana,Grant,"Dry Prong","876 Hudson Creek Rd",,08/17/2004
Louisiana,Tangipahoa,Hammond,"40195 Macedonia Rd 9",,08/18/2004
Louisiana,"St. Tammany Parish",Slidell,"341 Tiffany S St",,09/30/2004
Louisiana,Tangipahoa,Kentwood,"4185 Newman Rd",,10/10/2004
Louisiana,Tangipahoa,Ponchatoula,"40027 Heinrich Haven Ln",,10/14/2004
Louisiana,Ouachita,Monroe,"214 Sonny Rd",,10/18/2004
Louisiana,Ouachita,"West Monroe","1024 Cheniere Drew Rd Lot 5",,10/18/2004
Louisiana,Ouachita,Monroe,"525 Canaan Rd",,10/19/2004
Louisiana,Tangipahoa,Natalbany,"47406 Strate Ln",,10/21/2004
Louisiana,Bossier,Haughton,"570 Hwy 164 Ave",,10/22/2004
Louisiana,Livingston,"Denham Springs","30262 Abel St",,10/28/2004
Louisiana,Washington,Bogalusa,"54694 Hwy 16",,11/03/2004
Louisiana,Livingston,"Denham Springs","12405 Brandon Ave",,11/03/2004
Louisiana,Vernon,Newllano,"100 Cedar Wood 2-d",,11/26/2004
Louisiana,Washington,Bogalusa,"926 Ontario Ave",,12/06/2004
Louisiana,Washington,Franklinton,"39154 Deer Rd St",,12/08/2004
Louisiana,Tangipahoa,Ponchatoula,"19479 Weinbergan Rd",,12/20/2004
Louisiana,"St. Tammany Parish",Slidell,"41066 Highway 190 East E Hwy",,01/01/2005
Louisiana,Livingston,Holden,"26195 Pierson Rd",,01/01/2005
Louisiana,Ouachita,"West Monroe","5534 White's Ferry Rd Lot # 5",,01/04/2005
Louisiana,Washington,Bogalusa,"11069 Don Bates Rd",,01/05/2005
Louisiana,Livingston,"Denham Springs","21395 Bonnie",,01/07/2005
Louisiana,Ouachita,"West Monroe","2317 Highway 557",,01/11/2005
Louisiana,Caddo,Rodessa,"10423 Louisiana Highway 168",,01/23/2005
Louisiana,Vernon,Leesville,"132 Norris Kay Rd",,01/26/2005
Louisiana,Natchitoches,"Fairview Alpha","834 Grappes Bluff Rd",,02/15/2005
Louisiana,Calcasieu,Starks,"4561 Jan Drake Rd",,02/18/2005
Louisiana,Grant,"Dry Prong","433 Slayter Nichols Rd",,02/20/2005
Louisiana,Caddo,Shreveport,"3329 New Moon",,02/21/2005
Louisiana,Caddo,Blanchard,"119 Attaway St",,02/23/2005
Louisiana,Lafayette,Lafayette,"435 Main E St",,02/27/2005
Louisiana,Livingston,Springfield,"25231 Giles Rd",,03/06/2005
Louisiana,Livingston,Livingston,"17045 Randell Dr",,03/30/2005
Louisiana,Ouachita,"West Monroe","505 Pace Rd",,04/05/2005
Louisiana,Ouachita,"West Monroe","700 Evergreen",,04/12/2005
Louisiana,Calcasieu,"Lake Charles","3003 Common St",,04/20/2005
Louisiana,Tangipahoa,Ponchatoula,"42056 Bunson Rd",,05/03/2005
Louisiana,Tangipahoa,Tangipahoa,"12305 Hwy 440",,05/07/2005
Louisiana,Tangipahoa,Kentwood,"72258 Hwy 1054",,05/08/2005
Louisiana,Ouachita,Calhoun,"459 Ashley Griggs Rd",,05/20/2005
Louisiana,Bossier,"Bossier City","620 Whittington St 1/2",,06/02/2005
Louisiana,Grant,Colfax,"20 Larry Baxley Rd",,06/06/2005
Louisiana,Tangipahoa,Hammond,"42458 Billville S Rd",,06/07/2005
Louisiana,Ouachita,Monroe,"188 Smith Rd",,06/27/2005
Louisiana,Tangipahoa,Tickfaw,"17010 Hwy 442",,06/29/2005
Louisiana,Caddo,Vivian,"1101 Spruce N St",,07/01/2005
Louisiana,Lafourche,Larose,"802 2nd E St",,07/09/2005
Louisiana,Tangipahoa,Ponchatoula,"4240 Dunson Ln",,07/13/2005
Louisiana,Tangipahoa,Loranger,"50389 Lesser Ln",,07/26/2005
Louisiana,Tangipahoa,Fluker,"175 Leota Ln",,08/02/2005
Louisiana,Tangipahoa,Ponchatoula,"26277 Harvery Lavigne Rd",,08/03/2005
Louisiana,Ouachita,Monroe,"3208 139 Hwy",,02/08/2006
Louisiana,Tangipahoa,Loranger,"17640 Hiatt St",,02/25/2006
Louisiana,Lafayette,Lafayette,"614 Marigny Cir",,03/11/2006
Louisiana,Rapides,Deville,"123 Locker Road",,07/17/2006
Louisiana,"St. Martin Parish","Breaux Bridge","1778 Nursery Highway",,08/22/2006
Louisiana,Caddo,Shreveport,"7913 Woodfield Street",,09/03/2006
Louisiana,Lafayette,Lafayette,"201 Sunny Lane",,12/12/2006
Louisiana,Tangipahoa,Tickfaw,"12537 Chavers Lane",,01/14/2007
Louisiana,Bienville,Ringgold,"264 Cherokee Hills Road",,01/24/2007
Louisiana,Tangipahoa,Independence,"55461 Durbin Road",,04/25/2007
Louisiana,Tangipahoa,Tickfaw,"48089 Whiskey Lane",,05/07/2007
Louisiana,Tangipahoa,Independence,"13041 Charlotte Drive",,05/23/2007
Louisiana,"St. Tammany Parish","Pearl River","33259 John Crow Road",,05/31/2007
Louisiana,Tangipahoa,Hammond,"12579 East 190 Highway",,06/18/2007
Louisiana,Tangipahoa,Independence,"51631 Jacobson Lane",,07/12/2007
Louisiana,Livingston,Holden,"25414a Onellion Road",,10/01/2007
Louisiana,Tangipahoa,Ponchatoula,"41133 Dunson Road",,10/11/2007
Louisiana,Tangipahoa,Tickfaw,"48485 Musacchia Lane",,10/11/2007
Louisiana,"St. Tammany Parish",Slidell,"3167 College Street",,10/26/2007
Louisiana,Tangipahoa,Ponchatoula,"170 North 4th Street",,10/26/2007
Louisiana,Caddo,Keithville,"3687 Bledsoe Road",,10/31/2007
Louisiana,Tangipahoa,Tickfaw,"13283 Hwy 1064",,11/16/2007
Louisiana,Tangipahoa,Loranger,"19325 Hiatt Road",,11/28/2007
Louisiana,Tangipahoa,Hammond,"17086 Tycer Lane",,11/30/2007
Louisiana,"St. Tammany Parish","Pearl River","64476 Sticker Road",,12/20/2007
Louisiana,Tangipahoa,Ponchatoula,"41037 South Range Road 15",,02/27/2008
Louisiana,Tangipahoa,Folsom,"27943 Aligator Branch Road",,03/06/2008
Louisiana,Calcasieu,"Lake Charles","2653 Old Deridder Highway 5",,03/13/2008
Louisiana,Caddo,Vivian,"316 West Mississippi Street",,11/10/2008
Louisiana,Vernon,Anacoco,"110 Mattox Road",,04/20/2009
Louisiana,Caddo,Shreveport,"7656 Dixie Blanckard Highway",,04/24/2009
Louisiana,Ouachita,Monroe,"309  Jackson Street",,01/05/2010
Louisiana,Vernon,Pitkin,"332  Cole Road",,01/05/2010
Louisiana,Ouachita,"West Monroe","101  Ridge Grove  4",,01/18/2010
Louisiana,Ouachita,Monroe,"141  Jennifer Lane 24",,01/20/2010
Louisiana,Ouachita,Monroe,"805  Lakeside Drive",,01/20/2010
Louisiana,Ouachita,Monroe,"115  Seville Circle",,01/31/2010
Louisiana,Calcasieu,"Lake Charles","4720  Common Street 11",,01/31/2010
Louisiana,Ouachita,"West Monroe","532  Tedeton Road",,02/01/2010
Louisiana,Ouachita,"West Monroe","105  Ridge Grove",,02/02/2010
Louisiana,Lafayette,Lafayette,"910  Azala Street R",,04/14/2010
Louisiana,Caddo,Shreveport,"9195  Blanchard Furrh Road",,04/15/2010
Louisiana,Livingston,"Denham Springs","10468  Thibodeaux Road",,04/29/2010
Louisiana,Ouachita,"West Monroe","109  Lynette Drive",,05/29/2010
Louisiana,Ouachita,"West Monroe","113  Sandal Street",,06/13/2010
