state,county,city,address1,address2,date
Maryland,Garrett,Friendsville,"643 Newton Savage Rd",,05/11/2004
Maryland,Caroline,Denton,"25595 Garey Rd",,02/05/2005
Maryland,Cecil,Elkton,"36 St. Michaels Ln",,05/10/2005
Maryland,Carroll,"Mount Airy","1206 Locksley Drive",,09/12/2008
Maryland,Baltimore,Woodstock,"10600  Davis Avenue",,01/11/2010
Maryland,"St. Mary's","Lexington Park","23195 East Two Creek",,09/02/2010
Maryland,Washington,Hagerstown,"118  Sundown Court Box 1d",,06/20/2015
Maryland,Washington,Hancock,"250 W Main St",,08/15/2016
Maryland,,Sudlersville,"1330 Duhamel Corner Rd",,09/22/2016
Maryland,Washington,Fairplay,"8859 Jordan",,12/20/2017
Maryland,Washington,Williamsport,"4 South Conocoheague",,03/14/2019
