state,county,city,address1,address2,date
Maine,Androscoggin,Lewiston,"333  Lisbon Street Box Apt 203",,
Maine,Waldo,Northport,"97  Prescott Hill Road",,
Maine,Cumberland,Westbrook,"247 Bond St",,07/09/2004
Maine,Washington,Machias,"Rt. 1 Machias Trailer Park 12",,09/29/2004
Maine,Aroostook,Allagash,"141 Inn Rd",,11/11/2005
Maine,Androscoggin,Lewiston,"624 Sabattus St 2nd Floor",,01/25/2006
Maine,Androscoggin,Lewiston,"37 Goff St 3rd Floor",,01/25/2006
Maine,Aroostook,Caribou,"37 Fontaine Drive",,04/11/2006
Maine,Penobscot,Veazie,"1237 State Street",,02/28/2008
Maine,Androscoggin,Lewiston,"8  Omer Street Street",,02/05/2010
Maine,Aroostook,"Presque Isle","689  Main Street",,12/29/2011
Maine,York,Lebanon,"25  Bigelow Road",,01/14/2012
Maine,Piscataquis,"Bowerbank, Town Of","121  Front Street",,01/12/2014
Maine,Hancock,Ellsworth,"18  Hancock Street",,06/05/2014
Maine,Aroostook,Monticello,"37  Lake Road",,10/21/2014
Maine,Penobscot,Millinocket,"81  Main Street",,10/21/2014
Maine,York,Lebanon,"13  Herson Lane",,02/11/2015
Maine,Hancock,"Bar Harbor","169  Gilbert Farm Road",,03/05/2015
Maine,Aroostook,Linneus,"1514 Us Route 2a",,04/09/2015
Maine,York,Kittery,"44  Old Post Road",,06/01/2015
Maine,Aroostook,Houlton,"13  Columbia Street",,06/16/2015
Maine,Aroostook,Houlton,"48  Park Street Street",,07/06/2015
Maine,Penobscot,Brewer,"441  South Main Street Box 4",,08/12/2015
Maine,Penobscot,"E Millinocket","81  Main Street",,08/13/2015
Maine,Aroostook,"Presque Isle","Academy Street",,08/23/2015
Maine,Aroostook,Sherman,"72  North Street",,09/10/2015
Maine,Penobscot,Bangor,"34  Winter Street",,11/20/2015
Maine,York,"Buxton Center","125  Thompson Road",,12/14/2015
Maine,Washington,Wesley,"4703 Airline Road",,12/23/2015
Maine,Penobscot,Bangor,"603  Essex Street",,12/28/2015
Maine,Aroostook,"Washburn Junction","1278  Main Street Box #3",,01/05/2016
Maine,Androscoggin,Lewiston,"938  Sabattus Street",,01/06/2016
Maine,Somerset,Fairfield,"247  Main Street",,02/10/2016
Maine,Penobscot,Bangor,"149  Pine Street",,02/17/2016
Maine,Cumberland,Raymond,"1261  Rossevelt Trail",,03/01/2016
Maine,Androscoggin,Lewiston,"197  Bartlett Street Box #1",,04/10/2016
Maine,Aroostook,Caribou,"26  Liberty Street",,04/25/2016
Maine,Aroostook,Ashland,"40 Masardis Road",,04/27/2016
Maine,Somerset,Anson,"1768  Us Route 1",,07/13/2016
Maine,Aroostook,Washburn,"1349 Main Street",,08/04/2016
Maine,Penobscot,,"316 Edinburg Rd",,08/13/2016
Maine,Penobscot,"Old Town","7 Burnurwurbskek St",,08/16/2016
Maine,Cumberland,"South Portland","497 Westbrook Street",,08/21/2016
Maine,Aroostook,Washburn,"1295 Main Street",,09/23/2016
Maine,Kennebec,Hallowell,"11 Spring St",,10/06/2016
Maine,Aroostook,"Fort Fairfield","567 Houlton Road",,10/11/2016
Maine,Penobscot,Orono,"121 Havasu Rd",,11/01/2016
Maine,Penobscot,,"90 New Boston Road",,02/03/2017
Maine,Penobscot,Brewer,"446 North Main Street",,09/01/2017
Maine,Kennebec,Waterville,"159 College Avenue",,03/05/2019
