state,county,city,address1,address2,date
Michigan,Shiawassee,Durand,"105 W John Street",,
Michigan,Ingham,Lansing,"910  American Road Box 203",,
Michigan,"Van Buren",Lawton,"210  Morrill Street",,
Michigan,"Saint Joseph","Three Rivers","21266 Michigan Ave",,01/12/2004
Michigan,Allegan,Otsego,"30 16th S",,01/19/2004
Michigan,"Van Buren",Bloomingdale,"44264 24th Ave",,01/22/2004
Michigan,Kalamazoo,Portage,"3885 Hamlin Dr",,01/23/2004
Michigan,Kalamazoo,Portage,"4284 Bristlecone Dr",,01/25/2004
Michigan,Allegan,Plainwell,"305 Riverview Dr",,02/04/2004
Michigan,Kalamazoo,Kalamazoo,"1928 Colgrove Ave 204",,02/05/2004
Michigan,Kalamazoo,Kalamazoo,"618 Maple Hill Dr 110",,02/05/2004
Michigan,Allegan,Allegan,"899 Cypress",,02/07/2004
Michigan,Allegan,Allegan,"4359 108th",,02/12/2004
Michigan,Kalamazoo,Kalamazoo,"1606 Palmer St",,02/15/2004
Michigan,"Saint Joseph","White Pigeon","19013 Fawn River Rd Lot 7",,02/23/2004
Michigan,Kalamazoo,Kalamazoo,"156 28th N St 6",,02/26/2004
Michigan,Kalamazoo,Portage,"5447 Meredith Dr D",,03/03/2004
Michigan,"Van Buren",Lawrence,"51241 72nd. Ave",,03/10/2004
Michigan,Calhoun,"Battle Creek","189 Swedish St",,03/10/2004
Michigan,"Van Buren","Paw Paw","312 Van Buren N St",,03/12/2004
Michigan,"Van Buren",Bloomingdale,"42426 15th Ave",,03/16/2004
Michigan,Kalamazoo,Vicksburg,"333 Frakes St A102",,03/24/2004
Michigan,Kalamazoo,Comstock,"534 Leenhouts St",,04/07/2004
Michigan,Allegan,Allegan,"3504 Babylon Road",,04/08/2004
Michigan,Berrien,"Benton Harbor","478 Gary Ave",,04/11/2004
Michigan,"Saint Joseph",Constantine,"1200 Washington S St 14",,04/12/2004
Michigan,Kalamazoo,Kalamazoo,"1966 11th S St 4",,04/19/2004
Michigan,Kalamazoo,Kalamazoo,"1915 March St",,04/21/2004
Michigan,Kalamazoo,Kalamazoo,"5672 Michigan E Ave",,04/22/2004
Michigan,Calhoun,Tekonsha,"2229 19 1/2 Mile Rd",,04/22/2004
Michigan,Kalamazoo,Kalamazoo,"619 Egleston St",,04/27/2004
Michigan,Kalamazoo,Kalamazoo,"825 Cooper St",,04/29/2004
Michigan,Kalamazoo,Kalamazoo,"2399 30th N St",,05/01/2004
Michigan,Kalamazoo,Galesburg,"571 Maplewood St",,05/02/2004
Michigan,Kalamazoo,Portage,"219 Della St",,05/05/2004
Michigan,Allegan,Otsego,"399 Oaks Crossing",,05/11/2004
Michigan,"Saint Joseph","Three Rivers","16917 Sunset Ln",,05/12/2004
Michigan,Kalamazoo,Kalamazoo,"2515 Cork E St 21",,05/15/2004
Michigan,"Van Buren","Arlington Township","29850 50th St",,05/18/2004
Michigan,Allegan,Allegan,"426 River Rd",,05/20/2004
Michigan,Branch,Montgomery,"1057 Paul Rd",,05/24/2004
Michigan,Allegan,Pullman,"5531 104th St",,05/26/2004
Michigan,Calhoun,Burlington,"8229 M S Dr",,06/06/2004
Michigan,"Saint Joseph",Colon,"123 Canal St",,06/07/2004
Michigan,Kalamazoo,Kalamazoo,"5361 Comstock Ave",,06/10/2004
Michigan,"Van Buren","South Haven","76648 11th Ave",,06/17/2004
Michigan,Kalamazoo,Kalamazoo,"1609 Church N St",,06/20/2004
Michigan,Allegan,Allegan,"2598 30th",,06/24/2004
Michigan,Osceola,Evart,"765 Jefferson 17",,06/27/2004
Michigan,Allegan,Plainwell,"722 Brittany",,06/28/2004
