state,county,city,address1,address2,date
Minnesota,Anoka,"Columbia Heights","3906 3rd Ne St",,01/09/2004
Minnesota,"Le Sueur",Kasota,"321 Rice S St",,01/20/2004
Minnesota,Anoka,Linwood,"22 Lyons W St",,01/21/2004
Minnesota,Cottonwood,"Heron Lake","37722 410th St",,01/31/2004
Minnesota,Dakota,"Inver Grove Heights","2113 78th St",,02/04/2004
Minnesota,Sherburne,"Elk River","204 Lowell Ave",,02/18/2004
Minnesota,"Le Sueur",Kasota,"1 Kossuth St",,02/19/2004
Minnesota,"Le Sueur",Kasota,"700 Webster N",,02/19/2004
Minnesota,Dodge,Kasson,"11 8th Nw Ave",,02/23/2004
Minnesota,Brown,"New Ulm","1003 Washington S St",,02/23/2004
Minnesota,Freeborn,"Twin Lakes","Lot 39 3rd St 39",,02/24/2004
Minnesota,Brown,"New Ulm","22927 185th St",,02/24/2004
Minnesota,Chisago,Harris,"44107 Forest Boulevard",,02/28/2004
Minnesota,"Blue Earth",Mankato,"1255 Range St 233",,03/02/2004
Minnesota,Freeborn,"Maple Island","28143 Island N Cir",,03/11/2004
Minnesota,"St. Louis",Hibbing,"3425 4th W Ave",,03/12/2004
Minnesota,Mower,Austin,"702 4th Nw St",,03/12/2004
Minnesota,Wright,Buffalo,"212 4th S Ave",,03/22/2004
Minnesota,Cass,Longville,"1669 Townline Ne Rd",,03/25/2004
Minnesota,Aitkin,Aitkin,"36925 295th St",,03/29/2004
Minnesota,Freeborn,"Albert Lea","214 Columbus S Ave",,03/31/2004
Minnesota,Aitkin,Isle,"13797 260th Pl",,04/05/2004
Minnesota,Anoka,Blaine,"8818 Goodbye Ne St",,04/06/2004
Minnesota,Grant,"Elbow Lake","1411 State 79 E Hwy Lot 9",,04/07/2004
Minnesota,Hubbard,"Park Rapids","18515 209th Ave",,04/14/2004
Minnesota,Dakota,Farmington,"4758 220th W St",,04/22/2004
Minnesota,"Crow Wing","Fort Ripley","20082 243rd St",,05/13/2004
Minnesota,Anoka,"Coon Rapids","10805 Thrush Nw St",,05/17/2004
Minnesota,Anoka,"Coon Rapids","13241 Grouse Nw",,05/31/2004
Minnesota,Anoka,"Columbia Heights","1032 44th Ave",,06/08/2004
Minnesota,Aitkin,Isle,"27563 110th St",,06/14/2004
Minnesota,Wright,"Saint Michael","14016 42nd Ne St",,06/16/2004
Minnesota,"Mille Lacs",Milaca,"6655 Falcon Rd",,06/25/2004
Minnesota,Clay,Moorhead,"1610 3rd S St",,06/25/2004
Minnesota,Anoka,"Oak Grove","2105 181st Nw Ave",,07/03/2004
Minnesota,Anoka,"Columbus Township","6821 167th Ave",,07/07/2004
Minnesota,Anoka,"Saint Francis","2720 239 Nw Ave",,07/13/2004
Minnesota,"Otter Tail",Perham,"325 3rd Ne Ave",,08/04/2004
Minnesota,Sherburne,"Clear Lake","7072 100th Se Ave",,08/19/2004
Minnesota,Wright,Monticello,"11948 Northeast Aetna Avenue",,08/25/2004
Minnesota,"Otter Tail",Ottertail,"36599 State Hwy 78",,09/02/2004
Minnesota,Wright,Otsego,"8560 Parell Ne Ave",,10/01/2004
Minnesota,Pipestone,Pipestone,"508 Northeast 2nd Avenue",,10/06/2004
Minnesota,"Otter Tail",Ottertail,"35777 Rush Lake Lp",,10/06/2004
