state,county,city,address1,address2,date
Missouri,Dent,Salem,"101 N Iron Street",,
Missouri,"St. Louis (city)","Saint Louis","6153  Beverly Court",,
Missouri,Douglas,Ava,"728 5 Rt",,01/01/2004
Missouri,Washington,"Mineral Point","1 Rt 491-b",,01/02/2004
Missouri,Lawrence,"Mount Vernon","15235 Farm Road 2153",,01/02/2004
Missouri,Iron,Arcadia,"313 Spring St",,01/02/2004
Missouri,Benton,Warsaw,"516 State St",,01/02/2004
Missouri,Newton,Seneca,"1433 Gum Rd",,01/02/2004
Missouri,Franklin,"Saint Clair","1701 River Haven Dr",,01/02/2004
Missouri,Laclede,Conway,"101 Martingale Dr",,01/03/2004
Missouri,Laclede,Lebanon,"27512 Parkgrove Ln G",,01/03/2004
Missouri,Henry,Clinton,"112 Allen W",,01/04/2004
Missouri,Jefferson,Hillsboro,"8524 Southwinds",,01/04/2004
Missouri,Jefferson,Dittmer,"8409 Cedar Ln",,01/05/2004
Missouri,"St. Louis","Saint Louis","2810 Ohio St",,01/05/2004
Missouri,Pemiscot,Steele,"2123 County Road 407",,01/05/2004
Missouri,Greene,Springfield,"823 Jefferson S St",,01/05/2004
Missouri,Scott,Sikeston,"67 Rainbow Lake Rd",,01/06/2004
Missouri,Barry,Golden,"Hcr 1 1248",,01/06/2004
Missouri,"Saint Louis","Saint Louis","7340 Vermont",,01/06/2004
Missouri,"St. Francois",Farmington,"1655 Heinrich Rd",,01/06/2004
Missouri,Greene,Springfield,"1221 Crutcher S St",,01/07/2004
Missouri,Franklin,Sullivan,"416 Elm St B",,01/08/2004
Missouri,"St. Charles","Saint Charles","109 Tecumseh",,01/08/2004
Missouri,Jefferson,Pacific,"8607 John Mckeever",,01/08/2004
Missouri,Christian,Nixa,"1423 Nicholas S",,01/08/2004
Missouri,Jefferson,Dittmer,"8432 Highway Ww",,01/08/2004
Missouri,Warren,Warrenton,"28 Fairlane Acres",,01/09/2004
Missouri,Jefferson,"Crystal City","129 Beffa E",,01/09/2004
Missouri,Dunklin,Arbyrd,"4688 Elbert Dr",,01/09/2004
Missouri,Ripley,Doniphan,"Hc 4 51f",,01/09/2004
Missouri,Lincoln,"Moscow Mills","14 Clarence Ct",,01/10/2004
Missouri,Montgomery,Jonesburg,"53 Missouri Route 'v'",,01/10/2004
Missouri,Camden,"Osage Beach","5042 Highway 54 E",,01/11/2004
Missouri,Franklin,"Saint Clair","2572 Riverbend Rd",,01/12/2004
Missouri,Dunklin,Clarkton,"104 Lorton",,01/12/2004
Missouri,Ralls,"New London","62077 Oakhill Rd",,01/13/2004
Missouri,Lawrence,Aurora,"1600 Engle S 21",,01/13/2004
Missouri,Ralls,"New London","13668 Whitaker Ln",,01/13/2004
Missouri,Jefferson,"Cedar Hill","8850 Highway Nn",,01/14/2004
Missouri,Lincoln,"Moscow Mills","2941 Cappel N Rd",,01/14/2004
Missouri,Greene,Springfield,"1530 National N Ave",,01/14/2004
Missouri,Jackson,"Kansas City","9641 Manning S Ave",,01/14/2004
Missouri,Franklin,Labadie,"223 West Bend Heights Dr",,01/15/2004
Missouri,Jefferson,Dittmer,"7881 Woodland",,01/15/2004
Missouri,Mcdonald,Noel,"312 High",,01/15/2004
Missouri,Gasconade,Bland,"302 Marvin E St",,01/15/2004
Missouri,Sullivan,Browning,"51855 Woodland Rd",,01/15/2004
Missouri,Greene,Springfield,"3501 Sunshine W 33",,01/15/2004
Missouri,"St. Francois","Bonne Terre","6418 Dunn St 2",,01/16/2004
Missouri,Jackson,"Kansas City","5829 Truman S Rd",,01/17/2004
Missouri,"Saint Louis",Ferguson,"1042 Highmont",,01/17/2004
Missouri,Marion,Hannibal,"2702 Rackliffe",,01/18/2004
Missouri,Warren,Warrenton,"381 Pendelton Lost Creek",,01/18/2004
Missouri,Jackson,"Kansas City","1900 82nd E Ter",,01/18/2004
Missouri,Howard,"New Franklin","109 Pearl St",,01/18/2004
Missouri,"St. Louis","Saint Louis","8441 Tennessee St B",,01/19/2004
Missouri,Jasper,Carthage,"9351 County 172 Ln",,01/20/2004
Missouri,Jackson,"Blue Springs","405 13th Sw St 413",,01/20/2004
Missouri,Newton,Granby,"7128 Shetland Rd",,01/21/2004
Missouri,Stoddard,Puxico,"18497 County 493 Rd",,01/21/2004
Missouri,Morgan,Otterville,"4529 50 Hwy",,01/22/2004
Missouri,Stone,"Kimberling City","9755 13 Hwy 2",,01/23/2004
Missouri,Ripley,Doniphan,"7 160 W Hwy 106",,01/23/2004
Missouri,Jasper,Joplin,"1960 Eagle Ln",,01/23/2004
Missouri,Christian,Rogersville,"3253 Braden Rd",,01/23/2004
Missouri,Christian,Nixa,"30 Meadows Trailer Park",,01/24/2004
Missouri,Boone,Columbia,"6450 Southwest Way",,01/25/2004
Missouri,Greene,Springfield,"1603 National N B",,01/26/2004
Missouri,Jefferson,"Cedar Hill","8615 Terri Hill",,01/26/2004
Missouri,Crawford,Cherryville,"290 White River Rd",,01/27/2004
Missouri,"St. Charles","Saint Peters","144 Eldorado Ct",,01/27/2004
Missouri,Jasper,Joplin,"1842 22nd W St",,01/27/2004
Missouri,Jasper,Joplin,"1310 Kentucky S St",,01/28/2004
Missouri,Jefferson,Hillsboro,"8844 Chapel Hill Ct",,01/28/2004
Missouri,Laclede,Lebanon,"22170 Hackberry Rd 41",,01/28/2004
Missouri,Newton,Joplin,"6450 Castle Heights Rd",,01/28/2004
Missouri,Stoddard,Dexter,"916 Elm N",,01/28/2004
Missouri,"St. Clair","Appleton City","6490 B Nw Rt",,01/29/2004
Missouri,"St. Louis (city)","Saint Louis","4522 Arsenal",,01/29/2004
Missouri,Greene,Springfield,"2208 Drury N",,01/29/2004
Missouri,Greene,Springfield,"2746 Summit N Ave",,01/29/2004
Missouri,Lewis,Lewistown,"108 Crist Ln",,01/30/2004
Missouri,Pulaski,Richland,"400 Washington W St W-4-b",,02/03/2004
Missouri,"St. Francois",Farmington,"4903 Frye R Rd",,02/04/2004
Missouri,Jasper,Carterville,"502 Elm S Rd",,02/04/2004
Missouri,"Saint Louis",Overland,"2204 Burns",,02/04/2004
Missouri,Crawford,Bourbon,"344 Old Springfield",,02/04/2004
Missouri,Jefferson,"De Soto","1201 Cedar Valley F",,02/04/2004
Missouri,Caldwell,Polo,"200 West Center E St",,02/05/2004
Missouri,Washington,Potosi,"1859 1 Rt",,02/06/2004
Missouri,Howell,Caulfield,"2950 County Road 7400",,02/06/2004
Missouri,Moniteau,Clarksburg,"208 State W St",,02/06/2004
Missouri,Christian,Nixa,"523 Primrose Ln",,02/08/2004
Missouri,Jefferson,Arnold,"3610 Outer W Rd 310",,02/08/2004
Missouri,Grundy,Spickard,"905 Coral St",,02/08/2004
Missouri,Warren,Warrenton,"28087 Pendleton Lost Creek",,02/08/2004
Missouri,Greene,Springfield,"7416 266 W Hwy",,02/09/2004
Missouri,Jefferson,Festus,"12530 Cc Hwy",,02/09/2004
Missouri,Franklin,Catawissa,"5215 Miller Ln",,02/09/2004
Missouri,Jasper,Joplin,"3981 Calliope Ln",,02/09/2004
Missouri,Wright,Mansfield,"2450 Ee N Hwy",,02/09/2004
Missouri,"Saint Louis","Saint John","8613 Betty Lee Dr",,02/09/2004
Missouri,Camden,Branch,"1411 State Highway 73",,02/09/2004
Missouri,Madison,Fredericktown,"1447 Oo Hwy",,02/10/2004
Missouri,Howard,Clark,"305 County Road 142",,02/10/2004
Missouri,Jefferson,Hillsboro,"137 Crest Dr",,02/10/2004
Missouri,Jefferson,Arnold,"1471 Hill Dr",,02/10/2004
Missouri,Jasper,Joplin,"1700 30th W St",,02/10/2004
Missouri,Wright,Hartville,"4766 State Hh E Hwy",,02/11/2004
