state,county,city,address1,address2,date
Mississippi,Jackson,"Moss Point","4131 Washington Ave",,01/15/2004
Mississippi,Desoto,Southaven,"841 Town & Country Dr",,01/16/2004
Mississippi,Jackson,Pascagoula,"611 Sarrazin Ave 6",,01/25/2004
Mississippi,George,Lucedale,"11228 Old Highway 63 S",,01/30/2004
Mississippi,Panola,Strayhorn,"842 Brownlee",,02/02/2004
Mississippi,Leflore,Greenwood,"627 Highway 442",,02/05/2004
Mississippi,"Pearl River",Poplarville,"55 Blackbird Rd",,02/09/2004
Mississippi,Jackson,Pascagoula,"3708 Lanier St 16",,02/09/2004
Mississippi,Jackson,Vancleave,"17401 Hwy 57 W",,02/13/2004
Mississippi,Hinds,Jackson,"4940 Ridgewood Road J10",,02/13/2004
Mississippi,Forrest,Purvis,"40 Little Black Creek Rd",,02/18/2004
Mississippi,"Pearl River",Poplarville,"17 Kandice Sue Rd",,02/19/2004
Mississippi,Pontotoc,Sherman,"97 First Avenue",,02/19/2004
Mississippi,Covington,Seminary,"114 Howard Fulkes Road",,02/23/2004
Mississippi,Jackson,"Ocean Springs","233 Holcomb Blvd",,02/28/2004
Mississippi,Jackson,Biloxi,"14115 Big Ridge Rd",,02/28/2004
Mississippi,Itawamba,Mantachie,"195 Brandon Road",,03/07/2004
Mississippi,Lafayette,Bruce,"1055 Highway 9 N",,03/09/2004
Mississippi,Jackson,Pascagoula,"1208 Polk Street",,03/15/2004
Mississippi,"Pearl River",Poplarville,"67-b Charles Mitchell",,03/15/2004
Mississippi,Desoto,"Horn Lake","3325 Briarwood",,03/15/2004
Mississippi,Stone,Lumberton,"922 Magnolia Road",,03/21/2004
Mississippi,Marshall,Byhalia,"321 Rebecca",,03/22/2004
Mississippi,Perry,Brooklyn,"28 St. John",,03/22/2004
Mississippi,Lowndes,Columbus,"511 Deer Trail",,03/23/2004
Mississippi,Jackson,"Ocean Springs","2108 16th S St",,03/23/2004
Mississippi,Desoto,"Olive Branch","9135 Byhalia Rd",,03/25/2004
Mississippi,Pontotoc,Pontotoc,"113 Mclaughin Rd",,03/29/2004
Mississippi,Harrison,Biloxi,"11476 Landing Ct",,04/05/2004
Mississippi,Itawamba,Nettleton,"726 Thorn Rd",,04/05/2004
Mississippi,Harrison,Biloxi,"12200 Old Hwy 67",,04/09/2004
Mississippi,Leake,Carthage,"1151 Rose Bud School Rd",,04/16/2004
Mississippi,Hinds,Jackson,"229 Sykes Road",,04/24/2004
Mississippi,Rankin,Richland,"108 Oriole Ave",,04/30/2004
Mississippi,Newton,Conehatta,"338 Chitchner Rd",,05/07/2004
Mississippi,Monroe,Hamilton,"40277 Hamilton Road",,05/12/2004
Mississippi,Warren,Vicksburg,"1310 Mulberry St 210",,05/14/2004
Mississippi,Stone,Wiggins,"168c Will Lee Rd",,05/24/2004
Mississippi,Jackson,"Moss Point","4719 Keole",,05/24/2004
Mississippi,Clay,"West Point","2102 Lone Oak Cir",,05/25/2004
Mississippi,Clay,"West Point","819 Cotton Mill Rd",,05/26/2004
Mississippi,Clay,"West Point","821 Cromwell St",,05/26/2004
Mississippi,Clay,"West Point","438 Mccord St",,05/26/2004
Mississippi,Desoto,Eudora,"1147 Hwy 301",,06/02/2004
Mississippi,Coahoma,Clarksdale,"206 School St",,06/10/2004
Mississippi,Harrison,Gulfport,"130 Teagarden Rd 24",,06/13/2004
Mississippi,Clarke,Meridian,"262 Tanner Ln",,06/16/2004
Mississippi,Clay,"West Point","1150 Seitz Subdivision Rd",,06/17/2004
Mississippi,Warren,Vicksburg,"300 Ridgeview Acres Road",,06/18/2004
Mississippi,Hinds,Terry,"1900 George Road",,06/24/2004
Mississippi,Harrison,Saucier,"17 D Hickman Rd",,06/27/2004
Mississippi,Jackson,"Moss Point","4004 Lampkin Road",,07/03/2004
Mississippi,Harrison,Saucier,"8369 West Miller Edward",,07/04/2004
Mississippi,Itawamba,Golden,"2436 Antioch Road",,07/06/2004
Mississippi,Lauderdale,Meridian,"4734 Cresent Lake E Dr",,07/07/2004
Mississippi,Jackson,"Moss Point","3912 Camilia St",,07/09/2004
Mississippi,Jackson,Hurley,"6821 White's Farm",,07/27/2004
Mississippi,Jackson,Pascagoula,"4203 Short Cut",,07/27/2004
Mississippi,Jackson,Biloxi,"15005 Humming Bird",,07/29/2004
Mississippi,Harrison,Diberville,"3240 Road 113 Lot13 E",,07/30/2004
Mississippi,Bolivar,Cleveland,"1567c Old Highway 61 Hwy",,08/03/2004
Mississippi,Warren,Vicksburg,"360 Countryside Rd",,08/05/2004
Mississippi,George,Lucedale,"153 G Miller Rd",,08/05/2004
Mississippi,Lauderdale,Bailey,"2083 Buntin Gunn Rd",,08/12/2004
Mississippi,Harrison,Saucier,"28321 Highway 53 Hwy",,08/12/2004
Mississippi,Simpson,Braxton,"599 Oak Rd",,08/13/2004
Mississippi,Rankin,Pearl,"784 Childre Rd",,08/18/2004
Mississippi,Monroe,Caledonia,"2238 Border Springs Rd",,08/20/2004
Mississippi,Claiborne,"Port Gibson","7142 Curtis Luster Rd",,08/20/2004
Mississippi,Itawamba,Fulton,"1335 Ramey Rd",,08/24/2004
Mississippi,Oktibbeha,Starkville,"2252 Village Rd",,08/27/2004
Mississippi,Harrison,Saucier,"08557 Diamond Rd",,08/27/2004
Mississippi,"Pearl River",Picayune,"174 Harvey Burks",,08/30/2004
Mississippi,Warren,Vicksburg,"318 Cain Ridge Road",,09/01/2004
Mississippi,Warren,Vicksburg,"3205 Highway 80 E",,09/01/2004
Mississippi,Copiah,Hazlehurst,"4198 Antioch Rd",,09/01/2004
Mississippi,Lowndes,Columbus,"1252 Lee Stokes Road",,09/05/2004
Mississippi,George,Lucedale,"25012 Yellow Bluff Rd",,09/07/2004
Mississippi,Jackson,"Ocean Springs","3419 Hwy 90 E Hwy",,09/07/2004
Mississippi,Warren,Vicksburg,"3205 Drummond Street",,09/07/2004
Mississippi,Harrison,Gulfport,"9375 Highway 49",,09/08/2004
Mississippi,George,Lucedale,"152 Goff Rd",,09/10/2004
Mississippi,George,Lucedale,"235 Tom Jones Rd",,09/10/2004
Mississippi,Stone,Mchenry,"33 Oak St",,09/11/2004
Mississippi,Webster,Eupora,"Route 2 75a",,09/21/2004
Mississippi,George,Lucedale,"1292 Walte Tanner Rd",,09/24/2004
Mississippi,George,Lucedale,"144 Keith Mcdonald",,09/24/2004
Mississippi,George,Lucedale,"25012 Yellow Bluff Road",,09/27/2004
Mississippi,Washington,Arcola,"1409 Lake Washington Rd",,09/29/2004
Mississippi,Hinds,Jackson,"219 One Park Place",,09/29/2004
Mississippi,Stone,Wiggins,"229 Inda Rd 2",,10/03/2004
Mississippi,Forrest,Hattiesburg,"18 Zachary Dr",,10/04/2004
Mississippi,Jackson,"Moss Point","11814 Chatsworth Road",,10/10/2004
Mississippi,Rankin,Pearl,"151 Pete Walker Lane",,10/13/2004
Mississippi,Tishomingo,Iuka,"85 Snowdown Road",,10/14/2004
Mississippi,Rankin,Pearl,"728 Laguna Way",,10/15/2004
Mississippi,George,Lucedale,"2152 Bexley Church Rd",,10/15/2004
Mississippi,Pontotoc,Algoma,"1557 Algoma Road",,10/15/2004
Mississippi,Lowndes,Columbus,"505 Owens Street",,10/21/2004
Mississippi,Lauderdale,Toomsuba,"3355 Hwy 11/80 E",,10/22/2004
Mississippi,Panola,Sardis,"194 Oak Grove Road",,10/22/2004
Mississippi,Jackson,"Moss Point","5904 Tanner Road",,10/25/2004
Mississippi,"Pearl River",Poplarville,"30 John Amacker Rd",,10/27/2004
Mississippi,Jackson,Gautier,"921 De La Point Dr Lot # 7",,11/03/2004
Mississippi,Forrest,Petal,"14 Deermont Ln",,11/04/2004
Mississippi,"Pearl River",Poplarville,"95 Jeff Smith Rd",,11/06/2004
Mississippi,Pike,Osyka,"7771 Highway 584",,11/07/2004
Mississippi,Lauderdale,Meridian,"831 Lake St",,11/15/2004
Mississippi,Lowndes,Columbus,"7578 Hwy 45 Alt",,11/17/2004
Mississippi,Forrest,Petal,"505 E St",,11/21/2004
Mississippi,Harrison,Saucier,"22016 Mcgee Rd",,11/26/2004
Mississippi,Covington,"Mount Olive","102 Mccleod Rd",,12/02/2004
Mississippi,Clay,"West Point","1119 Barksdale Dr",,12/08/2004
Mississippi,Sunflower,Drew,"225 Sage Street",,12/08/2004
Mississippi,"Pearl River",Poplarville,"2091 Highway 53 S",,12/09/2004
Mississippi,Yazoo,Bentonia,"610 Cannon Avenue",,12/09/2004
Mississippi,Forrest,Hattiesburg,"135 River Rd",,12/12/2004
Mississippi,Hinds,Jackson,"3162 Woodside Dr",,12/13/2004
Mississippi,Adams,Natchez,"26 Orange Ave",,12/15/2004
Mississippi,Tate,Independence,"2648 Sycamore",,12/21/2004
Mississippi,Warren,Vicksburg,"305 Bazinsky Rd",,12/23/2004
Mississippi,Perry,Richton,"208 Daughtrey Hill Rd",,01/03/2005
Mississippi,Harrison,Gulfport,"12059 Highway 49 Hwy",,01/04/2005
Mississippi,Lowndes,Columbus,"1322 Mike Parra Rd Lot 55",,01/08/2005
Mississippi,Leake,"Walnut Grove","10501 Highway 488 Hwy",,01/08/2005
Mississippi,Hinds,Terry,"128 Denise Dr",,01/10/2005
Mississippi,Leake,Carthage,"488 Hghway 488 E",,01/12/2005
Mississippi,Alcorn,Corinth,"1703 Horton St 1703",,01/13/2005
Mississippi,Jackson,Pascagoula,"5104 Bayou Ave",,01/16/2005
Mississippi,Rankin,Pearl,"3910 Old Brandon Rd",,01/18/2005
Mississippi,Harrison,Saucier,"16440 East Adams Road",,01/18/2005
Mississippi,Harrison,Biloxi,"12477 Martin Cove",,01/19/2005
Mississippi,Forrest,Petal,"1410 Canterville Rd",,01/21/2005
Mississippi,Forrest,Hattiesburg,"2820 Lincoln Dr 68",,01/22/2005
Mississippi,Hinds,Terry,"3168 Moncure Rd",,01/27/2005
Mississippi,Jackson,Hurley,"23120 Hinton Rd",,01/27/2005
Mississippi,Rankin,Pearl,"151 Pete- Walker Ln",,02/03/2005
Mississippi,Forrest,Petal,"202 Barron St",,02/03/2005
Mississippi,Jackson,"Moss Point","5601 Wildwood Road",,02/05/2005
Mississippi,Rankin,Florence,"623 (a) Triple Pine Cir",,02/12/2005
Mississippi,Harrison,"Pass Christian","22437 Meaut Rd",,02/23/2005
Mississippi,Forrest,Hattiesburg,"127 Steele Rd",,03/01/2005
Mississippi,Jackson,"Ocean Springs","3616 Bienville Blvd",,03/03/2005
