state,county,city,address1,address2,date
Montana,Park,Livingston,"4282 Us Highway 89 S 6",,02/05/2004
Montana,Yellowstone,Billings,"7941 Burlington Ave",,02/07/2004
Montana,Lincoln,Libby,"156 Spencer Road",,04/14/2004
Montana,Flathead,Bigfork,"4815 Foothill Rd",,06/10/2004
Montana,Yellowstone,Billings,"111 23rd N St 4",,07/14/2004
Montana,Cascade,"Great Falls","614 North 12th Street",,07/22/2004
Montana,Yellowstone,Billings,"4126 State Ave",,07/28/2004
Montana,Missoula,Missoula,"3333 Brooks Street 603",,08/14/2004
Montana,Missoula,Missoula,"5059 North Reserve Street",,08/18/2004
Montana,Cascade,"Great Falls","520 2nd S Ave 46",,08/18/2004
Montana,Yellowstone,Billings,"2320 Bench Blvd",,09/07/2004
Montana,"Silver Bow",Butte,"217 Hobson Avenue",,09/14/2004
Montana,Fallon,Baker,"110 1st W",,09/29/2004
Montana,Granite,Maxville,"260 Princeton Rd",,11/02/2004
Montana,Cascade,"Great Falls","1513 17th Sw Ave",,04/21/2005
Montana,Cascade,"Great Falls","1316 8th S Ave",,05/05/2005
Montana,Cascade,"Great Falls","714 11th N St",,07/23/2005
Montana,Lincoln,Troy,"404 Falls Creek Rd",,11/08/2005
Montana,Sanders,"Thompson Falls","418 Washington Street",,02/24/2006
Montana,Sanders,"Thompson Falls","58 Mosquito Creek Road",,03/29/2006
Montana,Cascade,"Great Falls","1712 Southwest 10th Street 1",,04/20/2006
Montana,Cascade,"Great Falls","2611 Upper River Road Unit 13",,08/03/2007
Montana,Cascade,"Great Falls","1120 West Central Avenue 4",,07/29/2008
Montana,Cascade,"Great Falls","807 South 7th Avenue",,10/04/2013
Montana,"Lewis And Clark",Helena,"302 N Davis Street",,08/14/2015
