state,county,city,address1,address2,date
"North Carolina",Wake,Raleigh,"3217  Huntleigh Drive",,
"North Carolina",Moore,Vass,"120  Riverview Drive",,
"North Carolina",Wilson,Wilson,"4521  Saint Mary's Church Road",,
"North Carolina",Guilford,Greensboro,"312 W Jj Drive Box 108",,
"North Carolina",Mcdowell,Marion,"210 Roby Conley Rd",,01/05/2004
"North Carolina",Rutherford,Mooresboro,"2307 Harris-henrietta Rd",,01/06/2004
"North Carolina",Buncombe,Candler,"375 Morgan Rd",,01/09/2004
"North Carolina",Buncombe,Weaverville,"41 Allman Hill Rd Lot 4",,01/15/2004
"North Carolina",Rutherford,Rutherfordton,"1662 Harris Holly Spring Rd",,01/16/2004
"North Carolina",Ashe,Todd,"2251 Longhope Rd",,01/22/2004
"North Carolina",Yancey,Burnsville,"439 Us 19 W Hwy",,01/22/2004
"North Carolina",Rutherford,"Lake Lure","228 Searcy Rd",,01/24/2004
"North Carolina",Watauga,Todd,"175 Little David Rd",,01/27/2004
"North Carolina",Person,Roxboro,"312 Barnette Ave",,02/06/2004
"North Carolina",Haywood,Canton,"737 Champion Dr 215",,02/09/2004
"North Carolina",Rutherford,"Forest City","152 Terry Rd",,02/09/2004
"North Carolina",Alexander,Taylorsville,"112 Vance Ln",,02/11/2004
"North Carolina",Mitchell,Bakersville,"25 Broad Branch Rd",,02/11/2004
"North Carolina",Mitchell,Bakersville,"129 Wilson Rd",,02/12/2004
"North Carolina",Mcdowell,Marion,"1092 Deacon Dr",,02/12/2004
"North Carolina",Watauga,Vilas,"1392 Laurel Fork Rd",,02/16/2004
"North Carolina",Johnston,"Four Oaks","6307 Stricklands Crossroads Rd",,02/16/2004
"North Carolina",Mcdowell,Marion,"84 Woody Mckinney Dr",,02/17/2004
"North Carolina",Rutherford,Bostic,"231 Dusty Holler Rd",,02/18/2004
"North Carolina",Ashe,"Laurel Springs","455 Hiram Bare Rd",,02/19/2004
"North Carolina",Watauga,Boone,"5722 Howards Creek Rd",,02/20/2004
"North Carolina",Rutherford,"Forest City","207 Spruce E St D",,02/21/2004
"North Carolina",Surry,"Mount Airy","923 Carroll St",,02/23/2004
"North Carolina",Ashe,"Laurel Springs","1031 Big Peak Creek Rd",,02/24/2004
"North Carolina",Henderson,Hendersonville,"59 Horseshoe Loop Ln",,02/25/2004
"North Carolina",Rowan,Rockwell,"375 Nazareth Homes Rd",,02/25/2004
"North Carolina",Haywood,"Maggie Valley","181 Lewis Ln Rm 119",,02/29/2004
"North Carolina",Rutherford,"Forest City","429 Mccall Dr",,03/01/2004
"North Carolina",Swain,"Bryson City","530 Jenkins Branch",,03/01/2004
"North Carolina",Caldwell,Lenoir,"3717 Hollywood Ridge Rd",,03/04/2004
