state,county,city,address1,address2,date
"New Hampshire",Grafton,Warren,"108 Rte 118",,09/10/2004
"New Hampshire",Valley,Ord,"1203 P St",,02/02/2005
"New Hampshire",Grafton,Thornton,"19 Sugar Shack Rd",,03/25/2005
"New Hampshire",Grafton,Thornton,"12 Anderson Hill Rd",,08/31/2005
"New Hampshire",Grafton,Wentworth,"79 Frescoln Rd",,11/21/2005
"New Hampshire",Grafton,Campton,"440 Bog Road",,06/13/2006
"New Hampshire",Merrimack,Franklin,"160  Central Street Apt B & C",,04/06/2010
"New Hampshire",Hillsborough,Nashua,"123  Amherst Street 4",,02/23/2011
"New Hampshire",Belknap,Laconia,"188  Union Street",,07/06/2011
"New Hampshire",Merrimack,Boscawen,"118  Front Road",,06/20/2012
"New Hampshire",Belknap,Gilford,"32 Northwest Doris Drive",,07/25/2012
"New Hampshire",Grafton,Bristol,"229  Pleasant Street C",,09/05/2012
"New Hampshire",Hillsborough,Manchester,"386  Dubuque Street",,07/01/2013
"New Hampshire",Merrimack,Manchester,"63  Sullivan Street 2nd Fl",,10/02/2013
"New Hampshire",Rockingham,Londonderry,"34  Anthony Drive",,11/21/2013
"New Hampshire",Hillsborough,Nashua,"1  Burns Hill Road  Box #3",,04/23/2014
"New Hampshire",Hillsborough,Manchester,"287  Lowell",,04/10/2015
"New Hampshire",Hillsborough,Manchester,"486  Spruce Street",,07/15/2016
"New Hampshire",Hillsborough,Manchester,"733 Grove St",,09/21/2016
"New Hampshire",Hillsborough,Manchester,"486 Sprice St",,10/04/2016
"New Hampshire",Coos,Berlin,"441 1st Avenue",,12/04/2017
"New Hampshire",Grafton,Littleton,"35 Crane Street",,01/06/2018
