state,county,city,address1,address2,date
"New Jersey",Camden,"Gloucester City","903 Koehler Street",,05/27/2004
"New Jersey",Merrimack,Concord,"78 Carter Mountain Rd",,06/13/2005
"New Jersey",Monmouth,Freehold,"94 Gravel Hill Rd",,11/22/2005
"New Jersey",Bergen,"Fort Lee","2008 Jones Rd",,03/13/2006
"New Jersey",Ocean,Manahawkin,"358 Deer Lake Court",,11/02/2006
"New Jersey",Cumberland,Bridgeton,"747 Garton Road",,05/24/2007
"New Jersey",Ocean,"Forked River","986 Capstan Dr",,02/20/2008
"New Jersey",Cumberland,Millville,"324  Lebanon Road",,01/17/2012
"New Jersey",Camden,Burlington,"7  Bodine Avenue",,02/09/2014
"New Jersey",Camden,Blackwood,"131  Brewer Avenue",,08/05/2015
