state,county,city,address1,address2,date
"New Mexico",Union,Clayton,"409 Third S St",,01/01/2004
"New Mexico",Valencia,Belen,"94 Pageant St",,01/02/2004
"New Mexico",Bernalillo,Albuquerque,"1037 Dakota Se",,01/04/2004
"New Mexico",Bernalillo,Albuquerque,"5741 Osuna Ne 1506",,01/07/2004
"New Mexico",Bernalillo,Albuquerque,"13004 Mountain View Ne",,01/10/2004
"New Mexico",Bernalillo,Albuquerque,"424 & 428 Tennessee",,01/15/2004
"New Mexico",Valencia,"Los Lunas","690 A Meadowlake Rd",,01/26/2004
"New Mexico",Bernalillo,Albuquerque,"2309 Algodones Ne",,01/26/2004
"New Mexico",Bernalillo,Albuquerque,"602 14th Sw",,02/09/2004
"New Mexico",Sandoval,"Rio Rancho","550 Vancouver Se Rd",,02/09/2004
"New Mexico",Sandoval,"Rio Rancho","3424 19th Se Ave",,02/17/2004
"New Mexico",Valencia,"Los Lunas","08 Manzano Rd",,02/18/2004
"New Mexico",Valencia,"Los Lunas","690 A Meadowlake Rd",,02/18/2004
"New Mexico",Valencia,"Los Lunas","06 Baca Grande St",,02/18/2004
"New Mexico",Bernalillo,Albuquerque,"414 Pine Se",,02/24/2004
"New Mexico",Bernalillo,Albuquerque,"2421 Zena Lona Ne",,02/28/2004
"New Mexico",Chaves,Roswell,"717 Hendricks E",,03/02/2004
"New Mexico",Socorro,Socorro,"Bullock Ave 503",,03/09/2004
"New Mexico",Bernalillo,Albuquerque,"605 San Clemente Nw",,03/18/2004
"New Mexico",Chaves,Roswell,"300 Linda Vista W",,03/28/2004
"New Mexico","Dona Ana",Chaparral,"307 Gala Way",,04/13/2004
"New Mexico",Sandoval,Bernalillo,"1249 Camino Del Pueblo",,04/13/2004
"New Mexico",Bernalillo,Albuquerque,"1613 Cedar Ridge Ne",,04/19/2004
"New Mexico",Bernalillo,Albuquerque,"12337 Eastridge Ne",,04/20/2004
"New Mexico",Bernalillo,Albuquerque,"6066 Stabaugh Rd",,04/21/2004
"New Mexico","Dona Ana","Las Cruces","905 Stull Drive",,04/24/2004
"New Mexico",Valencia,Belen,"546 Gabaldon Rd",,04/29/2004
"New Mexico",Valencia,"Los Lunas","1077 Lamb Ct",,05/04/2004
"New Mexico",Otero,Alamogordo,"72 Dulce",,05/13/2004
"New Mexico",Bernalillo,Albuquerque,"1318 6th Nw St",,05/23/2004
"New Mexico",Taos,Taos,"531 Paseo Del Pueblo Norte",,05/24/2004
"New Mexico",Bernalillo,Albuquerque,"5020 Ellison Ne",,05/24/2004
"New Mexico",Valencia,"Los Lunas","19 Algodones Rd",,05/25/2004
"New Mexico",Bernalillo,Albuquerque,"10331 Hotel Circle Ne Ave",,05/31/2004
"New Mexico","Dona Ana","Las Cruces","3115 El Camino Real 113",,06/02/2004
"New Mexico",Bernalillo,Albuquerque,"12216 Eastridge Ne",,06/08/2004
"New Mexico",Lea,Lovington,"501 Tyler",,06/09/2004
"New Mexico",Bernalillo,Albuquerque,"6507 Karlson Ne",,06/10/2004
"New Mexico",Bernalillo,Albuquerque,"3400 Prospect Ne 200",,06/12/2004
"New Mexico","Santa Fe",Edgewood,"53 Evening Star Lp",,06/24/2004
"New Mexico",Bernalillo,Albuquerque,"13236 Executive Ridge Ne",,06/26/2004
"New Mexico",Bernalillo,Albuquerque,"2817 Belair Ne",,07/03/2004
"New Mexico",Bernalillo,Albuquerque,"2523 Callejon Ne",,07/09/2004
"New Mexico",Bernalillo,Albuquerque,"701 Puffin Ne",,07/12/2004
"New Mexico",Valencia,"Los Lunas","23 Calle Medio",,07/13/2004
"New Mexico",Bernalillo,Albuquerque,"601 Paisano Ne 115",,07/22/2004
"New Mexico",Bernalillo,Albuquerque,"3113 Bahama Ne",,07/24/2004
"New Mexico",Bernalillo,Albuquerque,"2805 Christine Ne",,07/24/2004
"New Mexico",Valencia,Peralta,"14 Zamora Ln",,07/24/2004
"New Mexico",Sandoval,"Rio Rancho","4515 Arrowhead Ridge Se Dr 811",,07/26/2004
"New Mexico",Curry,Clovis,"624 Ave W",,07/27/2004
"New Mexico",Bernalillo,Albuquerque,"13013 Montgomery Ne Way",,07/29/2004
"New Mexico",Sierra,"Truth Or Consequences","710 Charles",,08/02/2004
"New Mexico","Santa Fe",Edgewood,"11 Calle Linda",,08/09/2004
"New Mexico",Bernalillo,Albuquerque,"404 52nd Sw St",,08/10/2004
"New Mexico",Bernalillo,Albuquerque,"3400 Prospect Ne 239",,08/10/2004
"New Mexico","Dona Ana",Chaparral,"302 Coles Ave",,08/12/2004
"New Mexico","Dona Ana",Chaparral,"725b Broadmoor",,08/12/2004
"New Mexico",Bernalillo,Albuquerque,"243 Pennsylvania Ne A-4",,08/18/2004
"New Mexico","San Juan",Farmington,"215 County Road 5569",,08/20/2004
"New Mexico",Bernalillo,Albuquerque,"506 Utah Ne",,08/28/2004
"New Mexico",Bernalillo,Albuquerque,"12816 Cloudview Ne",,09/11/2004
"New Mexico",Bernalillo,Albuquerque,"316 Pennsylvania Ne 3",,09/14/2004
"New Mexico",Valencia,"Los Lunas","27 Whitehouse Rd",,09/17/2004
"New Mexico",Bernalillo,Albuquerque,"11614 Love Ne",,09/23/2004
"New Mexico",Sandoval,"Rio Rancho","2608 The American Nw Rd",,09/23/2004
"New Mexico","Rio Arriba",Llaves,"1721 County Rd 41",,10/08/2004
"New Mexico",Bernalillo,Albuquerque,"528 San Pablo Se B",,10/25/2004
"New Mexico",Bernalillo,Albuquerque,"10331 Hotel Ne Ave",,11/07/2004
"New Mexico",Bernalillo,Albuquerque,"417 12th Nw St",,11/14/2004
"New Mexico",Bernalillo,Albuquerque,"2412 Carlisle Ne",,11/20/2004
"New Mexico","Dona Ana",Chaparral,"329 Paloma Blanca",,11/23/2004
"New Mexico",Curry,Clovis,"216 11th W St",,12/09/2004
"New Mexico",Bernalillo,Albuquerque,"25 Hotel Cir 286",,12/25/2004
"New Mexico",Bernalillo,Albuquerque,"7608 Verona Nw",,12/29/2004
"New Mexico",Bernalillo,Albuquerque,"12931 Central Ne 90",,01/02/2005
"New Mexico",Bernalillo,Albuquerque,"704 Grove Ne",,01/05/2005
"New Mexico",Bernalillo,Albuquerque,"109 Myers Ne",,01/07/2005
"New Mexico",Bernalillo,Albuquerque,"8411 Chico Ne",,01/28/2005
"New Mexico",Bernalillo,Albuquerque,"5240 Wyoming Ne E-20",,01/29/2005
"New Mexico","Santa Fe",Stanley,"271 Calle Victorio St",,02/02/2005
"New Mexico",Union,Clayton,"405 Maple S St",,02/09/2005
"New Mexico",Otero,Alamogordo,"13 Sage",,02/17/2005
"New Mexico",Bernalillo,Tijeras,"27 1/2 Kuhn Rd",,02/23/2005
"New Mexico",Bernalillo,Albuquerque,"9027 Claremont Ne",,03/22/2005
"New Mexico",Bernalillo,Albuquerque,"8428 River Ne",,04/25/2005
"New Mexico",Sussex,"Hardyston Township","82 Shady Ln 5",,04/26/2005
"New Mexico","Santa Fe",Edgewood,"138 State Road 344",,04/28/2005
"New Mexico",Bernalillo,Albuquerque,"5504 Carmelita Ne",,04/29/2005
"New Mexico",Bernalillo,Albuquerque,"1115 Copper Ne",,05/04/2005
"New Mexico",Bernalillo,Albuquerque,"813 Girard Se",,05/11/2005
"New Mexico",Bernalillo,Albuquerque,"9000 Zuni Se B26",,05/16/2005
"New Mexico",Union,Clayton,"415 Chestnut Rd",,05/16/2005
"New Mexico",Bernalillo,Albuquerque,"246 Texas Ne F",,06/29/2005
"New Mexico",Bernalillo,Albuquerque,"3111 Jane Ne 287",,06/30/2005
"New Mexico",Bernalillo,Albuquerque,"1920 Vassar Ne 25",,07/13/2005
"New Mexico",Bernalillo,Albuquerque,"8212 Otero Ne",,07/22/2005
"New Mexico",Bernalillo,Albuquerque,"4200 Spanish Bit Ne J 307",,07/22/2005
"New Mexico",Bernalillo,Albuquerque,"1222 Headingly Nw",,08/05/2005
"New Mexico",Bernalillo,Albuquerque,"8212 Zuni Se",,08/18/2005
"New Mexico",Bernalillo,Albuquerque,"3514 Thaxton Se",,08/24/2005
"New Mexico",Torrance,Estancia,"503 Lovelace W St",,09/14/2005
"New Mexico",Bernalillo,Albuquerque,"4229 Mackland Ne",,09/22/2005
"New Mexico",Bernalillo,Albuquerque,"1420 Jewett Ne",,09/28/2005
"New Mexico",Torrance,Estancia,"700 Williams W St",,10/05/2005
"New Mexico",Bernalillo,Albuquerque,"10204 Sand Sage Dr",,10/26/2005
"New Mexico",Sandoval,"Rio Rancho","1385 Sunset Se Rd",,10/31/2005
"New Mexico",Bernalillo,Albuquerque,"6210 Indian School Ne D116",,11/08/2005
"New Mexico",Bernalillo,Albuquerque,"916 Dakota Se",,12/02/2005
"New Mexico",Sandoval,"Rio Rancho","6979 Clark Hills Ne Dr",,12/16/2005
"New Mexico",Torrance,Estancia,"717 Walker Road",,01/11/2006
"New Mexico",Union,Clayton,"310 Main Street",,01/26/2006
"New Mexico",Bernalillo,Albuquerque,"2709 Northwest San Isidro",,02/22/2006
"New Mexico",Bernalillo,Albuquerque,"1028 Southeast Alvarado",,02/28/2006
"New Mexico",Bernalillo,Albuquerque,"11609 Northeast La Cueva",,03/06/2006
"New Mexico",Union,Clayton,"723 Cedar Street",,03/16/2006
"New Mexico","Santa Fe",Edgewood,"64 Aspen Drive",,03/28/2006
"New Mexico",Sandoval,"Rio Rancho","938 Southwest Sunflower Drive",,04/09/2006
"New Mexico",Bernalillo,Albuquerque,"3859 Northeast Montgomery",,05/10/2006
"New Mexico",Eddy,Carlsbad,"1705 Quay",,06/26/2006
"New Mexico",Bernalillo,Albuquerque,"8710 Northwest 2nd Street",,07/07/2006
"New Mexico",Otero,Tularosa,"30 White Mountain Road",,07/12/2006
"New Mexico",Bernalillo,Albuquerque,"700 Northeast Bear Canyon Road",,07/27/2006
"New Mexico",Bernalillo,Albuquerque,"2918 Northeast Monroe",,07/30/2006
"New Mexico",Bernalillo,Albuquerque,"609 Northeast Noble",,08/04/2006
"New Mexico",Bernalillo,Albuquerque,"3845 Northeast Piermont",,08/24/2006
"New Mexico",Bernalillo,Albuquerque,"10116 Northeast Comanche",,09/21/2006
"New Mexico",Bernalillo,Albuquerque,"8201 Northeast Pickard",,10/11/2006
"New Mexico",Bernalillo,Albuquerque,"13305 Northeast Oriente",,11/27/2006
"New Mexico",Bernalillo,Albuquerque,"608 Southeast Valencia",,12/04/2006
"New Mexico",Chaves,Roswell,"612 South Michigan",,01/15/2007
"New Mexico",Valencia,Belen,"911 West Delgado",,02/07/2007
"New Mexico",Torrance,Estancia,"306 Lassiter Street",,04/27/2007
"New Mexico",Bernalillo,Albuquerque,"3859 Northeast Montgomery #1322",,05/08/2007
"New Mexico",Bernalillo,Albuquerque,"126 Northeast Utah",,05/23/2007
"New Mexico",Sierra,"Truth Or Consequences","501 Lucky Street",,06/28/2007
"New Mexico",Bernalillo,Albuquerque,"4801 Southeast Gibson # 208",,06/29/2007
"New Mexico",Valencia,"Los Lunas","1057 Cortez Street",,06/30/2007
"New Mexico",Sandoval,"Rio Rancho","1861 Southeast Carina Court",,07/07/2007
"New Mexico",Valencia,"Los Lunas","20 El Cerro Road",,01/18/2008
"New Mexico",Bernalillo,Albuquerque,"515 Northwest Kinely",,01/25/2008
"New Mexico",Valencia,"Los Lunas","1725 Sichler Road",,01/31/2008
"New Mexico",Valencia,"Los Lunas","22 Constancia Road",,02/11/2008
"New Mexico",Sandoval,"Rio Rancho","2001 Northeast Eucalyptus Road",,02/29/2008
"New Mexico",Torrance,Estancia,"711 East Joseph Street",,03/11/2008
"New Mexico",Lea,Hobbs,"306 East Palace",,03/13/2008
"New Mexico",Valencia,"Los Lunas","10 Northwest Edeal Road 10",,03/22/2008
"New Mexico",Chaves,Roswell,"32 West Martin Street 3104",,04/19/2008
"New Mexico",Bernalillo,Albuquerque,"7401 Northeast San Pedro",,04/28/2008
"New Mexico",Roosevelt,Portales,"137 Messilla Park",,05/04/2008
"New Mexico",Roosevelt,Portales,"42988a Us 70 Highway",,05/04/2008
"New Mexico",Torrance,Mcintosh,"1798 West 41 Highway 6",,05/16/2008
"New Mexico",Bernalillo,Albuquerque,"1413 Southwest El Oriente Road",,05/16/2008
"New Mexico",Cibola,Cubero,"170 Picacho Pear Road",,05/19/2008
"New Mexico",Valencia,Belen,"314 Horizon Vista",,06/02/2008
"New Mexico",Bernalillo,Albuquerque,"1037 Southwest Los Puentes Drive",,06/04/2008
