state,county,city,address1,address2,date
Nevada,Clark,"Las Vegas","3914 Perry St C",,01/16/2004
Nevada,Clark,"Las Vegas","2990 Cedar",,01/25/2004
Nevada,Clark,"Las Vegas","3536 Unique N Way",,01/27/2004
Nevada,Clark,"Las Vegas","1620 San Pedro Ave",,02/11/2004
Nevada,Clark,"Las Vegas","8400 Abita Cir",,02/18/2004
Nevada,Clark,"North Las Vegas","4323 Yonkwood",,02/27/2004
Nevada,Clark,Henderson,"2807 Sodorno E Ln",,03/05/2004
Nevada,Clark,Henderson,"233 Cholla S C-23",,03/11/2004
Nevada,Clark,"Las Vegas","2159 Enfield Cir A",,03/17/2004
Nevada,Clark,"Las Vegas","1425 Mallard N",,03/27/2004
Nevada,Clark,"Las Vegas","3367 Rio Grande",,03/28/2004
Nevada,Clark,"Las Vegas","5204 Alpine Pl",,03/28/2004
Nevada,Clark,"Las Vegas","4205 Tropicana W Ave B-3017",,04/10/2004
Nevada,Clark,"Las Vegas","3850 Mountain Vista S 172",,04/10/2004
Nevada,Washoe,Reno,"255 Sierra N Ave",,04/22/2004
Nevada,Clark,"Las Vegas","5550 Pleasant Hill Sr 202",,05/06/2004
Nevada,Clark,"Las Vegas","3890 Graphic Center W Dr",,05/14/2004
Nevada,Washoe,Sparks,"2150 Victorian Ave 123",,05/15/2004
Nevada,Clark,"Las Vegas","920 Martin L King S Blvd",,05/25/2004
Nevada,Clark,"Las Vegas","7230 Las Vegas S Blvd 373",,05/28/2004
Nevada,Clark,"Las Vegas","4025 Palos Verdes 116",,06/08/2004
Nevada,Clark,"Las Vegas","5025 Washington W Ave",,06/15/2004
Nevada,Clark,"Las Vegas","5249 Willowhaven Ave",,06/17/2004
Nevada,Clark,"Las Vegas","4871 Tierra Verde St",,06/18/2004
Nevada,Clark,"Las Vegas","4685 Harmon E Ave",,07/05/2004
Nevada,Clark,"Las Vegas","5793 Gateway",,07/08/2004
Nevada,Clark,"Las Vegas","6796 Greengrove W Dr",,07/08/2004
Nevada,Clark,"Las Vegas","3564 Haverhill",,07/15/2004
Nevada,Washoe,Sparks,"2001 Victorian Ave",,07/27/2004
Nevada,Washoe,Sparks,"2955 Los Arboles Lane",,07/28/2004
Nevada,Clark,"Las Vegas","2701 North Rancho Drive 2089",,08/03/2004
Nevada,Clark,"Las Vegas","8728 Brody St",,08/11/2004
Nevada,Clark,"Las Vegas","1500 Stardust St L-3206",,08/21/2004
Nevada,Clark,"Las Vegas","2300 Rock Springs Dr 12/1075",,09/13/2004
