state,county,city,address1,address2,date
"New York",Jefferson,Watertown,"214 Charles St",,01/02/2004
"New York",Jefferson,Watertown,"234 Coffeen St",,01/02/2004
"New York",Jefferson,Watertown,"572 Snell St",,01/03/2004
"New York",Chemung,Elmira,"825 Erie Street",,01/15/2004
"New York",Tioga,Barton,"541 Old Barton Road",,01/28/2004
"New York",Chemung,Chemung,"198 Elston Rd",,02/18/2004
"New York",Chemung,Veteran,"4031 Watkins Rd",,02/27/2004
"New York",Steuben,Corning,"2609 Kings Circle St",,03/02/2004
"New York",Jefferson,Watertown,"125 Hoard E St",,03/04/2004
"New York",Chemung,Elmira,"313 Center E St",,03/10/2004
"New York",Jefferson,Ellisburg,"16306 (b) Ikeys Crossing Rd",,03/11/2004
"New York",Tioga,Groton,"525 Pleasant Valley Rd",,04/08/2004
"New York",Jefferson,Watertown,"255 Ten Eyck St",,04/08/2004
"New York",Broome,"Whitney Point","5176 Sr 26 St",,04/17/2004
"New York",Otsego,Worcester,"405 Smith Rd",,06/03/2004
"New York",Erie,Williamsville,"104 Cranburne Ln",,06/15/2004
"New York",Jefferson,Watertown,"812 Boyd St",,06/20/2004
"New York",Steuben,Canisteo,"1385 Slate Creek Rd",,06/30/2004
"New York",Otsego,Plainfield,"301 Bassett Rd",,07/03/2004
"New York",Oswego,Hastings,"48 Ball Rd",,07/08/2004
"New York",Herkimer,Mohawk,"4424 State Route 5",,08/04/2004
"New York",Herkimer,Stark,"1381 State Route 168",,09/01/2004
"New York",Herkimer,Ilion,"37 North E St",,09/02/2004
"New York",Herkimer,"West Winfield","977 County Route 21",,09/02/2004
"New York",Tioga,Barton,"28 Cayuta St",,10/17/2004
"New York",Tioga,Berkshire,"336 Turkey Hill Road",,12/22/2004
"New York",Otsego,"Richfield Springs","107 Mulligan Road",,02/16/2005
"New York",Livingston,Dansville,"6432 Stong Hill Rd",,05/07/2005
"New York",Essex,"Schroon Lake","1496 Route 9",,07/19/2005
"New York",Clinton,Chazy,"9608 Route 9",,09/16/2005
"New York",Broome,Maine,"38 Hoskins Rd",,09/21/2005
"New York",Tioga,Nichols,"2313 Briggs Hill Rd",,11/29/2005
"New York",Otsego,Edmeston,"2354 County Hwy 20",,01/05/2006
"New York",Herkimer,"West Winfield","102 Marriott Road",,01/24/2006
"New York",Suffolk,Farmingville,"187 Berkshire Dr",,02/08/2006
"New York",Broome,Maine,"38 Hoskin Rd",,02/09/2006
"New York",Broome,Endicott,"87 Sky Island Dr",,02/10/2006
"New York",Broome,Barker,"470 Conklin Hill Rd",,02/10/2006
"New York",Broome,Binghamton,"426 Conklin Ave",,02/14/2006
"New York",Broome,Barker,"265 Joyner Road",,03/21/2006
"New York",Monroe,Rochester,"17 Copley St",,04/02/2006
"New York",Queens,Astoria,"32-82 33rd Street",,06/28/2006
"New York","New York","New York","330 East 39th Street",,06/29/2006
"New York",Bronx,Bronx,"2280 Olinville Avenue",,07/05/2006
"New York",Kings,Brooklyn,"181 Bay 28th Street",,07/26/2006
"New York",Chemung,Chemung,"5464 North Street",,08/01/2006
"New York",Herkimer,Jordanville,"252 Kingdom Road",,08/22/2006
"New York",Suffolk,Patchogue,"124 Maple Avenue",,08/22/2006
"New York",Queens,Flushing,"164-18 43rd Avenue",,08/24/2006
"New York",Suffolk,Ridge,"15 Tarkill Trail",,09/12/2006
"New York",Erie,Buffalo,"81 Lockwood Street",,09/19/2006
"New York","New York","New York","386 Manhattan Avenue",,10/04/2006
"New York",Otsego,"Richfield Springs","1157 County Route 25",,11/11/2006
"New York",Broome,"Johnson City","22 Camden Street",,11/24/2006
"New York",Cayuga,Moravia,"5426 Murphy Hill Road",,12/07/2006
"New York",Ulster,Woodstock,"45 Millstream Road",,12/15/2006
"New York",Orleans,Medina,"4099 Shelby Basin Road 1",,03/23/2007
"New York",Essex,"Port Henry","6 Second Street",,05/08/2007
"New York",Chemung,Erin,"1493 Breesport Road",,05/15/2007
"New York",Tioga,Lockwood,"6547 Miller Hollow Road",,05/31/2007
"New York",Hamilton,,"281 Washburn Road",,06/17/2007
"New York",Tioga,Spencer,"61 Dawson Hill Road",,06/21/2007
"New York",Otsego,"Springfield Center","4806 State Route 20 Route",,07/13/2007
"New York",Ulster,Kingston,"8a Center Street",,09/21/2007
"New York",Herkimer,"West Winfield","1163 State Route 20",,01/16/2008
"New York",Schuyler,Dix,"1741 Gano Road",,01/21/2008
"New York",Schuyler,Cayuta,"6259 Swartwood Road",,01/23/2008
"New York",Otsego,"Richfield Springs","136 Main Street",,02/21/2008
