state,county,city,address1,address2,date
Ohio,Summit,Barberton,"688 Charles St",,01/15/2000
Ohio,Summit,Akron,"697 Sherman St",,04/04/2000
Ohio,Cuyahoga,Cleveland,"9521 Raymond Ave",,05/03/2000
Ohio,Summit,Akron,"1306 Curtis St",,07/03/2000
Ohio,Montgomery,Dayton,"218 Pleasant Ave",,07/28/2000
Ohio,Brown,"Mount Orab","17244 Us 68 Green Township",,10/26/2000
Ohio,Clinton,Midland,"101 Vine St",,10/27/2000
Ohio,Fayette,Jeffersonville,"43 State St A & B",,10/29/2000
Ohio,Summit,Akron,"674 Cole Ave",,11/16/2000
Ohio,Hamilton,Cincinnati,"4769 Hart Ave",,11/20/2000
Ohio,Montgomery,Kettering,"2105 Colton Dr",,11/27/2000
Ohio,Greene,"Spring Valley","1850 42 State S Rt",,11/27/2000
Ohio,Summit,Tallmadge,"38 Thomas S Ave C",,12/07/2000
Ohio,Summit,Akron,"1530 Preston Ave",,12/08/2000
Ohio,Montgomery,Miamisburg,"412 Second S St",,12/21/2000
Ohio,Adams,Peebles,"350 Fields Hollow Rd",,01/02/2001
Ohio,Summit,Akron,"557 Fairfield Ave",,02/12/2001
Ohio,Summit,Akron,"775 Howard N St",,02/25/2001
Ohio,Washington,Belpre,"1209 Wyatt Ln C",,03/17/2001
Ohio,Clermont,Blanchester,"5949 Hunt Rd",,04/14/2001
Ohio,Washington,Belpre,"616 Walnut St",,04/20/2001
Ohio,Highland,Hillsboro,"10600 Lois Ln",,04/27/2001
Ohio,Brown,Sardinia,"5260 Stephan Rd",,05/01/2001
Ohio,Warren,Loveland,"9359 Chestnut Dr",,05/09/2001
Ohio,Clinton,Wilmington,"2252 Brimstone Rd",,05/13/2001
Ohio,Adams,"West Union","210 Rice Dr 19",,05/24/2001
Ohio,Highland,Hillsboro,"7131 Field Ln",,05/29/2001
Ohio,Summit,Stow,"4222 Stormrise St",,06/05/2001
Ohio,Montgomery,Kettering,"2028 Valley Green Dr",,06/27/2001
Ohio,Highland,Hillsboro,"6759 Heather Moor Trail",,06/27/2001
Ohio,Montgomery,Riverside,"2506 Amble Way",,07/06/2001
Ohio,Darke,Greenville,"2298 Mcfeeley-petry Rd",,07/06/2001
Ohio,Shelby,Sidney,"123 Poplar St",,07/09/2001
Ohio,Highland,Hillsboro,"2299 New Market W Rd",,07/26/2001
Ohio,Holmes,Wooster,"223 Curry Ct",,07/27/2001
Ohio,Summit,Springfield,"2347 Waterloo E Rd",,08/02/2001
Ohio,Clermont,Milford,"4694 Tealtown Rd",,08/20/2001
Ohio,Brown,Sardinia,"3031 St Rt 321",,08/27/2001
Ohio,Greene,Springfield,"2801 Division E 17",,08/31/2001
Ohio,Jackson,"Oak Hill","147 Scenic Dr",,09/05/2001
Ohio,Clermont,Batavia,"5222 Locust St",,10/01/2001
Ohio,Trumbull,Warren,"489 Highland Sw",,11/05/2001
Ohio,Summit,Tallmadge,"1179 Munroe S Rd",,11/16/2001
Ohio,Clermont,"Pleasant Plain","3220 Martin Rd",,12/12/2001
Ohio,Clermont,Goshen,"3271 Bishop Rd",,01/07/2002
Ohio,Jackson,Jackson,"9290 State 776 Rt",,01/12/2002
Ohio,Wayne,Orrville,"631 Smithville Rd",,02/14/2002
Ohio,Brown,Winchester,"12611 Mound Rd",,02/17/2002
Ohio,Scioto,Lucasville,"1421 Lusasvill-minford Rd",,02/20/2002
Ohio,Pickaway,Circleville,"148 Starkey St",,02/20/2002
Ohio,Clermont,Batavia,"4672 Shepherd Rd",,03/26/2002
Ohio,Washington,Coolville,"125 Frost Rd",,03/28/2002
Ohio,Summit,Akron,"880 1/2 Iona Ave",,03/31/2002
Ohio,Montgomery,Dayton,"2230 Lodell",,04/04/2002
Ohio,Fairfield,Lancaster,"537 1/2 Main E St",,04/10/2002
Ohio,Cuyahoga,Cleveland,"9508 Cardwell Ave",,04/11/2002
Ohio,Montgomery,Trotwood,"2112 Union Rd",,04/15/2002
Ohio,Cuyahoga,Bedford,"134 Maria Dr",,04/19/2002
Ohio,Portage,Randolph,"3294 Waterloo Rd",,05/06/2002
Ohio,Adams,"Blue Creek","21805 State Route 125",,05/08/2002
Ohio,Summit,Akron,"75 Akers Ave 4",,05/08/2002
Ohio,Butler,Fairfield,"6516 State Route 4",,05/10/2002
Ohio,Hamilton,Cincinnati,"4250 Virginia Ave",,05/21/2002
Ohio,Adams,"West Union","466 Chaparral Rd",,05/27/2002
Ohio,Scioto,Lucasville,"2879 Miller's Run Rd",,06/04/2002
Ohio,Lucas,Toledo,"2030 Ashland Ave 505",,06/11/2002
Ohio,Montgomery,Dayton,"231 Hunter Ave",,06/17/2002
Ohio,Adams,"West Union","222 Rice Dr 3",,08/08/2002
Ohio,Defiance,Hicksville,"418 Elm St 2",,08/13/2002
Ohio,Hamilton,Harrison,"133 Flintstone Dr",,08/14/2002
Ohio,Greene,Fairborn,"436 Ironwood Dr",,08/23/2002
Ohio,Scioto,Mcdermott,"2614 Tatman Cove Rd",,09/04/2002
Ohio,Brown,Fayetteville,"410 Russell St",,09/22/2002
Ohio,Greene,Fairborn,"507 Lohnes Dr",,09/26/2002
Ohio,Summit,Akron,"710 Patterson Ave",,10/07/2002
Ohio,Ashtabula,Andover,"2290 Pymatuning Lake Rd",,10/18/2002
Ohio,Summit,Akron,"270 Goodview Ave 2",,10/30/2002
Ohio,Franklin,Franklin,"765 Main S St",,10/30/2002
Ohio,Clark,Springfield,"3327 Overlook Dr",,11/01/2002
Ohio,Ashtabula,Geneva,"257 Main E St",,11/03/2002
Ohio,Pike,Piketon,"947 Schuster Rd",,11/19/2002
Ohio,Highland,Hillsboro,"7509 Walker Rd",,11/20/2002
Ohio,Summit,Akron,"1751 Main S St 2",,11/24/2002
Ohio,Summit,Akron,"650 Spicer St",,12/01/2002
Ohio,Ross,Chillicothe,"677 East Main St",,12/10/2002
Ohio,Summit,"Cuyahoga Falls","2270 Winter Pkwy 1",,12/11/2002
Ohio,Geauga,Burton,"12619 Jackson Dr",,12/14/2002
Ohio,Hamilton,Cincinnati,"905 Rodsemont Rd",,12/19/2002
Ohio,Clermont,Goshen,"22 Holly Ln",,12/23/2002
Ohio,Clermont,Marathon,"1010 Predmore Rd",,12/25/2002
Ohio,Clark,Medway,"1417 Park N Dr",,01/02/2003
Ohio,Adams,Seaman,"304 Vine St",,01/20/2003
Ohio,Montgomery,"Huber Heights","7511 Dial Dr",,01/31/2003
Ohio,Highland,Mowrystown,"82 Main W St",,01/31/2003
Ohio,Scioto,Lucasville,"811 Alints Hollow Rd",,02/03/2003
Ohio,Adams,Peebles,"2600 Parker Ridge Rd",,02/15/2003
Ohio,Ashtabula,Ashtabula,"6250 New London N Rd",,02/18/2003
Ohio,Clermont,"New Richmond","2896 Pisgah Rd",,02/25/2003
Ohio,Franklin,Obetz,"4332 Thelma Dr",,03/06/2003
Ohio,Summit,Akron,"655 Oxford N Ave Upper",,03/15/2003
Ohio,Preble,Camden,"6999 Rose Blvd",,03/15/2003
Ohio,Holmes,Millersburg,"151 Tanager St",,03/20/2003
Ohio,Summit,Tallmadge,"554 West Ave 205",,03/26/2003
Ohio,Warren,"West Chester","5063 A Columbia Cir",,03/27/2003
Ohio,Summit,Akron,"508 Buchtel E Ave 2h",,04/01/2003
Ohio,Montgomery,"Jefferson Twp","8667 Dayton Famersville Rd",,04/03/2003
Ohio,Hamilton,Cincinnati,"3223 Clendora Ave",,04/08/2003
Ohio,Summit,Akron,"28 Mapledale E Ave",,04/17/2003
Ohio,Ashtabula,Ashtabula,"3903 North Ridge West N",,04/18/2003
Ohio,Clermont,Bethel,"2028 Justin Ln",,04/22/2003
Ohio,Jackson,Wellston,"249 13th W St 54",,05/01/2003
Ohio,Greene,Fairborn,"30 Goodman E",,05/16/2003
Ohio,Pike,Waverly,"1017 State Route 552",,05/20/2003
Ohio,Pike,Lucasville,"403 Worth S St",,05/22/2003
Ohio,Scioto,Portsmouth,"1222 Milldale Rd",,05/26/2003
Ohio,Adams,"West Union","147 Over Dr",,05/26/2003
Ohio,Summit,Akron,"843 Minota St",,05/28/2003
Ohio,Holmes,Millersburg,"5671 State Route 83",,06/12/2003
Ohio,Greene,Fairborn,"64 Erie St",,06/13/2003
Ohio,Ashtabula,Geneva,"3107 Myers S Rd",,06/14/2003
Ohio,Clermont,"New Richmond","851 Old Us 52",,06/20/2003
Ohio,Clermont,"Wayne Township","6198 Taylor Pike",,06/20/2003
Ohio,Summit,Akron,"1147 Sylvan Ave",,06/22/2003
Ohio,Miami,Piqua,"703 Willard St",,06/24/2003
Ohio,Ashtabula,"Rock Creek","3740 St. Rt. 534 S",,06/29/2003
Ohio,Ashtabula,"North Kingsville","2088 Center W Rd",,07/10/2003
Ohio,Greene,Fairborn,"647 Dayton Yellow Springs E",,07/15/2003
Ohio,Fairfield,Pleasantville,"7480 Grubb Rd",,07/19/2003
Ohio,Fairfield,Reynoldsburg,"2786 John Stevens Way",,08/06/2003
Ohio,Summit,Tallmadge,"282 North Ave",,08/19/2003
Ohio,Summit,Lakemore,"1551 Front St",,08/19/2003
Ohio,Adams,"West Union","100 Chesley",,09/12/2003
Ohio,Adams,Peebles,"32505 State Route 41",,09/15/2003
Ohio,Lorain,Oberlin,"43303 Hasting Rd",,09/23/2003
Ohio,Lorain,Oberlin,"13552 Hale Rd",,09/23/2003
Ohio,Summit,Tallmadge,"600 Parkside Ln",,09/25/2003
Ohio,Summit,Barberton,"1638 Wooster W Rd",,09/27/2003
Ohio,Clinton,Clarksville,"2502 Creek Rd",,10/07/2003
Ohio,Scioto,Mcdermott,"1420 Mcdermott Pond Creek Rd B",,10/09/2003
Ohio,Scioto,Lucasville,"60 North St",,10/17/2003
Ohio,Summit,Akron,"378 Wonder Lake Dr",,10/30/2003
Ohio,Ashtabula,Ashtabula,"711 52nd W St Up",,11/05/2003
Ohio,Mercer,Celina,"6720 (b) Wabash Rd",,11/06/2003
Ohio,Mercer,Celina,"6720 (a) Wabash Rd",,11/07/2003
Ohio,Summit,Akron,"499 Columbine S Ave",,12/21/2003
Ohio,Licking,Newark,"626 Glenbrook Dr 33",,12/29/2003
Ohio,Champaign,Urbana,"3400 State Route 68",,01/02/2004
Ohio,Ashtabula,Geneva,"2600 Walter Main N Rd",,01/04/2004
Ohio,Summit,Akron,"313 Baird",,01/05/2004
Ohio,Summit,Akron,"2561 Edwin Ave",,01/05/2004
Ohio,Summit,Akron,"2178 Killian Rd",,01/12/2004
Ohio,Defiance,Hicksville,"208 Columbia St",,01/13/2004
Ohio,Medina,Wadsworth,"123 Water St",,01/21/2004
Ohio,Summit,Akron,"2865 Unwood",,01/23/2004
Ohio,Scioto,Portsmouth,"3941 Woods Ridge Rd",,01/24/2004
Ohio,Summit,Akron,"634 Essex St",,01/25/2004
Ohio,Highland,Lynchburg,"7730 Spickard Rd",,02/03/2004
Ohio,Brown,Winchester,"10434 John Woods Rd",,02/06/2004
Ohio,Summit,Akron,"642 Plum Ave",,02/08/2004
Ohio,Scioto,Lucasville,"655 Dace Rd",,02/24/2004
Ohio,Scioto,Mcdermott,"44 Carpenter Rd",,02/24/2004
Ohio,Knox,"Mount Vernon","1100 New Gambier Rd",,02/25/2004
Ohio,Summit,Springfield,"2161 Canton Rd",,03/02/2004
Ohio,Williams,Alvordton,"16445 County Road 20",,03/02/2004
Ohio,Darke,Versailles,"10241 Greenville St. Mary's Rd",,03/02/2004
Ohio,Summit,Akron,"166 Lakota Ave",,03/04/2004
Ohio,Pike,Piketon,"126 Hopper Rd",,03/04/2004
Ohio,Defiance,Sherwood,"06324 Openlunder Rd",,03/04/2004
Ohio,Summit,"Munroe Falls","176 Hunter Ave",,03/08/2004
Ohio,Marion,Marion,"314 Windsor St",,03/18/2004
Ohio,Ashtabula,Jefferson,"1554 Black Sea S Rd",,03/19/2004
Ohio,Logan,Bellefontaine,"317 Columbus E St 3",,03/22/2004
Ohio,Montgomery,Dayton,"215 Edmund St",,03/28/2004
Ohio,Miami,Piqua,"519 Boone St",,03/30/2004
Ohio,Williams,Alvordton,"106 1/2 Main E St",,04/01/2004
Ohio,Clark,Springfield,"703 Cassilly St",,04/08/2004
Ohio,Knox,"Mount Vernon","303 Gay N St 1",,04/10/2004
Ohio,Summit,Akron,"1059 Lexington Ave",,04/12/2004
Ohio,Summit,Akron,"944 Oregon Ave",,04/12/2004
Ohio,Summit,Akron,"1316 Waterloo W Rd",,04/14/2004
Ohio,Summit,Barberton,"637 Cassell E Ave",,04/14/2004
Ohio,Highland,Hillsboro,"1100 Northview Dr 11b",,04/20/2004
Ohio,Pike,Lucasville,"2080 Owl Creek Rd",,04/28/2004
Ohio,Greene,Fairborn,"44 Thornton Dr",,05/04/2004
Ohio,Summit,Mogadore,"3799 Dick St",,05/05/2004
Ohio,Wayne,Doylestown,"15099 Hametown Rd",,05/12/2004
Ohio,Summit,Akron,"908 Howard N",,05/17/2004
Ohio,Summit,Akron,"2294 17th Sw St",,05/20/2004
Ohio,Summit,Stow,"1517 Meadowbrook Blvd",,05/27/2004
Ohio,Ashtabula,Ashtabula,"1530 8th W St",,06/08/2004
Ohio,Summit,Akron,"549 Dayton St",,06/10/2004
Ohio,Summit,Akron,"935 Harrison Ave",,06/11/2004
Ohio,Hamilton,Cincinnati,"8690 Lawrenceburg Ave",,06/16/2004
Ohio,Summit,Green,"3187 Walnut St",,06/16/2004
Ohio,Wayne,Orrville,"317 Walnut St",,06/22/2004
Ohio,Stark,"North Canton","121 Holl Ne Rd",,06/26/2004
Ohio,Summit,"Cuyahoga Falls","2247 11th St",,07/01/2004
Ohio,Summit,Akron,"1913 2nd Sw St",,07/02/2004
Ohio,Ashtabula,Rome,"4851 St. Rt. 45 S",,07/03/2004
Ohio,Ashtabula,Ashtabula,"1712 Ohio Ave",,07/06/2004
Ohio,Summit,"Cuyahoga Falls","1300 Bailey Rd",,07/08/2004
Ohio,Summit,Akron,"1142 Welsh St B",,07/08/2004
Ohio,Clinton,Wilmington,"267 Columbus St",,07/10/2004
Ohio,Summit,"Cuyahoga Falls","3370 Caleb St",,07/16/2004
Ohio,Summit,Akron,"2238 East Ave",,07/28/2004
Ohio,Brown,"Mount Orab","118 Pine Ridge Ln",,08/02/2004
Ohio,Licking,Utica,"1902 Homer Rd",,08/03/2004
Ohio,Licking,Pataskala,"12769 Worthington Rd",,08/05/2004
Ohio,Summit,Akron,"1750 East Ave",,08/07/2004
Ohio,Highland,Hillsboro,"6311 Wilkam W Rd",,08/09/2004
Ohio,Summit,Akron,"1882 Marks Dr",,08/11/2004
Ohio,Williams,Edgerton,"2750 Co. Rd. 6",,08/14/2004
Ohio,Summit,Akron,"1273 Wilbeth W Rd B",,08/17/2004
Ohio,Montgomery,Dayton,"254 (a) Findlay S St",,08/20/2004
Ohio,Shelby,Sidney,"12636 Kirkwood Rd",,09/01/2004
Ohio,Summit,Akron,"2305 Waterloo E Rd 18",,09/11/2004
Ohio,Williams,Bryan,"1012 Center St",,09/16/2004
Ohio,Brown,Fayetteville,"4904 Eubanks Rd",,09/27/2004
Ohio,Summit,Akron,"610 Wilbeth W Rd",,09/30/2004
Ohio,Summit,Barberton,"27 20th St",,10/04/2004
Ohio,Fairfield,Bremen,"5285 Marietta Rd",,10/04/2004
Ohio,Ross,Frankfort,"2897 Simmons",,10/08/2004
Ohio,Ross,Bainbridge,"441 Quarry S",,10/10/2004
Ohio,Montgomery,Union,"7031 Scerold Rd",,10/11/2004
Ohio,Crawford,Crestline,"8157 Oldfield Rd",,10/12/2004
Ohio,Summit,Akron,"502 Lessig Ave",,10/12/2004
Ohio,Summit,Akron,"607 Johnston St",,10/13/2004
Ohio,Ashtabula,Windsor,"6371 Ireland Rd",,10/14/2004
Ohio,Summit,Akron,"2599 Roming Rd 14",,10/14/2004
Ohio,Summit,Green,"2446 Providence",,10/16/2004
Ohio,Summit,Barberton,"84 20th Sw St",,10/18/2004
Ohio,Adams,Seaman,"386a Mark Tilger Road",,10/30/2004
Ohio,Adams,Seaman,"386 (b) Mark Tilger Rd",,10/30/2004
Ohio,Summit,Akron,"218 Polonia Ave",,11/01/2004
Ohio,Summit,Akron,"507 Flora Ave",,11/01/2004
Ohio,Summit,Clinton,"8659 Glenridge Nw Ave",,11/02/2004
Ohio,Montgomery,Dayton,"418 Pritz Ave",,11/07/2004
Ohio,Summit,Akron,"677 Corice St",,11/07/2004
Ohio,Knox,Danville,"18825 State Route 41",,11/08/2004
Ohio,Summit,Akron,"4901 Provens Dr",,11/11/2004
Ohio,Summit,Akron,"2672 Chelsea Dr",,11/17/2004
Ohio,Summit,Akron,"1312 Sevilla Ave",,11/23/2004
Ohio,Summit,Akron,"3094 Krebs Dr",,11/24/2004
Ohio,Summit,Akron,"1993 Ninth St",,11/27/2004
Ohio,Ashtabula,"Rock Creek","2769 Windsor Mechanics Ville Rd",,12/03/2004
Ohio,Darke,Greenville,"925 Peters Rd",,12/06/2004
Ohio,Portage,Ravenna,"2268 Tallmadge Rd",,12/15/2004
Ohio,Franklin,Groveport,"788 Breathitt Ave",,12/16/2004
Ohio,"Van Wert","Van Wert","415 Boyd Ave",,12/21/2004
Ohio,"Van Wert","Van Wert","637 Franklin N St 1",,12/21/2004
Ohio,"Van Wert","Van Wert","1122 Leeson Ave",,12/21/2004
Ohio,Ross,Bainbridge,"440 Quarry St",,12/22/2004
Ohio,Erie,Sandusky,"415 Fulton St",,12/29/2004
Ohio,Cuyahoga,Bedford,"33 Monroe W St",,12/31/2004
Ohio,Ashtabula,Dorset,"3960 Marrian Rd",,01/05/2005
Ohio,Summit,Tallmadge,"115 Whitehall Dr 115",,01/10/2005
Ohio,Summit,Akron,"11 Faircourt",,01/20/2005
Ohio,Warren,Morrow,"2724 Shamrock Dr",,01/21/2005
Ohio,Clermont,Williamsburg,"107 Main W St",,01/24/2005
Ohio,Summit,Akron,"1028 Jefferson Ave",,01/24/2005
Ohio,Greene,Fairborn,"241 Madison St",,01/24/2005
Ohio,Shelby,Sidney,"714 West Court Street",,01/26/2005
Ohio,Brown,"Mount Orab","11971 Sterling East",,01/26/2005
Ohio,Wood,Cygnet,"15383 Hammansburg Rd",,01/28/2005
Ohio,Summit,Akron,"193 Hubbard St",,01/31/2005
Ohio,Franklin,Columbus,"1250 Fairwood Avenue",,02/02/2005
Ohio,Warren,Franklin,"922 Park Ave",,02/03/2005
Ohio,Franklin,Columbus,"2744 Great Woods Ln",,02/04/2005
Ohio,Summit,Akron,"1188 Atwood",,02/07/2005
Ohio,Ashland,Perrysville,"32 1/2 Bridge N St",,02/08/2005
Ohio,Summit,Barberton,"60 Ettling Ave",,02/09/2005
Ohio,Summit,Akron,"107 Radnor",,02/09/2005
Ohio,Summit,Akron,"722 Sherman",,02/15/2005
Ohio,Pike,Beaver,"1545 Holbrook Rd",,02/15/2005
Ohio,Summit,Barberton,"693 Charles",,02/16/2005
Ohio,Fairfield,Lancaster,"637 1/2 6th E St",,02/22/2005
Ohio,Portage,Aurora,"977 Lloyd Ave",,02/26/2005
Ohio,Adams,Winchester,"191(a) Winchester Russellville Rd",,03/01/2005
Ohio,Portage,Mantua,"5191 Streeter Rd",,03/04/2005
Ohio,Warren,Franklin,"401 Bridge St",,03/07/2005
Ohio,Summit,Akron,"382 Fuller St",,03/09/2005
Ohio,Warren,Franklin,"140 Deardoff Dr",,03/09/2005
Ohio,Clinton,Blanchester,"108 Pansy Pike",,03/10/2005
Ohio,Portage,Ravenna,"746 Lake E St",,03/10/2005
Ohio,Franklin,Columbus,"4580 Wyandot Rd",,03/11/2005
Ohio,Fulton,Delta,"407 Madison S St",,03/18/2005
Ohio,Lake,Madison,"65 Palm Blvd",,03/22/2005
Ohio,Warren,Blanchester,"8826 Waynes Way",,03/24/2005
Ohio,Summit,Akron,"1168 Weiser Ave",,03/25/2005
Ohio,Summit,Akron,"698 Seiberling St",,03/30/2005
Ohio,Pike,Waverly,"5812 Camp Creek Rd",,03/31/2005
Ohio,Clermont,Batavia,"1638 State Route 28",,04/01/2005
Ohio,Lake,Perry,"3805 Ridge S Rd",,04/01/2005
Ohio,Williams,Edon,"211 (a) Walnut St",,04/01/2005
Ohio,Scioto,Mcdermott,"1991 Mcdermott Rushtown",,04/02/2005
Ohio,Scioto,Lucasville,"445 Davis Camp Rd",,04/03/2005
Ohio,Summit,Tallmadge,"53 Northeast Ave",,04/03/2005
Ohio,Summit,Akron,"859 Edge St",,04/04/2005
Ohio,Madison,"Plain City","12505 Taylor Rd",,04/06/2005
Ohio,Summit,Akron,"846 Waterloo E Rd",,04/06/2005
Ohio,Portage,Kent,"3989 Ranfield Rd",,04/07/2005
Ohio,Summit,Akron,"65 Akers Ct 1",,04/08/2005
Ohio,Warren,Franklin,"61 Montgomery Ave",,04/11/2005
Ohio,Licking,Newark,"116 Smithview Rd",,04/14/2005
Ohio,Coshocton,Warsaw,"8580 County Road 3 Apt D",,04/14/2005
Ohio,Clark,Springfield,"49 Laverne Ln",,04/14/2005
Ohio,Scioto,"West Portsmouth","1617 Jenkins Ln",,04/15/2005
Ohio,Hamilton,Cincinnati,"11474 Gresham Pl",,04/15/2005
Ohio,Clermont,Milford,"5585 Sugar Ca,p Rd",,04/21/2005
Ohio,Butler,Hamilton,"1816 Pankomo Ave",,04/29/2005
Ohio,Ashtabula,Jefferson,"2142 Sr 46 North",,04/30/2005
Ohio,Scioto,Portsmouth,"2018 6th E St",,05/01/2005
Ohio,Scioto,Portsmouth,"2004 Jackson E Ave",,05/01/2005
Ohio,Hamilton,Sharonville,"308 Teneriton Dr",,05/03/2005
Ohio,Clinton,Midland,"122 State Route 28",,05/07/2005
Ohio,Summit,Akron,"635 Koerber Ave",,05/11/2005
Ohio,Guernsey,"New Concord","2235 Indian Camp Run Road",,05/16/2005
Ohio,Stark,Canton,"162 Saratoga Sw St",,05/17/2005
Ohio,Summit,Akron,"1247 Main N St",,05/23/2005
Ohio,Scioto,Portsmouth,"1018 Forrest Rd",,05/27/2005
Ohio,Portage,Ravenna,"8566 Weaver Rd",,05/28/2005
Ohio,Montgomery,Miamisburg,"1027 East Central Avenue",,05/30/2005
Ohio,Lake,Concord,"9880 Old Johnnycake Rd 2",,06/05/2005
Ohio,Portage,Ravenna,"6921 Puk Rd",,06/18/2005
Ohio,Medina,Medina,"447 Springbrook Dr 104",,06/23/2005
Ohio,Summit,Akron,"2390 Igleheart Rd",,06/24/2005
Ohio,Washington,Marietta,"618 8th St",,06/24/2005
Ohio,Cuyahoga,"Seven Hills","5700 Chatham Ave",,06/26/2005
Ohio,Hamilton,Harrison,"9140 Lawrenceburg Rd",,07/01/2005
Ohio,Portage,Ravenna,"6605 State Route 5 72",,07/01/2005
Ohio,Summit,Akron,"1174 Manning Ave",,07/02/2005
Ohio,Greene,Fairborn,"1923 Zimmerman 20",,07/03/2005
Ohio,Portage,Ravenna,"2255 Iraquois",,07/12/2005
Ohio,Summit,Everett,"234 Geoppert Rd",,07/13/2005
Ohio,Preble,Eaton,"114 Chicago W St",,07/21/2005
Ohio,Stark,Louisville,"203 Depot N St",,07/29/2005
Ohio,Clermont,Milford,"501 Milford Commons",,08/01/2005
Ohio,Summit,Akron,"3047.5 Massillon Rd",,08/03/2005
Ohio,Summit,Akron,"964 Stanwood Ave",,08/06/2005
Ohio,Butler,"Seven Mile","205 Walnut St B",,08/10/2005
Ohio,Clermont,Milford,"5900 Mcpicken Dr",,08/15/2005
Ohio,Ashtabula,Jefferson,"1341 State Route 307 E",,08/17/2005
Ohio,Hamilton,Harrison,"7066 Lawrenceburg Rd",,08/20/2005
Ohio,Summit,Akron,"791 Evans Ave",,08/24/2005
Ohio,Defiance,Defiance,"610 Grover Ave",,08/31/2005
Ohio,Highland,Greenfield,"925 Spring St",,09/05/2005
Ohio,Warren,"Blue Ball","855 Harvard Dr",,09/05/2005
Ohio,Stark,"North Lawrence","14844 Northwest Churchfield Street",,09/06/2005
Ohio,Summit,Akron,"3175 Mogadore Rd",,09/12/2005
Ohio,Gallia,Gallipolis,"2650 Bleden Rd",,09/19/2005
Ohio,Highland,Hillsboro,"10642 Horse Shoe Rd",,09/19/2005
Ohio,Highland,Lynchburg,"10642 Horseshoe Rd",,09/19/2005
Ohio,Stark,Canton,"1109 Oak Nw Ave",,09/24/2005
Ohio,Scioto,Portsmouth,"7858 Pond Creek Rd",,09/30/2005
Ohio,Wayne,Doylestown,"325 High St B",,10/01/2005
Ohio,Hamilton,Harrison,"8789 Lawrenceburg Rd",,10/07/2005
Ohio,Summit,Akron,"1106 Diana Ave",,10/19/2005
Ohio,Warren,"South Lebanon","205 Mary Ellen St",,10/22/2005
Ohio,Clinton,Blanchester,"3569 Woodville Rd",,10/27/2005
Ohio,Brown,Fayetteville,"2995 Us 50",,10/29/2005
Ohio,Franklin,Columbus,"382 Kanawaha Ave",,10/30/2005
Ohio,Summit,Akron,"2304 8th Sw St",,11/04/2005
Ohio,Butler,Middletown,"2363 South Sutphin Street",,11/06/2005
Ohio,Summit,Akron,"952 Saxon Ave",,11/06/2005
Ohio,Lake,Madison,"13 Eddie Road",,11/10/2005
Ohio,Lake,Madison,"243 West Main Street",,11/10/2005
Ohio,Preble,Eaton,"411 Village 1",,11/20/2005
Ohio,Highland,Lynchburg,"10545 Horse Shoe",,11/23/2005
Ohio,Clermont,Loveland,"6731 Oakland Rd",,11/23/2005
Ohio,Ross,Chillicothe,"2586 Valley Rd",,12/01/2005
Ohio,Summit,Akron,"22 Bachtel Ave",,12/07/2005
Ohio,Summit,Akron,"1275 Kenmore Blvd",,12/12/2005
Ohio,Summit,Akron,"831 Bairdst",,12/20/2005
Ohio,Summit,Akron,"2408 7th Sw St",,12/22/2005
Ohio,Summit,Barberton,"284 Northwest 14th Street",,01/02/2006
Ohio,Summit,Akron,"1270 Kentucky Ave",,01/06/2006
Ohio,Hocking,Laurelville,"17649 Hartssough Rd",,01/06/2006
Ohio,"Van Wert","Van Wert","1155 Bell Ave M",,01/07/2006
Ohio,Licking,Newark,"15955 Pinewood Trail",,01/07/2006
Ohio,Scioto,Minford,"14384 State Route 139",,01/10/2006
Ohio,Summit,Akron,"1949 Englewood Dr",,01/12/2006
Ohio,Hamilton,"Forest Park","11474 Gresham Ave",,01/17/2006
Ohio,Portage,Kent,"968 Silver Meadows Boulevard",,01/17/2006
Ohio,Summit,Akron,"591 Greissing Ter",,01/20/2006
Ohio,Summit,Akron,"2284 Pressler Road",,01/21/2006
Ohio,Licking,Newark,"3411 Albright Rd",,01/23/2006
Ohio,Scioto,Lucasville,"753 Crow Hollow Road",,01/23/2006
