state,county,city,address1,address2,date
Oklahoma,Tulsa,Tulsa,"1132 North Wheeling Avenue",,
Oklahoma,Tulsa,Tulsa,"801 North Mingo Road #453",,
Oklahoma,Tulsa,Tulsa,"1012  Canton Avenida",,
Oklahoma,Tulsa,Tulsa,"2536 East 6th Street",,
Oklahoma,Tulsa,Tulsa,"2154 East Newton Street",,
Oklahoma,Tulsa,Tulsa,"1602 North Delaware Avenue",,
Oklahoma,Tulsa,Tulsa,"1069 North Irvington Avenue",,
Oklahoma,Tulsa,Tulsa,"1223 North Columbia Avenue",,
Oklahoma,Tulsa,Tulsa,"18543 East Admiral Boulevard",,
Oklahoma,Washita,"Burns Flat","410 East Edens Street 12",,01/03/2000
Oklahoma,Osage,Barnsdall,"1400 East 36th Street",,01/03/2000
Oklahoma,Oklahoma,"Oklahoma City","8700 17th Ne St",,01/03/2000
Oklahoma,Tulsa,Tulsa,"101 East 1st Street",,01/04/2000
Oklahoma,Tulsa,Tulsa,"18424 North Lewis",,01/04/2000
Oklahoma,Tulsa,Tulsa,"803 East 4th Street",,01/05/2000
Oklahoma,Muskogee,Muskogee,"1527 10 E Hwy",,01/09/2000
Oklahoma,Creek,"Sand Springs","190 Wekiwa W Rd",,01/09/2000
Oklahoma,Oklahoma,"Midwest City","10101 Blanche  Ln",,01/12/2000
Oklahoma,Oklahoma,"Oklahoma City","9800 21st Ne St 53",,01/13/2000
Oklahoma,Osage,Fairfax,"4775 224 N Rd",,01/14/2000
Oklahoma,Grady,Tuttle,"1210 Idaho W Ave",,01/15/2000
Oklahoma,Tulsa,Tulsa,"8112 Harvard N Ave",,01/16/2000
Oklahoma,Creek,"Sand Springs","11506 56 W St",,01/17/2000
Oklahoma,Creek,"Sand Springs","1004 Forrest E Dr",,01/19/2000
Oklahoma,Ottawa,Wyandotte,"2013 Southwest P",,01/19/2000
Oklahoma,Oklahoma,"Oklahoma City","2504 Murray  Dr",,01/20/2000
Oklahoma,Tulsa,Tulsa,"304 2nd N",,01/21/2000
Oklahoma,Tulsa,Tulsa,"309 South Cincinnati Avenue",,01/23/2000
Oklahoma,Comanche,Lawton,"1419 Bishop Sw St",,01/23/2000
Oklahoma,Washington,Dewey,"1701 Southwest Middlepath",,01/26/2000
Oklahoma,Tulsa,Tulsa,"310 West 90th Place",,01/27/2000
Oklahoma,Tulsa,Tulsa,"8500 North Lewis Avenue",,01/28/2000
Oklahoma,Tulsa,"Broken Arrow","117 4th E St",,01/31/2000
Oklahoma,Wagoner,Coweta,"6080 263rd East S Ave",,02/02/2000
Oklahoma,Tulsa,Tulsa,"1803 West 57th Place",,02/02/2000
Oklahoma,Muskogee,Muskogee,"494 2 Mile N Rd",,02/02/2000
Oklahoma,Tulsa,Tulsa,"1832 North Columbia Place",,02/03/2000
Oklahoma,Cleveland,Norman,"906 Quannah Parker Trail",,02/03/2000
Oklahoma,Oklahoma,"Oklahoma City","710 Poplar N Ln",,02/04/2000
Oklahoma,Pottawatomie,Mcloud,"1301 Bernard  St",,02/04/2000
Oklahoma,Tulsa,Tulsa,"2156 29 North E St",,02/04/2000
Oklahoma,Tulsa,"Broken Arrow","7600 Eagle  Dr 204",,02/04/2000
Oklahoma,Tulsa,"Broken Arrow","15723 167th E St",,02/04/2000
Oklahoma,Washita,"Burns Flat","9th W St",,02/05/2000
Oklahoma,Oklahoma,"Oklahoma City","6629 Zebra  St",,02/08/2000
Oklahoma,Tulsa,Tulsa,"8231 77 East S Ave 1135",,02/08/2000
Oklahoma,Tulsa,Tulsa,"3106 26 E St",,02/08/2000
Oklahoma,Pottawatomie,Earlsboro,"1100 Mississippi S",,02/09/2000
Oklahoma,Payne,Stillwater,"111 South Rose Avenue",,02/12/2000
Oklahoma,Oklahoma,"Oklahoma City","1513 Kudu  St",,02/12/2000
Oklahoma,Tulsa,Tulsa,"609 Peoria S Ave",,02/17/2000
Oklahoma,Creek,Mounds,"13145 Edwards  Rd",,02/18/2000
Oklahoma,Seminole,Seminole,"3045 Allen Point   20",,02/20/2000
Oklahoma,Oklahoma,"Oklahoma City","1801 St Luke N",,02/22/2000
Oklahoma,Osage,Barnsdall,"217 West 9th Street",,02/22/2000
Oklahoma,Tulsa,Tulsa,"6315 22 W St",,02/22/2000
Oklahoma,Tulsa,Tulsa,"6500 8 W St",,02/23/2000
Oklahoma,Tulsa,Tulsa,"4109 34th West S",,02/23/2000
Oklahoma,Cleveland,Moore,"2128 Nail Parkway",,02/24/2000
Oklahoma,Tulsa,Tulsa,"9747 12 E St",,02/26/2000
Oklahoma,Oklahoma,"Del City","515 Southeast Creek Avenue",,02/27/2000
Oklahoma,Creek,Sapulpa,"1015  Jackson N E",,02/28/2000
Oklahoma,Payne,Stillwater,"5606 104th E St",,02/29/2000
Oklahoma,Tulsa,"Broken Arrow","17272 South 91st East Avenue",,03/01/2000
Oklahoma,Cleveland,Norman,"112 Hayes W",,03/01/2000
Oklahoma,Payne,Stillwater,"7514 104th E Ave",,03/06/2000
Oklahoma,Oklahoma,"Oklahoma City","104 Rose E Dr",,03/06/2000
Oklahoma,Oklahoma,"Oklahoma City","110 Lisa  Ln",,03/07/2000
Oklahoma,Tulsa,"Broken Arrow","16919 South Memorial Drive",,03/11/2000
Oklahoma,Kay,Tonkawa,"1314 6th S St",,03/12/2000
Oklahoma,Oklahoma,"Oklahoma City","2700 Minster Nw",,03/13/2000
Oklahoma,Tulsa,"Sand Springs","401 Dogwood S St B",,04/05/2000
Oklahoma,Tulsa,"Sand Springs","6019 South 62nd West Avenue",,04/05/2000
Oklahoma,Tulsa,Tulsa,"8923 19 E St",,04/26/2000
Oklahoma,Oklahoma,"Oklahoma City","1400 Lafayette  Dr",,06/17/2000
Oklahoma,Tulsa,Tulsa,"848 92 N Ave",,06/23/2000
Oklahoma,Sequoyah,Vian,"105 South Pine Street",,06/28/2000
Oklahoma,Tulsa,Mannford,"3939 161st E St",,06/28/2000
Oklahoma,Tulsa,Tulsa,"9031 Delaware S  703",,06/28/2000
Oklahoma,Creek,Sapulpa,"510 1st N St",,06/30/2000
Oklahoma,Tulsa,"Broken Arrow","7500 South East 151st Street 58",,06/30/2000
Oklahoma,Tulsa,Tulsa,"12014 22 E Pl",,07/04/2000
Oklahoma,Oklahoma,"Oklahoma City","4322 Blackwelder N",,07/06/2000
Oklahoma,Wagoner,Okay,"28609 138th E St",,07/06/2000
Oklahoma,Oklahoma,"Oklahoma City","3606 Oklahoma S",,07/08/2000
Oklahoma,Oklahoma,"Midwest City","225 East Edwards Street",,07/09/2000
Oklahoma,Grady,Ninnekah,"615 9th N St",,07/12/2000
Oklahoma,Oklahoma,"Oklahoma City","1115 Youngs N Blvd",,07/12/2000
Oklahoma,Oklahoma,"Oklahoma City","421 26th Se",,07/18/2000
Oklahoma,Logan,Guthrie,"707 Ash",,07/19/2000
Oklahoma,Oklahoma,"Oklahoma City","2804 Durango  Cir",,07/21/2000
Oklahoma,Mcclain,Blanchard,"210 Whitaker N St",,07/22/2000
Oklahoma,Okmulgee,Beggs,"5404 Macarthur N Blvd",,07/28/2000
Oklahoma,Wagoner,"Broken Arrow","139 North Quebec Avenue",,08/02/2000
Oklahoma,Oklahoma,"Del City","6214 33rd Nw St C",,08/04/2000
Oklahoma,Wagoner,"Broken Arrow","4652 South 28th W. Avenue",,08/06/2000
Oklahoma,Oklahoma,"Oklahoma City","7817 Young S",,08/07/2000
Oklahoma,Cleveland,Norman,"313 Indian Hills W Rd",,08/07/2000
Oklahoma,Oklahoma,"Oklahoma City","4401 Nebraska S",,08/07/2000
Oklahoma,Oklahoma,"Midwest City","1237 Pebbly N Rd",,08/09/2000
Oklahoma,Oklahoma,"Oklahoma City","2130 59th Se St 122",,08/09/2000
Oklahoma,Oklahoma,"Oklahoma City","4212 16th Nw St",,08/10/2000
Oklahoma,Oklahoma,"Oklahoma City","2424 39th Sw St",,08/15/2000
Oklahoma,Canadian,Yukon,"12026 16th Sw",,08/18/2000
Oklahoma,Oklahoma,"Oklahoma City","8091 23 Nw St",,08/19/2000
Oklahoma,Pushmataha,Clayton,"221 9th E St A",,08/24/2000
Oklahoma,Tulsa,"Sand Springs","7102 129th N Ave",,08/24/2000
Oklahoma,Oklahoma,"Oklahoma City","2801 42nd Sw St 11",,08/28/2000
Oklahoma,Oklahoma,"Oklahoma City","2620 Santa Fe S",,08/29/2000
Oklahoma,Okmulgee,Okmulgee,"10165 Chestnut  St",,09/01/2000
Oklahoma,Oklahoma,"Oklahoma City","4628 Brookline N",,09/06/2000
Oklahoma,Oklahoma,"Oklahoma City","1157 89th Nw",,09/07/2000
Oklahoma,Comanche,Lawton,"911 11th Sw",,09/09/2000
Oklahoma,Caddo,Hydro,"433 Hunt  St",,09/11/2000
Oklahoma,Oklahoma,"Oklahoma City","3917 Liberty  Dr",,09/14/2000
Oklahoma,Johnston,Tishomingo,"224 East 1st Street",,09/15/2000
Oklahoma,Love,Marietta,"2725 Triplett E Rd",,09/22/2000
Oklahoma,Oklahoma,"Warr Acres","2805 Southeast 57th Street",,09/25/2000
Oklahoma,Muskogee,Muskogee,"1430 Poplar E Sr",,09/26/2000
Oklahoma,Oklahoma,"Midwest City","19 Liberty Lane",,09/26/2000
Oklahoma,Tulsa,"Sand Springs","8623 77th East N Ave",,09/27/2000
Oklahoma,Canadian,"El Reno","201 Hoff N St",,09/28/2000
Oklahoma,Wagoner,"Broken Arrow","2235 South Maybelle Avenue",,09/29/2000
Oklahoma,Oklahoma,"Oklahoma City","5500 Barnes S",,10/01/2000
Oklahoma,Creek,Sapulpa,"111 Poplar N  D",,10/04/2000
Oklahoma,Oklahoma,"Oklahoma City","1317 31st Sw St",,10/05/2000
Oklahoma,Creek,Kellyville,"17 1/2 Buffalo W St",,10/06/2000
Oklahoma,Tulsa,Tulsa,"4431 31 E  102",,10/12/2000
Oklahoma,Oklahoma,"Oklahoma City","600 79th Se St",,10/12/2000
Oklahoma,Grady,Nicut,"3002 4 S St",,10/13/2000
Oklahoma,Oklahoma,Luther,"601 Vista Lane S  80",,10/14/2000
Oklahoma,Stephens,Marlow,"1201 9th S St",,10/18/2000
Oklahoma,Oklahoma,"Oklahoma City","2308 12th Se St",,10/18/2000
Oklahoma,Oklahoma,"Oklahoma City","12209 28th Sw",,10/18/2000
Oklahoma,Leflore,Panama,"17117  Shelley Carlile Drive",,10/21/2000
Oklahoma,Johnston,"Mill Creek","815 Zinn S",,10/24/2000
Oklahoma,Payne,Stillwater,"3405 South Brush Creek",,10/25/2000
Oklahoma,Tulsa,"Sand Springs","11509 112 E Pl",,10/26/2000
Oklahoma,Tulsa,Tulsa,"9417 38 E St",,10/30/2000
Oklahoma,Comanche,Lawton,"2402 Cornell S",,11/02/2000
Oklahoma,Oklahoma,"Oklahoma City","2709 1/2 35th Sw",,11/02/2000
Oklahoma,Creek,Sapulpa,"225 Linden N St",,11/03/2000
Oklahoma,Muskogee,Muskogee,"715 Shady  St",,11/07/2000
Oklahoma,Oklahoma,"Oklahoma City","706 26th Nw",,11/08/2000
Oklahoma,Oklahoma,"Oklahoma City","10900 Powell  Rd",,11/10/2000
Oklahoma,Tulsa,"Broken Arrow","13407 South 79th E Avenue",,11/11/2000
Oklahoma,Tulsa,Tulsa,"6384 11th W Pl",,11/11/2000
Oklahoma,Tulsa,Tulsa,"2900 Toledo N",,11/12/2000
Oklahoma,Oklahoma,"Oklahoma City","1735 11th Nw",,11/15/2000
Oklahoma,Johnston,Tishomingo,"904 West C Street",,11/15/2000
Oklahoma,Haskell,Mccurtain,"603 Main S",,11/15/2000
Oklahoma,Tulsa,"Sand Springs","11509 112th E Pl",,11/15/2000
Oklahoma,Oklahoma,"Oklahoma City","1320 38th Se",,11/16/2000
Oklahoma,Grant,Nash,"708 Kiowa W",,11/17/2000
Oklahoma,Oklahoma,"Oklahoma City","3949 23rd Nw St",,11/17/2000
