state,county,city,address1,address2,date
Oregon,Linn,Albany,"1150 Southeast Salem Avenue",,01/05/2004
Oregon,Linn,Albany,"325 Southeast Main Street",,01/06/2004
Oregon,Umatilla,Milton-freewater,"914 S Mill St",,01/08/2004
Oregon,Marion,Keizer,"5198 8th Ne Ave",,01/09/2004
Oregon,Linn,Albany,"1197 Northeast Century Drive",,01/10/2004
Oregon,Multnomah,Gresham,"18308 Ne Wasco",,01/12/2004
Oregon,Josephine,"Cave Junction","4774 Waldo Road",,01/12/2004
Oregon,Jackson,"White City","3777 Falcon Street",,01/14/2004
Oregon,Baker,"Baker City","1351 Indiana Avenue",,01/15/2004
Oregon,Multnomah,Portland,"9727 Ne Martin Luther King Blvd",,01/18/2004
Oregon,Josephine,"Grants Pass","2929 Cheney Creek Road",,01/19/2004
Oregon,Multnomah,Portland,"1525 N Portland Blvd",,01/19/2004
Oregon,Washington,Hillsboro,"13115 Sw Evergreen St",,01/20/2004
Oregon,Umatilla,Umatilla,"1370 6th St 107",,01/20/2004
Oregon,Yamhill,Willamina,"420 Fifth St",,01/22/2004
Oregon,Lane,Eugene,"4085 E 18th Ave",,01/27/2004
Oregon,Multnomah,Portland,"8428 Ne Schuyler",,01/28/2004
Oregon,Multnomah,Gresham,"1583 Ne Hacienda",,01/28/2004
Oregon,Clackamas,Damascus,"15550 Se Barlow Ct",,01/28/2004
Oregon,Multnomah,Gresham,"572 Se Kay Pl",,01/28/2004
Oregon,Multnomah,Portland,"5224 Se Malden Dr",,01/28/2004
Oregon,Multnomah,Portland,"10131 Lombrad St",,01/29/2004
Oregon,Umatilla,Hermiston,"2050 Northeast 18th Street",,01/30/2004
Oregon,Multnomah,Portland,"5922 Se Haig",,02/05/2004
Oregon,Multnomah,Portland,"11929 Ne Airport Way",,02/07/2004
Oregon,Linn,Albany,"36038 Eicher Rd",,02/10/2004
Oregon,Linn,"Sweet Home","898 43rd Avenue",,02/11/2004
Oregon,Multnomah,Gresham,"17032 Se Mckinley",,02/12/2004
Oregon,Josephine,"Grants Pass","299 Se Reddy",,02/12/2004
Oregon,Lane,Eugene,"258 W 18th Ave",,02/13/2004
Oregon,Clackamas,Boring,"19770 Southeast Sunnyside Road",,02/16/2004
Oregon,Clackamas,Colton,"28387 South Cox Road",,02/16/2004
Oregon,Clackamas,"Oregon City","21560 South 213 Highway",,02/16/2004
Oregon,Multnomah,Portland,"3040 Se 82nd",,02/19/2004
Oregon,Multnomah,Portland,"280 Se 28th Ave C",,02/19/2004
Oregon,Washington,Beaverton,"4770 Southwest 165th Avenue",,02/20/2004
Oregon,Multnomah,Portland,"9823 North Exeter",,02/24/2004
Oregon,Multnomah,Portland,"4319 Se 103rd Ave",,02/25/2004
Oregon,Multnomah,Portland,"3910 Se 122nd",,02/25/2004
Oregon,Multnomah,Portland,"5628 Se Holgate Blvd 2",,02/26/2004
Oregon,Multnomah,Portland,"8514 Se 63 Rd",,02/26/2004
Oregon,Multnomah,Portland,"4008 Se Division St",,02/26/2004
Oregon,Umatilla,Umatilla,"81840 N 395 Hwy",,02/29/2004
Oregon,Union,"La Grande","1501 Y Avenue",,03/02/2004
Oregon,Marion,Salem,"4695 Southeast Buffalo Court",,03/02/2004
Oregon,Umatilla,"Milton Freewater","51744 332 Highway",,03/04/2004
Oregon,Linn,Albany,"3007 Alexander Lane",,03/05/2004
Oregon,Umatilla,Hermiston,"648 E Gladys Ave",,03/10/2004
Oregon,Multnomah,Portland,"4726 Ne 109th Ave 10",,03/10/2004
Oregon,Linn,Lebanon,"1607 9th St D",,03/12/2004
