state,county,city,address1,address2,date
Pennsylvania,Forest,"East Hickory","62 Sr 607",,01/02/2004
Pennsylvania,Bradford,Stevensville,"Sr706 Miller Creek E Rd",,01/22/2004
Pennsylvania,Crawford,Conneautville,"18329 Rt 18",,01/27/2004
Pennsylvania,Bradford,Towanda,"925 Main S St",,02/03/2004
Pennsylvania,Blair,Altoona,"408 Hudson E Ave",,02/05/2004
Pennsylvania,Westmoreland,Youngwood,"10 Pooles Trailer Ct Lot 243",,02/05/2004
Pennsylvania,Bucks,Jamison,"2235 York Rd",,02/06/2004
Pennsylvania,Columbia,Berwick,"1200 Susavehanna Ave",,02/12/2004
Pennsylvania,Crawford,Titusville,"820 Rockwood Dr 13",,02/15/2004
Pennsylvania,Crawford,Spartansburg,"19071 State Hwy 89",,02/18/2004
Pennsylvania,Crawford,Springboro,"186 Beaver St",,03/20/2004
Pennsylvania,Crawford,Titusville,"322 Linden W St",,03/24/2004
Pennsylvania,Bucks,Bristol,"334 Jefferson Ave",,03/30/2004
Pennsylvania,Montgomery,Kulpsville,"1735 Sumneytown Pike",,04/08/2004
Pennsylvania,Erie,Girard,"1014 Lawrence Ct",,04/30/2004
Pennsylvania,Philadelphia,Philadelphia,"1331 Hollywood S St",,05/13/2004
Pennsylvania,Philadelphia,Philadelphia,"1503 Bailey S St",,05/19/2004
Pennsylvania,Crawford,Titusville,"117 N. Washington St 3",,06/04/2004
Pennsylvania,Venango,Titusville,"1038 Stone Springhouse Rd",,06/08/2004
Pennsylvania,Crawford,Titusville,"510 Mailler St",,06/14/2004
Pennsylvania,Washington,Washington,"187 1/2 Maple Ave",,06/16/2004
Pennsylvania,Columbia,Berwick,"414 Evansville Rd",,06/18/2004
Pennsylvania,Lackawanna,"Old Forge","134 Corcoran St",,06/21/2004
Pennsylvania,Lackawanna,Dunmore,"224 Swartz St",,06/22/2004
Pennsylvania,Allegheny,"Forest Hills","250 Avenue A",,08/24/2004
