state,county,city,address1,address2,date
"South Carolina",Lexington,Irmo,"237  Bishopgate Road",,
"South Carolina",Berkeley,Ladson,"747 Treeland Drive Rm313",,01/21/2004
"South Carolina",Laurens,"Gray Court","Tractor Dr",,01/23/2004
"South Carolina",Greenville,Greenville,"109 Bent Bridge Rd",,01/30/2004
"South Carolina",Laurens,Laurens,"1023 Bellview Church Rd",,01/31/2004
"South Carolina",Greenville,Mauldin,"317 Elm St",,02/01/2004
"South Carolina",Charleston,"North Charleston","7665 Outlook Drive",,02/05/2004
"South Carolina",Dorchester,Summerville,"135 Roberts Rd",,02/05/2004
"South Carolina",Charleston,"Mount Pleasant","1516 Nantahala Blvd",,02/13/2004
"South Carolina",Greenville,Greenville,"521 Bennetts Br S",,02/19/2004
"South Carolina",Laurens,"Gray Court","523 Mountain Creek Road",,02/20/2004
"South Carolina",Charleston,"North Charleston","7371 Mazyck Road 111",,02/23/2004
"South Carolina",Greenville,Greenville,"431 (a) Whitt Rd",,03/04/2004
"South Carolina",Anderson,Anderson,"3402 New Pond Rd",,03/05/2004
"South Carolina",Greenville,"Travelers Rest","320 West Dr",,03/11/2004
"South Carolina",Darlington,Darlington,"213 Lamar Highway",,03/17/2004
"South Carolina",Greenville,"Travelers Rest","993 Tubbs Mtn",,03/20/2004
"South Carolina",Greenville,Greenville,"311 Tall Pines",,03/21/2004
"South Carolina",Greenville,Conestee,"8 4th Ave",,03/25/2004
"South Carolina",Charleston,"North Charleston","2311 Ashley Phosphate Road",,03/25/2004
"South Carolina",Greenville,Conestee,"22 6th St",,03/25/2004
"South Carolina",Greenville,Simpsonville,"6445 North Industrial Dr",,04/05/2004
"South Carolina",Greenville,"Travelers Rest","12 Magnolia Dr Lot 7",,04/10/2004
"South Carolina",Greenville,,"17 Merrill Ln",,04/13/2004
"South Carolina",Chesterfield,Mcbee,"75 Helms Ln",,04/15/2004
"South Carolina",Laurens,Mountville,"2606 Beavernam Church Rd",,04/17/2004
"South Carolina",Berkeley,Summerville,"109 Coveney Cir",,04/26/2004
"South Carolina",Anderson,Pelzer,"21 Courtney St",,04/27/2004
"South Carolina",Greenville,Piedmont,"104 Kentwood Ln",,04/28/2004
"South Carolina",Greenville,Piedmont,"106 Kentwood Ln",,04/28/2004
"South Carolina",Darlington,Hartsville,"1216 East Bobo Newsom Highway",,05/08/2004
"South Carolina",Charleston,"Adams Run","7991 Hwy 162 Hwy",,05/09/2004
"South Carolina",Anderson,Belton,"108 Willingham Rd",,05/13/2004
"South Carolina",Greenville,Cleveland,"15 Denford Cove",,05/13/2004
"South Carolina",Anderson,"Honea Path","343 Mountain Creek Rd",,05/15/2004
"South Carolina",Dorchester,Summerville,"104 Fannie Dr",,05/19/2004
"South Carolina",Dorchester,"Saint George","2944 Wire Rd",,05/20/2004
"South Carolina",Spartanburg,"Boiling Springs","18 Broken Arrow Ct",,05/26/2004
"South Carolina",Charleston,Charleston,"2058 Savannah Hwy",,05/28/2004
"South Carolina",Spartanburg,Duncan,"553 Mega Dr",,06/07/2004
"South Carolina",Dorchester,"North Charleston","5255 Hartford Circle",,06/09/2004
"South Carolina",Anderson,Belton,"414 Holiday Dam Rd",,06/10/2004
"South Carolina",Dorchester,Summerville,"313 Grapevine Road",,06/19/2004
"South Carolina",Anderson,Anderson,"316 Robinson Rd",,06/26/2004
"South Carolina",Anderson,Belton,"125 Camelot Dr",,06/26/2004
"South Carolina",Aiken,Monetta,"155 Peach Twigg Rd",,07/02/2004
"South Carolina",Greenville,Greenville,"4 Luke Ln Lot 7",,07/09/2004
"South Carolina",Greenville,Taylors,"520 Milford Church Rd",,07/21/2004
"South Carolina",Oconee,Westminster,"125 Cobb Hollow Ln",,07/24/2004
"South Carolina",Greenville,Greenville,"202 Sunset Dr",,07/28/2004
"South Carolina",Florence,Florence,"1480 Old Marion Hwy",,08/13/2004
"South Carolina",Greenwood,Greenwood,"1719 25 By Pass Ne",,08/13/2004
"South Carolina",Anderson,Anderson,"1911 (b) 29 N Hwy 12",,08/19/2004
"South Carolina",Pickens,Easley,"247 Courtney Dr",,08/23/2004
"South Carolina",Anderson,Pelzer,"117 Pine Cir",,08/23/2004
"South Carolina",Spartanburg,"Boiling Springs","162 Hearthstone Ln",,08/26/2004
"South Carolina",Spartanburg,Inman,"189 Wynnette Way",,09/05/2004
"South Carolina",Greenville,Greenville,"6 Matilda Ct",,09/09/2004
"South Carolina",Chesterfield,Chesterfield,"310 Wilbert Donahue Rd",,09/15/2004
"South Carolina",Anderson,Piedmont,"428 Pine Street",,09/16/2004
"South Carolina",Spartanburg,Spartanburg,"150 Sunand Sand Dr",,09/18/2004
"South Carolina",Spartanburg,Pauline,"110 Quinn Rd",,09/27/2004
"South Carolina",Anderson,Anderson,"103 Broad St A",,10/01/2004
"South Carolina",Aiken,Aiken,"354 Dragstrip Road",,10/14/2004
"South Carolina",Spartanburg,Spartanburg,"4930 College Dr 235",,10/16/2004
"South Carolina",Spartanburg,Chesnee,"8790 Parris Bridge Rd",,10/20/2004
"South Carolina",Richland,Hopkins,"109 Rocky Road",,10/21/2004
"South Carolina",Oconee,"Fair Play","371 Tammy Ln",,10/21/2004
"South Carolina",Pickens,Easley,"257 Jenny Ln",,10/25/2004
"South Carolina",Oconee,Seneca,"13011 Mohawk Path",,10/28/2004
"South Carolina",Newberry,Whitmire,"704 1/2 Broome Street",,10/31/2004
"South Carolina",Spartanburg,Cowpens,"695 Coopertown Rd",,10/31/2004
"South Carolina",Charleston,"Johns Island","6045 Chisholm Road",,11/03/2004
"South Carolina",Spartanburg,Mayo,"247 Iron Bridge Rd",,11/17/2004
"South Carolina",Lexington,Swansea,"104 Clays Way",,11/28/2004
"South Carolina",Lexington,Swansea,"116 Clays Way",,11/28/2004
"South Carolina",Lexington,Swansea,"121 Bells Drive",,12/04/2004
"South Carolina",Spartanburg,Spartanburg,"2671 Cannons Campground Rd",,12/14/2004
"South Carolina",Anderson,Iva,"2108 Elberton Hwy",,12/15/2004
"South Carolina",Lexington,Gaston,"197 Suzanne Court",,12/16/2004
"South Carolina",Anderson,Anderson,"200 Miracle Mile Dr 8e",,12/29/2004
"South Carolina",Anderson,Anderson,"310 Mcalister Dr",,01/04/2005
"South Carolina",Lexington,Pelion,"329 George Brown",,01/05/2005
"South Carolina",Lexington,"West Columbia","2952 Oswalt Drive",,01/07/2005
"South Carolina",Lexington,Lexington,"122a Yogi Lane",,01/11/2005
"South Carolina",Greenville,Taylors,"740 Gum Springs Rd",,01/11/2005
"South Carolina",Aiken,"North Augusta","905a Fairway Avenue",,01/12/2005
"South Carolina",Aiken,"North Augusta","905b Fairway Avenue",,01/13/2005
"South Carolina",Orangeburg,Santee,"2916 Old State Road",,01/13/2005
"South Carolina",Aiken,"North Augusta","905c Fairway Avenue",,01/13/2005
"South Carolina",Greenville,Greenville,"327 Furman Hall Rd",,01/17/2005
"South Carolina",Greenville,Gowansville,"104 Campbell Covered Bridge Rd",,01/18/2005
"South Carolina",Cherokee,Cowpens,"198 Starr Circle",,01/20/2005
"South Carolina",Greenville,"Travelers Rest","784 Crammell Rd",,01/23/2005
"South Carolina",Anderson,Pendleton,"213 Wellington Rd",,01/24/2005
"South Carolina",Horry,"North Myrtle Beach","2220 Ocean S Blvd",,01/28/2005
"South Carolina",Greenville,Piedmont,"660 Old Grove Rd",,02/01/2005
"South Carolina",Lexington,Gaston,"4387 Fish Hatchery Road",,02/04/2005
"South Carolina",Greenville,"Fountain Inn","177 Shady Oak Rd",,02/05/2005
"South Carolina",Laurens,"Gray Court","129 Equinox Dr",,02/07/2005
"South Carolina",Cherokee,Gaffney,"146 Beaver Creek Rd",,02/09/2005
"South Carolina",Berkeley,Summerville,"1761 State Rd",,02/17/2005
"South Carolina",Lexington,Gaston,"238 Magnice Avenue",,02/19/2005
"South Carolina",Lexington,Pelion,"383 Downet Drive",,02/26/2005
"South Carolina",Lexington,Gaston,"157 Suzanne Court",,02/27/2005
"South Carolina",Anderson,Pelzer,"16 Burts St",,03/01/2005
"South Carolina",Lexington,Pelion,"264 Otis Rd",,03/02/2005
"South Carolina",Greenville,Greenville,"525 Hunts Bridge Rd 1",,03/02/2005
"South Carolina",Greenville,Greenville,"7 Glass St",,03/02/2005
"South Carolina",Charleston,"North Charleston","7282 Mazyck Road",,03/03/2005
"South Carolina",Greenville,Greer,"1108 Lee Vaughn Rd",,03/04/2005
"South Carolina",Florence,Florence,"2703 St Beulah Rd",,03/10/2005
"South Carolina",Lexington,Lexington,"4901 Sunset Boulevard",,03/11/2005
"South Carolina",Lexington,Pelion,"168 Catherine Drive",,03/11/2005
"South Carolina",Kershaw,Elgin,"196 Sessions Road",,03/18/2005
"South Carolina",Cherokee,Gaffney,"208 Overbrook Dr C",,03/18/2005
"South Carolina",Lexington,"Little Mountain","123 Millerss Branch Road",,03/23/2005
"South Carolina",Charleston,"North Charleston","5428 Isle Circle",,03/25/2005
"South Carolina",Lexington,Swansea,"1062 Calvary Church Road",,03/26/2005
"South Carolina",Charleston,"North Charleston","5427 Ann Street",,03/31/2005
"South Carolina",Lexington,Pelion,"159 Casper Street",,04/01/2005
"South Carolina",Greenville,"Honea Path","106 Traynham Rd",,04/01/2005
"South Carolina",Greenville,"Fountain Inn","413 Hwy. 418",,04/06/2005
"South Carolina",Lexington,Lexington,"6747 Platt Springs Road",,04/07/2005
"South Carolina",Lexington,Swansea,"256 Culler Road",,04/07/2005
"South Carolina",Lexington,Pelion,"1640 Windy Wood Drive",,04/08/2005
"South Carolina",Greenville,Greer,"231 North Suber Road",,04/12/2005
"South Carolina",Lexington,Lexington,"143 Founders Boulevard",,04/17/2005
"South Carolina",Aiken,Aiken,"420 Hampton Avenue",,04/22/2005
"South Carolina",Anderson,Anderson,"122 Bryon St",,04/25/2005
"South Carolina",Anderson,Pelzer,"167 Leslie Ln",,05/02/2005
"South Carolina",Orangeburg,Neeses,"136 Shortleaf Road",,05/04/2005
"South Carolina",Orangeburg,North,"438 Creekmill Road",,05/05/2005
"South Carolina",Greenville,Belton,"547 Oak Hill Rd",,05/17/2005
"South Carolina",Greenville,"Travelers Rest","92 Skylark E Dr",,05/19/2005
"South Carolina",Lexington,Lexington,"11 Cecil Lane",,05/19/2005
"South Carolina",Lexington,Gaston,"1540 Busbee Road",,06/02/2005
"South Carolina",Anderson,Iva,"424 Chaffin Rd",,06/05/2005
"South Carolina",Anderson,Anderson,"3515 Keys St B",,06/15/2005
"South Carolina",Charleston,"Yonges Island","7991 Highway 162",,06/28/2005
"South Carolina",Anderson,Anderson,"302 Ellen St",,07/06/2005
"South Carolina",Anderson,Anderson,"304 Ellen St B",,07/06/2005
"South Carolina",Berkeley,Macedonia,"1196 Church Of God Road",,07/11/2005
"South Carolina",Orangeburg,Vance,"107 Villanova",,07/11/2005
"South Carolina",Anderson,Anderson,"1511 Cherokee Cir",,07/18/2005
"South Carolina",Anderson,Anderson,"3631 Keys St B",,08/03/2005
"South Carolina",Anderson,Anderson,"311 Drake Cir",,08/05/2005
"South Carolina",Greenville,Greenville,"212 Colonial Ave",,08/15/2005
"South Carolina",Charleston,"North Charleston","5200 Dorchester Rd",,08/18/2005
"South Carolina",Berkeley,"Moncks Corner","329 Winding Rd",,08/20/2005
"South Carolina",Greenville,Taylors,"718 Tanner Rd",,08/28/2005
"South Carolina",Spartanburg,Greer,"1705 Abner Creek Rd",,09/14/2005
"South Carolina",Anderson,Belton,"201 Crawford Rd",,09/17/2005
"South Carolina",Berkeley,Summerville,"432 Turtle Pond Rd",,10/04/2005
"South Carolina",Berkeley,Ladson,"109 Coveney Ct",,10/05/2005
"South Carolina",York,Clover,"6305 Frank Watts Road",,11/08/2005
"South Carolina",Anderson,Pelzer,"113 Whipporwill Lane",,11/29/2005
"South Carolina",Anderson,Iva,"1101 Project Rd",,11/30/2005
"South Carolina",Anderson,Belton,"921 Wright School Road",,12/05/2005
"South Carolina",Lexington,Lexington,"1208 Daralynn Drive",,12/22/2005
"South Carolina",Anderson,Belton,"129 Blount Road",,12/31/2005
"South Carolina",Oconee,Seneca,"206 Red Cardinal Rd",,01/05/2006
"South Carolina",Berkeley,"Moncks Corner","101 Oak Crest Dr",,01/06/2006
"South Carolina",Berkeley,"Moncks Corner","406 Compton Dr",,01/06/2006
"South Carolina",Anderson,Iva,"8771 Hwy 187 S",,01/06/2006
"South Carolina",Dorchester,Ladson,"292 Picard Dr",,01/09/2006
"South Carolina",Oconee,Seneca,"1021 South 2nd E St 1016",,01/09/2006
"South Carolina",Lexington,Gilbert,"4544 Augusta Highway",,01/11/2006
"South Carolina",Orangeburg,Orangeburg,"170 Whaley Street",,01/20/2006
"South Carolina",Anderson,Anderson,"145 Old Denver Road",,02/16/2006
"South Carolina",Aiken,Burnettown,"272 Breezy Hill Road",,02/27/2006
"South Carolina",Anderson,Iva,"915 Warren Watt Road",,03/07/2006
"South Carolina",Anderson,Anderson,"1328 Cherokee Cir",,03/07/2006
"South Carolina",Anderson,Starr,"842 Martin Rd",,03/15/2006
"South Carolina",Anderson,Iva,"120 Meadowbrook Drive",,03/17/2006
"South Carolina",Greenville,Piedmont,"1117 Robinson Road",,03/19/2006
"South Carolina",Lexington,Gaston,"718 Meadowfield Road",,03/29/2006
"South Carolina",Lexington,Gaston,"389 Ball Park Road",,04/05/2006
"South Carolina",Anderson,Iva,"101 Mauldin Road",,04/12/2006
"South Carolina",Anderson,Anderson,"1511 Cherokee Circle",,04/18/2006
"South Carolina",Anderson,Anderson,"1198 Embassy Drive",,04/18/2006
"South Carolina",Lexington,Pelion,"1829 Pine Street",,05/13/2006
"South Carolina",Oconee,Seneca,"322 Friendship Road",,05/31/2006
"South Carolina",Newberry,Newberry,"83 Adam Teseniar Road",,06/10/2006
"South Carolina",Aiken,Belvedere,"635 Ashley Circle",,06/15/2006
"South Carolina",Aiken,"Beech Island","57 Forrest Drive",,06/20/2006
"South Carolina",Anderson,Anderson,"103 Pecan Drive",,06/22/2006
"South Carolina",Spartanburg,Mayo,"141 Thrift Road",,06/28/2006
"South Carolina",Anderson,Anderson,"3014 Plainview Drive",,06/30/2006
"South Carolina",Berkeley,Summerville,"423-2 Turtle Pond Road",,08/01/2006
"South Carolina",Greenville,Piedmont,"856 South Piedmont Highway",,08/23/2006
"South Carolina",Anderson,Anderson,"2312 Whitehall Road",,08/30/2006
"South Carolina",Anderson,Pendleton,"2301 Old Greenville Highway",,09/02/2006
"South Carolina",Anderson,Belton,"633 Cannon Bottom Road",,09/27/2006
"South Carolina",Berkeley,"Goose Creek","65 Tanbark Court",,09/27/2006
"South Carolina",Anderson,Anderson,"109 New Prospect Church Road",,04/16/2007
"South Carolina",Aiken,"North Augusta","1427 Waccamaw Avenue",,05/14/2007
"South Carolina",Anderson,Anderson,"97 Woodforest Lane",,05/18/2007
"South Carolina",Anderson,Anderson,"3513 Keys Street",,05/20/2007
"South Carolina",Spartanburg,Cowpens,"760 Mayo Road",,06/04/2007
"South Carolina",Spartanburg,Cowpens,"220 Edgefield Road",,07/04/2007
