state,county,city,address1,address2,date
"South Dakota",Minnehaha,Sherman,"110 Zeliff Ave",,01/12/2004
"South Dakota",Minnehaha,"Sioux Falls","528 Menlo N Ave",,02/19/2004
"South Dakota",Minnehaha,"Sioux Falls","2620 10th E St 132",,02/27/2004
"South Dakota",Hanson,Alexandria,"24978 422nd Ave",,03/06/2004
"South Dakota",Lyman,Oacoma,"205 3rd W St 6fsa",,03/12/2004
"South Dakota",Moody,Flandreau,"48143 227th St",,04/12/2004
"South Dakota",Lake,Wentworth,"114 Ist St",,04/23/2004
"South Dakota",Clark,Clark,"311 1st W Ave",,04/27/2004
"South Dakota",Grant,Milbank,"404 Johnson E",,08/25/2004
"South Dakota",Grant,Milbank,"912 Middle Brook 6",,08/25/2004
"South Dakota",Brookings,Brookings,"425 12th S 129",,10/13/2004
"South Dakota",Pennington,"Rapid City","1017 1/2 Tallent E",,01/04/2005
"South Dakota",Pennington,"Rapid City","1201 Atlas St 206",,01/25/2005
"South Dakota",Minnehaha,Colton,"100 3rd E",,03/10/2005
"South Dakota",Lake,Madison,"321 Liberty N Ave",,04/04/2005
"South Dakota",Minnehaha,"Sioux Falls","928 Melrose S Pl",,04/20/2005
"South Dakota",Minnehaha,"Sioux Falls","46836 265th St",,06/07/2005
"South Dakota",Minnehaha,"Sioux Falls","704 Charlotte S Ave 1",,08/15/2005
"South Dakota",Beadle,Huron,"1055 Dakota S Ave",,01/23/2006
"South Dakota",Minnehaha,"Sioux Falls","815 Walts S Ave",,03/24/2006
"South Dakota",Minnehaha,"Sioux Falls","4320 Springfield",,05/09/2006
"South Dakota",Spink,Doland,"213 2nd Street",,12/01/2006
"South Dakota",Minnehaha,"Sioux Falls","3078 East Bragstad",,04/15/2007
"South Dakota",Minnehaha,"Sioux Falls","508 East 31st Street",,04/25/2007
"South Dakota",Minnehaha,"Sioux Falls","907 North Wayland Avenue",,05/08/2007
"South Dakota",Minnehaha,"Sioux Falls","404 South Thompson Avenue 8",,04/08/2009
"South Dakota",Lincoln,"Sioux Falls","6039 South Mckenzie Place",,04/22/2010
"South Dakota",Minnehaha,"Sioux Falls","632 South 3rd Avenue #6",,04/29/2010
"South Dakota",Davison,Mitchell,"108 North Montana Street",,05/28/2010
"South Dakota",Minnehaha,"South Dakota Park","1507 North Wayland Avenue",,08/08/2011
"South Dakota",Minnehaha,"Sioux Falls","233 South Duluth Avenue 2",,01/01/2012
"South Dakota",Minnehaha,"Sioux Falls","2205 South Grange Avenue",,02/06/2013
"South Dakota",Brule,Pukwana,"24972  348th Ave Avenue",,07/07/2013
"South Dakota",Minnehaha,"Sioux Falls","6000 North 60th Street",,07/29/2013
"South Dakota",Minnehaha,Aberdeen,"5200 North 60th Street",,07/29/2013
"South Dakota",Yankton,Yankton,"508  Eastside Dr/e Side Dr Street",,01/03/2014
"South Dakota",Sanborn,Woonsocket,"202 West W 11th St Street",,01/03/2014
"South Dakota",Minnehaha,"Sioux Falls","501 South 4th Avenue",,10/07/2014
"South Dakota",Sanborn,Alpena,"508  4th Street",,12/08/2014
"South Dakota",Beadle,Huron,"601  13th Street",,03/09/2015
