state,county,city,address1,address2,date
Tennessee,Warren,Mcminnville,"1856  Old Smithville Road",,01/01/1970
Tennessee,Fentress,Grimsley,"Richards Cemetary S Rd 667",,01/02/2004
Tennessee,Anderson,"Lake City","1453 Offutt Rd",,01/02/2004
Tennessee,White,Sparta,"887 Browntown Rd",,01/02/2004
Tennessee,Bradley,Cleveland,"2801 Holmes Dr",,01/02/2004
Tennessee,Campbell,"La Follette","520 21 St N",,01/02/2004
Tennessee,Meigs,"Ten Mile","Foree Ln 15 140",,01/03/2004
Tennessee,Washington,"Johnson City","804 Huffine Rd",,01/05/2004
Tennessee,Stewart,Dover,"1600 Old Hwy 18 Hwy",,01/05/2004
Tennessee,Coffee,Manchester,"2495 Hillsboro Hwy 101",,01/05/2004
Tennessee,Hawkins,"Bulls Gap","483 Walkers Church Rd",,01/06/2004
Tennessee,Hawkins,"Bulls Gap","520 Whitehorn Road",,01/06/2004
Tennessee,Loudon,"Lenoir City","400 Interchange Lp 210",,01/07/2004
Tennessee,Hamilton,Chattanooga,"4532 Ravenwood E Dr",,01/08/2004
Tennessee,Marion,Jasper,"5593 R A Griffith Hwy",,01/08/2004
Tennessee,Coffee,Manchester,"504 Altha Dr",,01/08/2004
Tennessee,Blount,Maryville,"797 Morris Pl",,01/10/2004
Tennessee,Macon,"Red Boiling Springs","910 Sutton Rd",,01/10/2004
Tennessee,Lauderdale,Henning,"13809 87 W Hwy",,01/10/2004
Tennessee,Bradley,Cleveland,"1600 Lee Se Hwy 126",,01/11/2004
Tennessee,Bradley,Cleveland,"2780 Leadmine Sw Rd",,01/12/2004
Tennessee,Coffee,Hillsboro,"184 Marlen Ln",,01/12/2004
Tennessee,Knox,Corryton,"10717 Washington Pike",,01/13/2004
Tennessee,Morgan,Wartburg,"453 Brewstertown Rd",,01/13/2004
Tennessee,Morgan,Wartburg,"265 Mill Rd",,01/14/2004
Tennessee,Franklin,Winchester,"734 Watertank",,01/14/2004
Tennessee,Hickman,Centerville,"2381 Grays Bend Road",,01/15/2004
Tennessee,Cumberland,Crossville,"2251 Hwy 127 S 105",,01/15/2004
Tennessee,Morgan,Wartburg,"110 Clayton Howard Rd",,01/15/2004
Tennessee,Morgan,Wartburg,"2515 Morgan County Hwy",,01/15/2004
Tennessee,Lauderdale,Henning,"13809(a) 87 W Hwy",,01/16/2004
Tennessee,Rhea,"Spring City","161 Lynn Roberts Ln",,01/17/2004
Tennessee,Shelby,Memphis,"4300 American Way",,01/18/2004
Tennessee,Franklin,Huntland,"202 Lucas St",,01/19/2004
Tennessee,Fentress,Jamestown,"Mt Helen E Rd 5034",,01/20/2004
Tennessee,Knox,Mascot,"8922 Three Points Rd",,01/21/2004
Tennessee,Polk,Ocoee,"123 Stephenson Ln",,01/21/2004
Tennessee,"Van Buren",Spencer,"Rt 1 Mooneyham Rd",,01/21/2004
Tennessee,Knox,Knoxville,"8922 Three Points Road",,01/21/2004
Tennessee,Warren,Mcminnville,"1350 Viola Hwy 23a",,01/23/2004
Tennessee,Lauderdale,Ripley,"156 Dry Hill W Rd",,01/23/2004
Tennessee,Marion,Jasper,"16925 41 Hwy",,01/23/2004
Tennessee,Warren,Mcminnville,"516 Spring N St",,01/24/2004
Tennessee,Roane,Kingston,"2463 River Rd",,01/25/2004
Tennessee,Meigs,"Ten Mile","304 State N Hwy 1346",,01/25/2004
Tennessee,Marion,"South Pittsburg","1215 Hickory S Ave",,01/26/2004
Tennessee,Rhea,"Spring City","179 J Boles Ln",,01/27/2004
Tennessee,Franklin,Cowan,"200 England E St",,01/27/2004
Tennessee,Coffee,Tullahoma,"631 Hurrican Church Rd",,01/28/2004
Tennessee,Mcminn,Athens,"943 Decatur Pike St",,01/29/2004
Tennessee,Shelby,Memphis,"1984 Croydon",,01/29/2004
Tennessee,Mcminn,Sweetwater,"350 County Rd 364",,01/30/2004
Tennessee,Bledsoe,Pikeville,"100 Mary Ann Ln 622",,01/30/2004
Tennessee,Roane,Rockwood,"190 Evans Heights",,01/30/2004
Tennessee,Monroe,Sweetwater,"155 Latham Lp",,01/30/2004
Tennessee,Greene,Greeneville,"109 Fry St",,01/31/2004
Tennessee,Mcminn,Niota,"260 County Rd 276",,01/31/2004
Tennessee,Smith,Carthage,"122 Little Salt Lick Creek",,02/01/2004
Tennessee,Morgan,Wartburg,"104 R Lamance Rd",,02/02/2004
Tennessee,Cumberland,Crossville,"92 Jacob's Crossing 211",,02/02/2004
Tennessee,Jackson,Gainesboro,"320 Maberry Ln",,02/02/2004
Tennessee,Coffee,Manchester,"521 Shelley Rd B",,02/03/2004
Tennessee,Putnam,Cookeville,"4593 Old Sparta Rd",,02/03/2004
Tennessee,Roane,Rockwood,"32 Jenkins Dr",,02/03/2004
Tennessee,Mcminn,Niota,"425 County Rd 274",,02/05/2004
Tennessee,Weakley,Gleason,"561 Mt Zion Rd",,02/05/2004
Tennessee,Shelby,Memphis,"5225 Summer 107",,02/05/2004
Tennessee,Fayette,Somerville,"6055 Old Jackson",,02/05/2004
Tennessee,Mcminn,Athens,"250 County Rd 664",,02/06/2004
Tennessee,Sevier,Sevierville,"1275 Layell Rd",,02/07/2004
Tennessee,Tipton,Atoka,"490 Fellowship Baptist Church Rd",,02/08/2004
Tennessee,Warren,Morrison,"267 Finger Bluff Rd",,02/09/2004
Tennessee,Morgan,Wartburg,"120 Henry Heidal Rd",,02/09/2004
Tennessee,Polk,Ocoee,"210 Theresa Lane",,02/10/2004
Tennessee,Jefferson,"New Market","1153 Mcguire Rd",,02/11/2004
Tennessee,Cumberland,Crossville,"200 Justice St",,02/12/2004
Tennessee,Knox,Knoxville,"1329 Raccoon Valley Road",,02/12/2004
Tennessee,Shelby,Memphis,"1342 Wrenwood",,02/12/2004
Tennessee,Maury,"Spring Hill","4565 Kedron Rd",,02/13/2004
Tennessee,White,Sparta,"4026 Coal Bank Rd",,02/13/2004
Tennessee,Carroll,Mckenzie,"2860 436 Hwy",,02/14/2004
Tennessee,Robertson,Springfield,"704 Cheatham S St A",,02/16/2004
Tennessee,Warren,Morrison,"383 Smartt Station Rd",,02/17/2004
Tennessee,Union,Maynardville,"306 Spring Street",,02/18/2004
Tennessee,Mcminn,Athens,"493 State Hwy 305 1",,02/18/2004
Tennessee,Coffee,Tullahoma,"315 Overby Trail Rd",,02/19/2004
Tennessee,Roane,Kingston,"111 Woody Ln",,02/19/2004
Tennessee,Franklin,Decherd,"37 Sunshine Cir",,02/19/2004
Tennessee,Warren,Mcminnville,"319 Shadowlawn St",,02/19/2004
Tennessee,Bradley,Cleveland,"1625 Aurora Ave 3",,02/19/2004
Tennessee,Pickett,Byrdstown,"1043 Center Ln",,02/20/2004
Tennessee,Johnson,"Mountain City","299 Trivett Rd",,02/20/2004
Tennessee,Fentress,Clarkrange,"Grimsley Hills S Dr 355",,02/21/2004
Tennessee,Coffee,Manchester,"224 Expressway Dr 109",,02/21/2004
Tennessee,Putnam,Cookeville,"6585 Buck Mt Rd",,02/23/2004
Tennessee,Washington,Telford,"220 Browning Rd",,02/24/2004
Tennessee,Knox,Knoxville,"300 Merchants Road",,02/24/2004
Tennessee,Bradley,Cleveland,"2190 Old Harrison Pike",,02/25/2004
Tennessee,Shelby,Bartlett,"6563 Earhart S St",,02/26/2004
Tennessee,Grainger,"Bean Station","107 5th W St",,02/27/2004
Tennessee,Marion,Jasper,"509 Shellmound Rd",,02/27/2004
Tennessee,Loudon,Loudon,"10769 Lee W Hwy",,02/28/2004
Tennessee,Sumner,Westmoreland,"145 Morris Rd",,03/01/2004
Tennessee,Gibson,Bradford,"121 Cantrell St",,03/02/2004
Tennessee,Putnam,Cookeville,"2478 Dodson Branch N Hwy",,03/02/2004
Tennessee,Giles,Pulaski,"22300 Hwy 64 W",,03/02/2004
Tennessee,Greene,Greeneville,"2025 Gilbreath Rd",,03/02/2004
Tennessee,Humphreys,Waverly,"7 Arthur Ct",,03/03/2004
Tennessee,Morgan,Lancing,"182 Barnette Bridge Rd",,03/03/2004
Tennessee,Fentress,Jamestown,"Joe Barnett N Rd 220",,03/04/2004
Tennessee,Sevier,Kodak,"2428 Winnfield Dunn Pkwy",,03/04/2004
Tennessee,Coffee,Manchester,"3020 Jerigan's Branch Rd",,03/04/2004
Tennessee,Bradley,Cleveland,"1501 25th Nw St",,03/07/2004
Tennessee,Hamilton,"Soddy Daisy","1405 Mont Lake Road N",,03/07/2004
Tennessee,Knox,Knoxville,"6585 Crosswood Blvd",,03/09/2004
Tennessee,Warren,Mcminnville,"309 Bybee Brunch Rd E-2",,03/09/2004
Tennessee,Coffee,Manchester,"210 Walker St",,03/09/2004
Tennessee,Fentress,Jamestown,"Price Hollow N Rd 815",,03/09/2004
Tennessee,Mcminn,Athens,"1913 Railroad Ave",,03/09/2004
Tennessee,Wilson,Lebanon,"822 Cumberland S 106",,03/09/2004
Tennessee,Meigs,Decatur,"205 County Road 179",,03/10/2004
Tennessee,Cumberland,Crossville,"582 Genesis Rd",,03/10/2004
Tennessee,Gibson,Bradford,"328 Main E St",,03/10/2004
Tennessee,Meigs,Decatur,"320 County Road 179",,03/10/2004
