state,county,city,address1,address2,date
Texas,Throckmorton,Throckmorton,"411 Niagra St",,01/01/2004
Texas,Tarrant,"Fort Worth","9305 Heron Dr",,01/02/2004
Texas,Liberty,Cleveland,"21643 C.r. 37492",,01/05/2004
Texas,Jasper,Kirbyville,"Fm 82 Rt Rt 1 100",,01/07/2004
Texas,Harris,Pasadena,"2101 Huntington Dr",,01/07/2004
Texas,"El Paso","El Paso","5216 Carrousel 7",,01/08/2004
Texas,Gray,Pampa,"1112 Lincoln",,01/09/2004
Texas,Gray,Pampa,"1244 Hobart",,01/09/2004
Texas,Tarrant,"Fort Worth","5840 South Frwy 121",,01/09/2004
Texas,Burnet,Bertram,"350 Cedar E St",,01/10/2004
Texas,Guadalupe,Seguin,"6250 Stagecoach Rd",,01/11/2004
Texas,"Fort Bend","Missouri City","4522 Plantation Creek Drive",,01/12/2004
Texas,Bandera,Bandera,"252 Contour Drive",,01/12/2004
Texas,Parker,Weatherford,"6228 Huthcheson Hill Rd",,01/12/2004
Texas,Montague,Bowie,"711 Cooper St",,01/13/2004
Texas,Wichita,"Wichita Falls","1211 Central Frwy",,01/14/2004
Texas,Kerr,Ingram,"319 Carolyn Sr",,01/15/2004
Texas,Lubbock,Lubbock,"1635 112th St",,01/15/2004
Texas,Waller,Brookshire,"1238 Fm359 N Rd",,01/15/2004
Texas,Bexar,Elmendorf,"3935 Cannon Wood",,01/16/2004
Texas,Bell,Belton,"701 Q E Ave",,01/16/2004
Texas,Anderson,Palestine,"1353 Acr 142",,01/16/2004
Texas,Dallas,"Grand Prairie","3510 Hard Rock Rd #9",,01/16/2004
Texas,Mclennan,Waco,"1605 Park Lake",,01/17/2004
Texas,Ochiltree,Perryton,"722 South Colgate",,01/17/2004
Texas,"Palo Pinto","Mineral Wells","1400 2nd Nw Ave",,01/18/2004
Texas,Gray,Pampa,"941 Faulkner S",,01/19/2004
Texas,Henderson,Mabank,"17929 Cherry Ln",,01/20/2004
Texas,Coke,"Robert Lee","510 Lometa",,01/20/2004
Texas,Hood,Granbury,"6815 Evergreen St",,01/20/2004
Texas,Tarrant,"Fort Worth","6125 Bianca Cir 7",,01/22/2004
Texas,Montgomery,Conroe,"2210 West View Dr 149",,01/22/2004
Texas,Bexar,"San Antonio","7306 Harlow 1c",,01/22/2004
Texas,Randall,Amarillo,"4051 Canyon S Dr",,01/23/2004
Texas,Lubbock,Lubbock,"2214 44th E St",,01/23/2004
Texas,Montague,Bowie,"700 Central St",,01/24/2004
Texas,Burnet,"Marble Falls","604 D Ave",,01/25/2004
Texas,Harris,Spring,"2507 Night Owl",,01/26/2004
