state,county,city,address1,address2,date
Utah,"Salt Lake","Salt Lake City","1236 Victoria N Way",,01/13/2004
Utah,"Salt Lake",Sandy,"9465 Streatham S Rd A",,01/14/2004
Utah,"Salt Lake","Salt Lake City","2759 700 East S",,01/21/2004
Utah,"Salt Lake",Sandy,"39 Mars E Way",,01/22/2004
Utah,Utah,Springville,"934 1060e S",,01/30/2004
Utah,"Salt Lake","West Valley City","6296 Higate W Ave",,02/05/2004
Utah,"Salt Lake",Taylorsville,"4575 Knightsbridge S Rd",,02/06/2004
Utah,"Salt Lake","Salt Lake City","2870 Blair S St 9",,02/09/2004
Utah,"Box Elder",Tremonton,"585 West 350 North",,02/17/2004
Utah,"Salt Lake",Taylorsville,"5032 Galileo S Ln",,02/18/2004
Utah,"Salt Lake",Kearns,"4027 Zodiac W Dr",,02/24/2004
Utah,"Salt Lake","West Jordan","3759 7800 South W",,02/26/2004
Utah,Weber,Ogden,"740 25th St 4",,03/02/2004
Utah,Washington,"Saint George","570 100 E St",,03/04/2004
Utah,"Salt Lake","South Salt Lake","48 3300 South W 243",,03/10/2004
Utah,"Salt Lake",Sandy,"8746 1225 S",,03/23/2004
Utah,"Salt Lake","Salt Lake City","833 White Maple E Way",,04/14/2004
Utah,"Salt Lake","Salt Lake City","1333 (a) 600 S",,04/23/2004
Utah,Washington,"Saint George","511 1300 E. N 10",,04/28/2004
Utah,"Salt Lake","Salt Lake City","4345 South 1300 East E",,05/13/2004
Utah,"Salt Lake","Salt Lake City","1275 Gunn E Ave",,05/14/2004
Utah,"Salt Lake","Salt Lake City","139 Macarthur W Ave",,05/28/2004
Utah,"Salt Lake",Midvale,"8273 South Ivy Drive",,06/24/2004
Utah,Weber,Ogden,"1658 20th E St",,07/06/2004
Utah,"Salt Lake","West Valley City","7185 Ten W Way",,07/21/2004
Utah,Utah,"American Fork","341 East N Ln",,07/27/2004
Utah,Cache,Hyrum,"55 100 Ne",,08/06/2004
Utah,Weber,Ogden,"743 23rd St 3 Ogden",,08/30/2004
Utah,Juab,Nephi,"2250 Main S 43",,10/15/2004
Utah,"Salt Lake",Murray,"538 Murray W Blvd 8s",,11/17/2004
Utah,Cache,Logan,"1588 1330 S",,12/12/2004
Utah,Davis,Bountiful,"3431 575 West S D",,12/30/2004
Utah,Utah,Provo,"150 Draper N Ln",,01/01/2005
Utah,Weber,Marriott-slaterville,"3100 1173 N",,01/11/2005
Utah,Davis,"Woods Cross","440 1730 South W 8",,01/26/2005
Utah,Young,Olney,"705 Ave. E N Ave",,01/27/2005
Utah,"Salt Lake","West Valley City","3158 Cove W Dr",,01/29/2005
Utah,"Salt Lake","Salt Lake City","4500 5726 South W",,02/08/2005
Utah,Weber,Ogden,"855 Carney S St",,02/15/2005
Utah,"Salt Lake","Salt Lake City","1150 Richards S St",,03/03/2005
Utah,"Salt Lake",Taylorsville,"3553 Valley Heights W Dr 7",,03/09/2005
Utah,Cache,Smithfield,"667 Maple Dr",,03/12/2005
Utah,"Salt Lake",Kearns,"5423 5540 South W",,03/15/2005
Utah,"Salt Lake","Salt Lake City","1573 3010 South E",,03/17/2005
Utah,"Salt Lake","Salt Lake City","1023 South",,03/21/2005
Utah,"Salt Lake",Murray,"5274 South Allendale",,06/09/2005
Utah,"Salt Lake",Sandy,"2120 Sego Lily E Dr",,06/12/2005
Utah,"Salt Lake",Kearns,"4834 South 4860 West",,06/30/2005
Utah,"Salt Lake",Bluffdale,"14036 2200 West S",,08/08/2005
Utah,"Salt Lake","Salt Lake City","651 Warnock Avenue",,09/20/2005
Utah,"Salt Lake",Taylorsville,"4847 South 4015 West",,10/06/2005
Utah,Davis,Kaysville,"170 200 W 47",,11/16/2005
Utah,Washington,"Saint George","1050 East 500 South",,11/30/2005
Utah,"Salt Lake","Salt Lake City","722 Wall N St 4",,01/02/2006
Utah,Weber,Ogden,"625 Ogden Ave",,01/20/2006
Utah,"Salt Lake",Midvale,"98 East Forbush Avenue",,04/04/2006
Utah,"Salt Lake",Draper,"304 West 13240 South",,04/11/2006
Utah,"Salt Lake",Midvale,"7263 Catalpa Road",,06/15/2006
Utah,Utah,Payson,"542 North Main Street",,07/27/2006
Utah,Davis,Bountiful,"990 North 500 West",,09/21/2006
Utah,Utah,Provo,"750 South 650 West",,01/13/2007
Utah,Washington,"Saint George","2958 Palmetto Circle",,03/26/2008
Utah,Weber,Ogden,"2832 Madison Avenue",,07/31/2008
Utah,"Salt Lake",Draper,"11585  700 East",,01/09/2010
