state,county,city,address1,address2,date
Virginia,Lee,"Rose Hill","S Rt 2 245",,01/01/2004
Virginia,Grayson,"Mouth Of Wilson","110 Wakefield Ln",,01/22/2004
Virginia,Wythe,"Max Meadows","139 Gingerbread Ln",,01/28/2004
Virginia,Smyth,Saltville,"2208 Saltville Hwy",,02/18/2004
Virginia,Wythe,Wytheville,"851 Old School Rd",,02/26/2004
Virginia,Wythe,"Barren Springs","1025 Little Reed Island Rd",,03/02/2004
Virginia,Washington,"Glade Spring","31531 Forsythia Dr",,03/04/2004
Virginia,Rockingham,"Singers Glen","8522 Wilderness Ln",,03/05/2004
Virginia,Washington,Damascus,"118 Railroad Ave",,03/10/2004
Virginia,Fauquier,Warrenton,"355 Waterloo St",,03/11/2004
Virginia,Wythe,"Max Meadows","225 Wildlife Dr",,03/15/2004
Virginia,Pulaski,Pulaski,"836 Barbara Ln",,03/18/2004
Virginia,Wythe,"Rural Retreat","166 Buck Park Ln",,03/24/2004
Virginia,Pulaski,Pulaski,"4451 Billy Ave",,03/24/2004
Virginia,"Prince William",Nokesville,"9027 Burwell Dr",,04/01/2004
Virginia,"Bristol (city)",Bristol,"1103 Lawrence Ave",,04/05/2004
Virginia,Washington,Meadowview,"30023 Hawthorne Dr",,04/06/2004
Virginia,Carroll,"Fancy Gap","1232 Carroll View Rd",,04/21/2004
Virginia,Smyth,Atkins,"471 Stoneway",,05/10/2004
Virginia,Smyth,Marion,"245 Spring Hollow Rd",,05/12/2004
Virginia,Bedford,Bedford,"1016 Blue Moon",,05/19/2004
Virginia,Giles,Narrows,"500 View N St",,05/27/2004
Virginia,Grayson,Independence,"2568 Peach Bottom Rd",,06/02/2004
Virginia,Washington,Damascus,"513 Appalachian Trl",,06/16/2004
Virginia,Smyth,"Sugar Grove","5005 Better Homes Dr 11",,06/28/2004
Virginia,Smyth,Chilhowie,"1051 Chestnut Ridge Dr",,06/28/2004
Virginia,Smyth,Marion,"1732 Hwy 16 A",,06/28/2004
Virginia,Washington,"Glade Spring","18627 Bloomfield Dr",,06/30/2004
Virginia,Washington,"Glade Spring","13307 Glady Ln",,07/01/2004
Virginia,"Staunton (city)",Staunton,"816 Greenville Ave",,07/10/2004
Virginia,Smyth,Marion,"431 Porter Valley Rd",,07/11/2004
Virginia,Smyth,Chilhowie,"579 Overlook Dr",,08/20/2004
Virginia,Wythe,"Max Meadows","4888 Peppers Ferry Rd",,08/26/2004
Virginia,Smyth,Marion,"696 Middle Fork Rd",,08/26/2004
Virginia,Smyth,Marion,"455 Douglas St C",,09/03/2004
Virginia,Smyth,Atkins,"120 Old Tannery Rd",,09/03/2004
Virginia,Wythe,Ivanhoe,"88 Cherry Ln",,09/10/2004
Virginia,Smyth,Marion,"731 Olive St",,09/23/2004
Virginia,Pulaski,Draper,"194 Woodside Dr",,10/01/2004
Virginia,Smyth,Marion,"610 Walkers Creed Rd",,10/11/2004
Virginia,Washington,Meadowview,"26160 Northridge Rd",,10/13/2004
Virginia,Washington,Damascus,"23386 Mountain City Rd",,10/14/2004
Virginia,Wythe,Wytheville,"696 Barrett Mill Rd",,10/15/2004
Virginia,"Bristol (city)",Bristol,"15589 Lee Hwy 221",,10/19/2004
Virginia,Wythe,"Max Meadows","186 Denniston Rd",,10/20/2004
Virginia,Smyth,Marion,"213 Trimble Dr",,10/25/2004
Virginia,Wythe,"Max Meadows","131 Park St",,10/26/2004
Virginia,Augusta,"Stuarts Draft","1204 White Hill Rd",,11/11/2004
Virginia,"Bristol (city)",Bristol,"9108 Timberbend Ln",,11/12/2004
Virginia,Washington,Abingdon,"151 West Valley St 7",,11/22/2004
Virginia,Wythe,Ivanhoe,"182 Sipe Ln",,11/28/2004
Virginia,Smyth,Grosclose,"263 Knight Rd",,12/02/2004
Virginia,Washington,"Glade Spring","605 36197 Wideners Valley Rd",,12/16/2004
Virginia,Wythe,"Max Meadows","863 Ivanhoe Rd C",,12/17/2004
Virginia,Montgomery,Christiansburg,"205 Starlight Dr",,01/05/2005
Virginia,Smyth,Marion,"395 Sugar St",,01/06/2005
Virginia,Smyth,Saltville,"205 Doane Hollow Rd",,01/12/2005
Virginia,Pulaski,Pulaski,"726 Valley St",,01/13/2005
Virginia,Washington,Damascus,"718 22051 Vails Mill Rd",,01/13/2005
Virginia,Washington,Meadowview,"806 29080 Ryan Rd",,01/18/2005
Virginia,Wythe,"Rural Retreat","8103 Lee W Hwy",,01/28/2005
