state,county,city,address1,address2,date
Washington,King,Enumclaw,"21910 Se 424 St",,01/01/2004
Washington,Pierce,Tacoma,"614 162nd S St",,01/05/2004
Washington,"Grays Harbor",Elma,"18270 Cloquallum Rd",,01/06/2004
Washington,Pierce,Tacoma,"5120 N 9th St",,01/07/2004
Washington,Pierce,Roy,"101 358th E St",,01/09/2004
Washington,Pierce,Tacoma,"3646 S Monroe St",,01/09/2004
Washington,Spokane,Spokane,"903 E Central",,01/10/2004
Washington,King,Sea-tac,"18900 47 S Ave 128",,01/12/2004
Washington,Whatcom,Blaine,"8233 Cedar Ave",,01/13/2004
Washington,Pierce,Tacoma,"2303 104th E St",,01/14/2004
Washington,King,Kent,"11100 Se 176th St",,01/14/2004
Washington,"Grays Harbor",Elma,"257 Newman Creek",,01/14/2004
Washington,Grant,"Moses Lake","12037 Heritage Ln",,01/14/2004
Washington,Kitsap,Olalla,"13238 Hadfield Rd",,01/15/2004
Washington,Kitsap,"Port Orchard","425 S 321st Pl D6",,01/19/2004
Washington,Pierce,Tacoma,"5102 S 58th St Q5",,01/20/2004
Washington,Spokane,Spokane,"9508 N Division 118",,01/20/2004
Washington,"Walla Walla",Touchet,"7028 Stateline Rd",,01/21/2004
Washington,Pierce,Lakewood,"15209 Portland Sw Ave",,01/26/2004
Washington,King,Seattle,"6222 S 118th Pl",,01/27/2004
Washington,Kitsap,Seabeck,"1154 Stavis Nw Dr",,01/28/2004
Washington,King,Auburn,"11604 Se 323 Pl",,01/28/2004
Washington,Pierce,Tacoma,"911 Lafayette S St",,01/28/2004
Washington,Pierce,Tacoma,"2545 Narrows Dr",,01/30/2004
Washington,Pierce,Puyallup,"5819 77th Ave E Ct",,02/01/2004
Washington,Thurston,Bucoda,"308 S Market St",,02/02/2004
Washington,Spokane,Spokane,"4209 E Rich Ave",,02/03/2004
Washington,Pierce,"Gig Harbor","18012 50th St",,02/03/2004
Washington,Pierce,Lakewood,"10706 Douglas Sw Dr",,02/05/2004
Washington,King,Seattle,"1923 East 10th Avenue",,02/05/2004
Washington,Snohomish,"Mountlake Terrace","5408 236th Sw St",,02/06/2004
Washington,Pierce,Tacoma,"3715 Wikleson S St",,02/06/2004
Washington,Pierce,"Bonney Lake","19914 117th E St",,02/08/2004
Washington,"Grays Harbor",Oakville,"315 N Newton",,02/09/2004
Washington,Island,"Oak Harbor","651 Se Midway Blvd 9",,02/10/2004
Washington,Snohomish,Monroe,"27623 178th Se Pl",,02/10/2004
Washington,Pierce,Sumner,"15007 Main St 5",,02/10/2004
Washington,Pierce,Tacoma,"520 72nd E St",,02/10/2004
Washington,Skagit,Anacortes,"8244 Marchs Point S Rd",,02/11/2004
Washington,Pierce,Sumner,"19201 54th E St",,02/12/2004
Washington,Spokane,Spokane,"3523 E Olympic Ave",,02/12/2004
Washington,Kitsap,Olalla,"10105 Olalla Valley",,02/13/2004
Washington,Kitsap,Bremerton,"2150 Ne Winters",,02/13/2004
Washington,Lewis,Packwood,"301 Bennett Rd",,02/13/2004
Washington,Pierce,Tacoma,"15505 Canyon E Rd",,02/17/2004
Washington,Thurston,Tacoma,"1117 6th N St",,02/18/2004
Washington,Kitsap,"Port Orchard","5523 Peterson Se Rd",,02/18/2004
Washington,Pierce,"Browns Point","4262 Foster Nw Pl",,02/23/2004
Washington,"Pend Oreille",Newport,"512 Vista Dr",,02/23/2004
Washington,Thurston,Tacoma,"404 30th S St",,02/24/2004
Washington,Snohomish,Arlington,"4300 Stanword Bryant Rd",,02/24/2004
Washington,Pierce,Sumner,"13418 Cedar Cir",,02/27/2004
Washington,Pierce,Graham,"15421 50th E Ave",,02/29/2004
Washington,Spokane,Spokane,"728 E Crown",,03/02/2004
Washington,Spokane,Spokane,"112 W Longfellow",,03/03/2004
Washington,"Grays Harbor",Aberdeen,"2312 Bay Ave",,03/04/2004
Washington,Pierce,Kapowsin,"14401 Kapowsin E Hwy",,03/04/2004
Washington,King,Burien,"260 S 156th St 9",,03/07/2004
Washington,Pierce,Tacoma,"1005 S Ferry",,03/07/2004
Washington,Whatcom,Blaine,"8870 Blaine Rd 80",,03/08/2004
Washington,Whatcom,Blaine,"1319 E North St",,03/08/2004
Washington,Whatcom,Blaine,"388 Cherry St",,03/08/2004
Washington,Clark,Vancouver,"2122 Ne 90th Ave",,03/09/2004
Washington,Pierce,Puyallup,"14205 Pioneer E Way",,03/09/2004
Washington,Whatcom,Custer,"3029 Birchbay Lynden Rd",,03/10/2004
Washington,Pierce,Orting,"705 Washington Ave",,03/11/2004
Washington,Franklin,Pasco,"4721 Ivy Rd",,03/12/2004
Washington,Snohomish,Arlington,"2405 188th Ne St",,03/12/2004
Washington,Kitsap,"Port Orchard","1145 Sw J H Rd",,03/16/2004
Washington,Snohomish,Marysville,"12015 Marine Dr 2278",,03/16/2004
Washington,Yakima,Ahtanum,"3160 S Fork",,03/17/2004
Washington,Mason,Shelton,"951 Crescent Se Dr",,03/18/2004
Washington,King,Kent,"1233 Central N Ave",,03/18/2004
Washington,Thurston,Lacey,"5134 Berger Se Dr",,03/19/2004
Washington,King,Seattle,"9633 28 Sw Ave",,03/20/2004
Washington,Spokane,Spokane,"7825 N Debby Lynn Ct",,03/23/2004
Washington,Skagit,Bow,"11033 Blue Heron Rd",,03/26/2004
Washington,Pierce,Tacoma,"6034 S Montgomery St 98409",,03/29/2004
Washington,Pierce,Tacoma,"9008 47th E Ave",,03/30/2004
Washington,Lewis,Centralia,"18302 Old Highway 99 Sw",,03/30/2004
Washington,King,Covington,"26701 166th Se Pl",,03/31/2004
Washington,"Grays Harbor",Aberdeen,"319 1/2 W 3rd",,03/31/2004
Washington,Pierce,Tacoma,"6627 S Oakes St",,04/03/2004
Washington,Pierce,Buckley,"25215 149th E St",,04/03/2004
Washington,Pierce,Tacoma,"4611 S M St",,04/03/2004
Washington,King,"Federal Way","506 Sw 366th St",,04/05/2004
Washington,Pierce,Graham,"29807 92nd S Ave",,04/05/2004
Washington,Clark,Amboy,"43207 Ne 285th Ave 23",,04/08/2004
Washington,Pierce,Tacoma,"614 S Adams St",,04/08/2004
Washington,Pierce,Lakewood,"6610 88th Sw St 3",,04/09/2004
Washington,Thurston,Olympia,"2816 Martin E Way",,04/12/2004
Washington,Pierce,Orting,"20913 175th Street E Ct",,04/12/2004
Washington,Thurston,Yelm,"15547 148th Se Ave",,04/12/2004
Washington,King,Seattle,"5840 Oberling Ne Ave",,04/13/2004
Washington,Spokane,Spokane,"2020 N Argonne Rd",,04/14/2004
Washington,Pierce,Tacoma,"5039 S Trafton",,04/14/2004
Washington,Snohomish,Arlington,"24025 99th Ne Dr",,04/15/2004
Washington,Snohomish,Arlington,"19300 106th Ne Ave",,04/17/2004
Washington,Pierce,Lakebay,"17508 8th St",,04/19/2004
Washington,Island,Freeland,"230 Lighthouse Way",,04/19/2004
Washington,Pierce,"University Place","3302 72nd W Ave 103",,04/21/2004
Washington,Spokane,Spokane,"6801 E 7th",,04/21/2004
Washington,Benton,"Benton City","1002 E 7th St",,04/23/2004
Washington,Lewis,Chehalis,"135 Criswell Ln",,04/23/2004
Washington,Pierce,Tacoma,"5411 K S St",,04/26/2004
Washington,Pierce,Tacoma,"922 S Shirley St",,04/26/2004
Washington,Pierce,Tacoma,"1310 S 41st St",,04/29/2004
Washington,Pierce,Tacoma,"7927 F E St",,04/30/2004
Washington,Pierce,Tacoma,"7007 Waller E Rd",,05/01/2004
Washington,Pierce,Milton,"903 23rd Ave",,05/03/2004
Washington,Snohomish,"Lake Stevens","11801 20th Ne",,05/06/2004
Washington,King,"Federal Way","137 S 330th St 19-b",,05/10/2004
Washington,Pierce,Tacoma,"5402 S Junett St",,05/12/2004
Washington,Pierce,Tacoma,"8032 E Mckinley",,05/12/2004
Washington,Spokane,Spokane,"5302 N Lacey",,05/12/2004
Washington,Pierce,Puyallup,"14522 128th St",,05/13/2004
Washington,Pierce,Roy,"34615 25th S",,05/13/2004
Washington,Benton,Kennewick,"950 S Keller B",,05/13/2004
Washington,Pierce,Puyallup,"801 E Pioneer",,05/14/2004
Washington,Pierce,Sumner,"15007 W Main 4",,05/16/2004
Washington,King,Seattle,"12434 Ambaum Sw Blvd C215",,05/17/2004
Washington,Cowlitz,Longview,"337 21st Ave",,05/20/2004
Washington,King,Seatac,"19631 International Blvd 217",,05/21/2004
Washington,Pierce,Spanaway,"12131 6th E Ave",,05/24/2004
Washington,Whatcom,,"2008 Lopez E Ct",,05/26/2004
Washington,Skagit,"Sudden Valley (subdiv)","7 Lost Fork Ln",,05/26/2004
Washington,Pierce,Lakewood,"6141 Lake Grove Sw St",,05/27/2004
Washington,"Pend Oreille",Cusick,"218 N Kalispel St",,05/27/2004
Washington,Clark,Washougal,"2124 B St 1",,05/30/2004
Washington,Benton,Kennewick,"953 S Keller E",,06/02/2004
Washington,Pierce,"Unincorporated City","11717 241st E Ave",,06/02/2004
Washington,"Pend Oreille",Newport,"435812 State Route 20 Rt",,06/02/2004
Washington,Kitsap,"Port Orchard","1274 Sherman Ave",,06/04/2004
Washington,Pierce,Tacoma,"6086 S Ainsworth",,06/04/2004
Washington,Pierce,Tacoma,"5138 N Pearl 2",,06/06/2004
Washington,Thurston,Rainier,"12510 Rainier Se Rd",,06/07/2004
Washington,King,Hobart,"36470 Se 191 St",,06/08/2004
Washington,King,Kent,"11101 Se 208 St",,06/08/2004
Washington,Mason,Belfair,"17052 E 106 Hwy",,06/08/2004
Washington,Pierce,Tacoma,"4214 N Baltimore",,06/08/2004
Washington,Pierce,Tacoma,"6138 Park S Ave",,06/09/2004
Washington,King,Tukwila,"12253 47th S Ave",,06/10/2004
Washington,Franklin,Pasco,"8205 Sunset Ln",,06/12/2004
