state,county,city,address1,address2,date
Wisconsin,Jackson,Melrose,"630 108 And 5th N",,01/15/2004
Wisconsin,Washburn,Spooner,"905 Harrison",,01/24/2004
Wisconsin,Vilas,"Eagle River","3648 State Highway 70 Hwy",,02/09/2004
Wisconsin,Chippewa,"Chippewa Falls","19851 Cr K 14",,02/18/2004
Wisconsin,Wood,"Wisconsin Rapids","522 Biron S Dr",,02/19/2004
Wisconsin,Columbia,"Wisconsin Dells","918 Capitol St",,02/25/2004
Wisconsin,Barron,Cameron,"906 21st St",,03/15/2004
Wisconsin,Vernon,Genoa,"5070 Hwy 35 S 9",,04/06/2004
Wisconsin,Pierce,Prescott,"4390 1050th N St",,04/06/2004
Wisconsin,"Eau Claire","Eau Claire","320 Clairemont E Ave 21",,04/29/2004
Wisconsin,Crawford,"Prairie Du Chien","906 Penny Ct 5",,05/12/2004
Wisconsin,Waukesha,"Menomonee Falls","15051 West Appleton Avenue",,05/12/2004
Wisconsin,Trempealeau,Galesville,"23727 Cox W Rd",,05/25/2004
Wisconsin,Lincoln,Merrill,"462 State Highway 64 W",,06/11/2004
Wisconsin,Barron,Dallas,"1832 Hwy U",,06/17/2004
Wisconsin,"La Crosse",Mindoro,"2672 Co Rd T W Rd",,07/20/2004
Wisconsin,Dunn,Menomonie,"4374 451 E Ave",,07/30/2004
Wisconsin,Lafayette,Shullsburg,"140 Kennedy S St",,08/30/2004
Wisconsin,Dane,Mazomanie,"10906 Amenda Rd",,09/30/2004
Wisconsin,Walworth,Elkhorn,"913 Church N St 204",,10/19/2004
Wisconsin,Marathon,Aniwa,"18785 Maple Rd 8",,10/27/2004
Wisconsin,"Fond Du Lac","Fond Du Lac","542 Hickory N St",,11/11/2004
Wisconsin,Winnebago,Neenah,"1403 Green Valley Rd",,12/01/2004
Wisconsin,Langlade,Antigo,"613 Washington St",,01/02/2005
Wisconsin,Chippewa,"Chippewa Falls","5780 167th St",,03/24/2005
Wisconsin,Milwaukee,Greenfield,"4750 108th S St 8201",,03/28/2005
Wisconsin,Columbia,"Wisconsin Dells","729 Race St 5",,04/15/2005
Wisconsin,Portage,Plover,"3521 Jackson Ave 2",,05/04/2005
Wisconsin,Portage,Plover,"3800 Wisconsin Ave 38",,05/04/2005
Wisconsin,Sheboygan,Plymouth,"741 Western Ave",,05/05/2005
Wisconsin,Langlade,"Summit Lake","9976 County Highway B N",,05/23/2005
Wisconsin,Rusk,Ladysmith,"815 6th E St",,06/13/2005
Wisconsin,Sheboygan,"Sheboygan Falls","1026 Erie St",,06/26/2005
Wisconsin,Lafayette,Platteville,"30972 Cthxx Lot 230",,08/18/2005
Wisconsin,Chippewa,"Chippewa Falls","7382 50th Ave",,09/12/2005
Wisconsin,Rusk,Ladysmith,"10075 & 101 Trail W",,10/14/2005
Wisconsin,Bayfield,Barnes,"52240 Lake S Rd",,10/15/2005
Wisconsin,Oneida,Rhinelander,"1823 River Dr",,10/21/2005
Wisconsin,Sheboygan,Sheboygan,"1221 17th N St",,12/23/2005
Wisconsin,Rusk,Ladysmith,"201 Worden E Ave B",,02/07/2006
Wisconsin,Sheboygan,Sheboygan,"1434 Ontario Avenue",,04/09/2006
Wisconsin,Winnebago,Oshkosh,"632 Bayshore Drive",,05/11/2006
Wisconsin,Grant,"Cuba City","515 North Main Street",,05/12/2006
Wisconsin,"Eau Claire","Eau Claire","3033 Runway Avenue",,05/13/2006
Wisconsin,Chippewa,"Eau Claire","3033 Runway Ave.",,05/13/2006
Wisconsin,Columbia,"Township Of Courtlan","2179 West Wingers Road",,09/15/2006
Wisconsin,Marathon,Wausau,"1520 Golf Club Road",,11/29/2006
Wisconsin,Dodge,Randolph,"9938 West 73 Highway",,03/23/2007
Wisconsin,Vilas,Conover,"5223 Deer Lake Road",,08/25/2007
Wisconsin,Burnett,Webster,"7175 Austin Lake Road",,01/08/2008
Wisconsin,Lincoln,Merrill,"500 East Street",,01/17/2008
Wisconsin,Wood,Marshfield,"713 East 4th Street",,02/13/2008
Wisconsin,Dunn,Menomonie,"2802 Dairyland Road 2",,03/04/2008
Wisconsin,Dane,"Sun Prairie","1106 Pine Street",,03/18/2008
Wisconsin,Milwaukee,Milwaukee,"1034 South 19th Street",,07/11/2008
Wisconsin,"Eau Claire","Eau Claire","829  Kari Drive",,04/05/2010
Wisconsin,Crawford,"Prairie Du Chien","221 North Main Street",,04/12/2010
Wisconsin,Winnebago,Appleton,"2122  Southwood Drive 7",,05/22/2010
Wisconsin,"La Crosse","La Crosse","1607  Farnam Street",,05/25/2010
Wisconsin,Marathon,Schofield,"261  Oakwood Avenue 6",,12/15/2010
Wisconsin,Grant,Livingston,"410 West Jackson Street 2c",,07/13/2011
Wisconsin,Milwaukee,Milwaukee,"2112 South 111th Street",,12/07/2011
Wisconsin,Milwaukee,Milwaukee,"1353 South 116th Street",,12/07/2011
Wisconsin,Chippewa,"Lake Hallie","11079  17th Avenue",,01/03/2012
Wisconsin,Sauk,Baraboo,"368 West Barber Street",,08/19/2012
Wisconsin,Winnebago,Appleton,"203 North Rankin Street",,12/03/2014
Wisconsin,Trempealeau,Osseo,"50568 Honey Lane",,09/21/2016
Wisconsin,Walworth,"Lake Geneva","427 Spring St",,01/05/2017
