state,county,city,address1,address2,date
"West Virginia",Kanawha,Charleston,"1515 Livingston Ave",,01/13/2004
"West Virginia",Kanawha,"Saint Albans","65 Whispering Oaks St",,01/16/2004
"West Virginia",Kanawha,Elkview,"5101 Elk River Rd",,01/19/2004
"West Virginia",Kanawha,Charleston,"1505 Windsor Dr",,01/21/2004
"West Virginia",Kanawha,Sissonville,"519 Wolfpen Dr",,01/28/2004
"West Virginia",Kanawha,"Saint Albans","104 Third N Ave",,01/31/2004
"West Virginia",Kanawha,"Saint Albans","2843 Mac Corkle Ave 109",,02/02/2004
"West Virginia",Kanawha,Charleston,"5301 1/2 Maccorkle Ave A",,02/05/2004
"West Virginia",Kanawha,Dunbar,"400 Wilson Ave",,02/07/2004
"West Virginia",Kanawha,Dunbar,"860 Dutch Hollow Rd",,02/10/2004
"West Virginia",Kanawha,Sissonville,"13 Whitetail Ln",,02/14/2004
"West Virginia",Kanawha,"South Charleston","832 Willow Dr",,02/26/2004
"West Virginia",Kanawha,Charleston,"211 Hickory Rd",,03/04/2004
"West Virginia",Kanawha,"Saint Albans","700 Dames Hill Rd",,03/04/2004
"West Virginia",Kanawha,Charleston,"2652 Evergreen Dr",,03/10/2004
"West Virginia",Kanawha,Charleston,"1145 Barlow Dr",,03/15/2004
"West Virginia",Raleigh,Midway,"225 1/2 Brammer St",,03/17/2004
"West Virginia",Kanawha,Sissonville,"1790b Tolley Rd",,03/23/2004
"West Virginia",Kanawha,Sissonville,"1788 Tolley Rd",,03/23/2004
"West Virginia",Kanawha,Nitro,"2321 23rd St",,03/31/2004
"West Virginia",Kanawha,Charleston,"1607 Bigley Ave 105",,03/31/2004
"West Virginia",Kanawha,"South Charleston","224 1/2 5th Ave",,04/01/2004
"West Virginia",Kanawha,Charleston,"1522 7th Ave",,04/06/2004
"West Virginia",Kanawha,"Saint Albans","820 Hughes Dr",,04/08/2004
"West Virginia",Boone,Wharton,"30099 Pond Fork Rd",,04/08/2004
"West Virginia",Kanawha,"South Charleston","610 Green Rd",,04/16/2004
"West Virginia",Kanawha,"St Albanys","2746 Lincoln Ave",,04/22/2004
"West Virginia",Kanawha,Elkview,"121 New Hope Rd",,04/23/2004
"West Virginia",Kanawha,Elkview,"565 New Hope Rd",,04/23/2004
"West Virginia",Kanawha,"Saint Albans","526 Barrett St",,06/02/2004
"West Virginia",Roane,Spencer,"161 Arnoldsburg Rd",,06/03/2004
"West Virginia",Kanawha,"Saint Albans","104 Third N St",,06/10/2004
"West Virginia",Kanawha,"Saint. Albans","5606 Habitat St",,06/15/2004
"West Virginia",Kanawha,Charleston,"100 Washington St 726",,06/19/2004
"West Virginia",Kanawha,Marmet,"316 9th St A",,06/22/2004
"West Virginia",Kanawha,Clendenin,"350 Elk River N Rd",,06/23/2004
"West Virginia",Kanawha,Charleston,"489 Ruffne S Rd",,06/25/2004
"West Virginia",Kanawha,Charleston,"1105 Stuart St",,06/27/2004
"West Virginia",Kanawha,"South Charleston","120 Shepard Ave D",,07/07/2004
"West Virginia",Roane,Walton,"626 Long Ridge Rd",,07/21/2004
"West Virginia",Kanawha,Charleston,"268 Newhouse Rd C",,07/27/2004
"West Virginia",Cabell,Huntington,"411 9th St",,08/01/2004
"West Virginia",Cabell,Ona,"2632 Yates Crossing Rd",,08/10/2004
"West Virginia",Kanawha,Sissonville,"201 Legg Star Rt",,08/27/2004
"West Virginia",Cabell,Milton,"1590 Balls Gap Rd",,09/01/2004
"West Virginia",Jackson,Cottageville,"34 Pinell St",,09/02/2004
"West Virginia",Boone,Bloomingrose,"54 Mcclung Ln",,09/10/2004
"West Virginia",Taylor,Grafton,"605 Watkins St",,09/11/2004
"West Virginia",Kanawha,Charleston,"681 Wayside Dr",,09/21/2004
"West Virginia",Kanawha,"Cross Lanes","631 Valley View Dr",,09/22/2004
"West Virginia",Kanawha,Nitro,"1107 Park Ave",,09/27/2004
"West Virginia",Kanawha,Charleston,"268 Newhouse Branch Rd",,10/01/2004
"West Virginia",Cabell,Milton,"1035 Newmans Branch Rd",,10/03/2004
"West Virginia",Kanawha,"Cross Lanes","5106 Shannon Dr 427",,10/12/2004
"West Virginia",Kanawha,"Saint Albans","434 Weimer Ave",,10/17/2004
"West Virginia",Kanawha,"Saint Albans","1006 Green Valley Dr",,10/26/2004
"West Virginia",Kanawha,Charleston,"5318 Main St",,11/05/2004
"West Virginia",Kanawha,Charleston,"403 1/2 Swinburn St",,11/10/2004
"West Virginia",Gilmer,Glenville,"#10 Howard St",,11/24/2004
"West Virginia",Kanawha,Charleston,"4324 Washington W St",,11/26/2004
"West Virginia",Kanawha,Charleston,"622 Randolph St B",,11/30/2004
"West Virginia",Putnam,Poca,"54 Haning Dr",,12/09/2004
"West Virginia",Gilmer,Glenville,"706 Lewis N St",,12/10/2004
"West Virginia",Kanawha,Charleston,"2529 Sissonville Dr",,12/11/2004
"West Virginia",Kanawha,"Saint Albans","5593 Kanawha Turnpike",,12/22/2004
"West Virginia",Kanawha,Charleston,"506 Ruffner S Rd",,12/28/2004
"West Virginia",Kanawha,"Saint Albans","2644 Furlong Ave",,12/29/2004
"West Virginia",Kanawha,Sissonville,"44 Fisher's Branch Rd",,12/31/2004
"West Virginia",Kanawha,Charleston,"2413 Bench Rd",,01/11/2005
"West Virginia",Cabell,Milton,"1113 Amos St",,01/24/2005
"West Virginia",Putnam,"Scott Depot","209 Beechwood Estates",,01/24/2005
"West Virginia",Kanawha,"Saint Albans","2612 Furlong Ave",,01/31/2005
"West Virginia",Kanawha,"Cross Lanes","5308 Rocky Fork Rd",,02/02/2005
"West Virginia",Kanawha,Elkview,"632 Jake's Run Rd",,02/03/2005
"West Virginia",Kanawha,Charleston,"2505 Sissonville Dr A",,02/03/2005
"West Virginia",Kanawha,Nitro,"18 Shadow Hills Park",,02/03/2005
"West Virginia",Kanawha,Nitro,"2403 24th St",,02/03/2005
"West Virginia",Braxton,Sutton,"2434 Sutton Ln",,02/04/2005
"West Virginia",Kanawha,"South Charleston","713 Chesapeake Ave",,02/04/2005
"West Virginia",Kanawha,"Saint Albans","725 Park St",,02/08/2005
"West Virginia",Kanawha,Charleston,"403 1/2 Swinburn",,02/09/2005
"West Virginia",Roane,Spencer,"40 Front St",,02/10/2005
"West Virginia",Kanawha,Charleston,"2606 (a) 6th Ave A",,02/11/2005
"West Virginia",Putnam,Eleanor,"202 Chestnut E St",,02/16/2005
"West Virginia",Kanawha,Charleston,"4200 Bush St",,02/17/2005
"West Virginia",Kanawha,Charleston,"1524 Chandler Dr",,02/19/2005
"West Virginia",Kanawha,"Saint Albans","850 Austin Dr",,02/26/2005
"West Virginia",Kanawha,"Saint Albans","111 West St",,03/02/2005
"West Virginia",Kanawha,"South Charleston","109 10th Ave",,03/05/2005
"West Virginia",Kanawha,Charleston,"611 Harper Rd",,03/08/2005
"West Virginia",Kanawha,Tornado,"100 Coal River Rd",,03/11/2005
