state,county,city,address1,address2,date
Wyoming,Laramie,Cheyenne,"1322 17th W St",,02/01/2004
Wyoming,Converse,Douglas,"945 Washington",,02/26/2004
Wyoming,Lincoln,Alpine,"87 Waupiti Village Ln",,03/09/2004
Wyoming,Converse,Douglas,"1457 Westgate C",,03/22/2004
Wyoming,Park,Powell,"737 2nd E St",,06/18/2004
Wyoming,Fremont,Riverton,"604 Broadway",,08/16/2004
Wyoming,Sheridan,Sheridan,"2167 Main N St 16",,09/04/2004
Wyoming,Sheridan,Sheridan,"2366 Main N St",,09/04/2004
Wyoming,Sheridan,Sheridan,"520 Fort Rd",,09/04/2004
Wyoming,Campbell,Recluse,"113 Rule Rd",,12/07/2004
Wyoming,Carbon,Rawlins,"503 Sage Hills 307",,02/09/2005
Wyoming,Wyoming,Lillydale,"971 Dale W St",,03/21/2005
Wyoming,Natrona,Casper,"1445 Jackson S St",,04/05/2005
Wyoming,Fremont,Pavillion,"32 Angel Ln",,07/25/2005
Wyoming,Campbell,Gillette,"12626 Hwy 59 N",,08/03/2005
Wyoming,Uinta,Evanston,"751 Sioux Drive",,02/15/2006
Wyoming,Natrona,Casper,"1118 Burlington",,10/02/2007
Wyoming,Laramie,Cheyenne,"713 West 24 Street",,04/03/2010
Wyoming,Natrona,Casper,"317 North Lincoln Street",,06/02/2010
Wyoming,Albany,Laramie,"1556  9th Street A",,11/30/2012
Wyoming,Platte,Wheatland,"954  Walnut Street  Box 2",,09/02/2014
Wyoming,Converse,Glenrock,"182  Big Muddy",,04/07/2016
Wyoming,Natrona,Casper,"1801  Bellaire",,07/01/2016
Wyoming,Goshen,Torrington,"2734 East C Street",,12/19/2018
